TGIF,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1700623,spotify
1,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,77,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Good Thing (with Kehlani),3wpdeV1FZfiEnelZSfAFp4,80,not available
3,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,2wY79sveU1sp5g7SokKOiI,How Do You Sleep?,7baaCf70tVcUBL2bbkuXjo,96,not available
4,Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes (Deluxe),0xzScN8P3hQAz3BT3YYX5w,91,not available
5,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Lonely,1MF23oT6lg5q47LnZ91UPy,82,https://p.scdn.co/mp3-preview/3fa1dc5fe5068d6c7189d3871cb1fd1615330b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Circles,4VginDwYTP2eaHJzO0QMjG,Post Malone,246dkjvS1zLTtiykXe5h60,Circles,75n7rjlC1fxezRtoMQmtL5,84,not available
7,Motivation,0rIAC4PXANcKmitJfoqmVm,Normani,2cWZOOzeOm4WmBJRnD5R7I,Motivation,2r6BEK0wzXbL8JHyCkeJkG,90,https://p.scdn.co/mp3-preview/f6877dfe11a1c9ea4731947219a956cd18c6a7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Graveyard,6V9fHiv84WlVTg7CSnIVY2,Halsey,26VFTg2z8YR0cCuwLzESi2,Graveyard,66QwiCFDLtRbrZ5Vs9wlL9,89,not available
9,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,SHAED,3KwmxIhSe9UTSEF37kwngR,Trampoline (with ZAYN),5QqqBZmdQmY1MvlnpBkagB,80,not available
