New Noise,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,321545,spotify
1,Save It For The Weekend,4ja8f7cLqln77RZscRaMqI,Skegss,3SGLeWc7J5Ve0CinAOrb3a,Save It For The Weekend,0qA94rO22Y4N3tsvzEcq3F,53,not available
2,Bad Guy,0iM1Ioz4N4p7MU1DKyqsov,The Interrupters,25Maank76ry2Tmbi2Ql1SF,Bad Guy,2oU2YsoVW3KG0jIlDXWIkx,47,https://p.scdn.co/mp3-preview/44868812d90a3a45ad37c5ca5337d1b3f81ea790?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,In a City,7FI5hPxor2yfkTeOflIvng,Modern Love Child,5Re1DTCxspDf57qk07YOAP,In a City,7GK7mS3YrN6K1AQqgsi1vP,25,https://p.scdn.co/mp3-preview/beaeef8eff8baa8a006bc913234309f3b7662ceb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,SPRAYPAINT,0q7hrSNFUmsgBOxGAUIdCK,JUMEX,4WSweIJDD3aAMDeHA5MK0j,SPRAYPAINT,6qrXSYAN56m5UrmnaDhkzl,50,https://p.scdn.co/mp3-preview/ffa378514f234d183a192b1dbc0d5b37ee41cae0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Enough's Enough,2xCkbmoETP0O0ssyfo0LdJ,Paris Shadows,2mxplErmRMbGaSiAsDONkT,Enough's Enough,1HB4h9iiWVazjp6mn1NMED,48,https://p.scdn.co/mp3-preview/cfcf2851d4a879c19713a92be9cdf3915cd66528?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Go Out With You,1ETajdK6h5qub64KFsU8e4,BLOXX,4wYzzR0lpEub1gUU8bbBTw,Go Out With You,33VOTiFZa62yttu5roeQVa,46,https://p.scdn.co/mp3-preview/d070b8ef580cb9e9a02deda87da3e7e44cecb228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Tomorrow,0vSbWUJGiRbBMM7a9v6ArJ,Luke Rathborne,0XfDKxRuVIlgnFx0GHj4h6,Tomorrow,4EbzvX0hWpJlb16QoU5OZf,25,https://p.scdn.co/mp3-preview/197614445087520060c32aff5ef874181b89036d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Slow Angel,7CEvfOY6Sx35SGoareC0eV,Rebounder,2g2HWripkxzRZDZJ4KTBSB,Slow Angel,1KhhUiMSUdbyZC2WgOp4Nf,39,https://p.scdn.co/mp3-preview/2aa82b5a55e3692044179988bd8481df472a6d95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,What Would You Do Without Me?,1lbaVKWjvTpzawT7jNnJQB,Rh2,3GQLlznkq9R2b11q0DtRSq,What Would You Do Without Me?,16nrir5xI9cPxCGTqzLAHB,29,https://p.scdn.co/mp3-preview/0dd3e8288b9c8e8391cfba418761d412f46296b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Play Dead,3Y2f0LaQ6knN0lfMsFOpun,NEW LANGUAGE,5VgSeaCjuHm9qCimk0aXqL,Play Dead,04bMnygZiTtvs5IqfqGq52,28,https://p.scdn.co/mp3-preview/c3011f065cb08295e8899ed2dca3192d1d333721?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Redwoood,6evMsbloWtDpj74APCsarb,Ultra Q,57JelvPHs2P6BROjeHhHZ3,We're Starting to Get Along,0dxlf4TO3xIhsown9xUGA8,30,https://p.scdn.co/mp3-preview/c30909549e75273a9bb549484511a6b9ca1d4852?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Thumbs Up,7iVZEbS36Z6EGij6KSF04m,Carver Commodore,0JYBvQbg4xyCfKy1S5YGpU,Thumbs Up,1hpy1PEBQqnl7kd2t6NyBW,27,https://p.scdn.co/mp3-preview/54e2e8f590c1d6b755775c64dece65df780f4701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Anyone But Me,2vd5KYK7BoxRlBAvnArER3,Zero 9:36,1V599H9vfq6hWe2hGzyzI0,You Will Not Be Saved,5Fv7nPEq5xHavK28lt8K5F,48,https://p.scdn.co/mp3-preview/c458eed9ab5e0f0022c7d8e753900ec498dc059c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Truth Hurts,41ZRRpy9xgMWXx943C7fTY,Moby Rich,5cVeSOiS002MF1uiUFOPV5,Songs We Didn't Write,5zWGEZ2LkqRSbUA3AKSaHv,43,not available
15,One Man Army,72d5uOB3lIRr3b9XHNKAKu,SHVPES,0XrqdPZEYIUOUOc9rtee4m,One Man Army,5YKSaupdemNlnUbCCP10TJ,48,not available
16,BACK2YOU (feat. blackbear),0Ih5m31aOTcaTL4PnvGgYS,"nothing,nowhere.",7FngGIEGgN3Iwauw1MvO4P,BLOODLUST,78LoEWcpdvgRImtnfTZe0q,56,https://p.scdn.co/mp3-preview/0162ac0586560a767f3b42d80aadb553496539c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Attention,3e1UFLlZ52QtmPEB7De2OC,Outasight,1zuG3w1Zgeou53fb3Vu3bO,Attention,0CXbzdxZGMgWqxv2b9roMU,39,https://p.scdn.co/mp3-preview/1213bdf2d1336ff9b4427ac45bf68f784198a074?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,I Can’t Lie,7lijOLYEQmjoHcbddBCdtk,BRKN LOVE,2Hkg1gn2Hpar1sVP8adtNp,I Can’t Lie,2xY1VBtn8UAhNluNy3W31b,37,not available
19,Destroy Me,0uBNqy6taLbUqTy605rCXV,grandson,4ZgQDCtRqZlhLswVS6MHN4,a modern tragedy vol. 3,7AyAjjEyQwjpaqMEWMi3Iu,60,https://p.scdn.co/mp3-preview/41af59cc5af223822c51fc7f6327e4a5d4bcefd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Sedona,21rOdbcj8Y7glIazuWel2e,JunkBunny,2UdPcvUuTpvrq7flh94PaE,Sedona,6h0DXUi7906RJZRrE2SYLW,41,not available
21,Idiot Victory,453kqOaQcnmmqyKTAj1zXp,The Dirty Nil,2mGENPk4M4jtaf5D7fDi98,Master Volume (Deluxe Edition),4H1GFirFawSMgoJubmnn53,16,https://p.scdn.co/mp3-preview/419134239792352c113fa791a96b979a613a06b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Mind,4cwudSXdzfDKDPUOdQN96R,Selfish Things,4iQ7b56FZ0A06oJ0rt0paz,Logos,0bfHsXAVlgyRNUjfQL8A3u,14,https://p.scdn.co/mp3-preview/851a1467b412edb57188d551ae7a89946d6bcacc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Synthetic Sympathy,5U87poJhGdDVROtitLtEyJ,Trash Boat,0XGJ3GUPwslwFJ66yNbHeh,Synthetic Sympathy,381HXBJcgKxxeRLYX8i9nx,49,https://p.scdn.co/mp3-preview/a93e4c1ecb2c5fa9674f59e8e06ba81c7ff04043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Breathe,0U6R2Qa0UKCNanoJDP4nt0,Cold Years,5zJB2KYIylCM6uPtl9R9yp,Breathe,3W4niS9CZhzlV64jlntJ0n,36,https://p.scdn.co/mp3-preview/66dfde91d4131724585fac843a8d69d30411d6a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Both of You,5qzZf8QtBUCdlsRDinh3jP,Patrick Martin,0akke4ZfLeCMEwuSJX5yc8,Both of You,2DzccBohDSJEfIDatSM9bx,46,https://p.scdn.co/mp3-preview/70842dd219d82ff305591916d527255dbb70b2be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,What Could Be as Lonely as Love,3bFUVnTaNBLyEQBvvmnjFN,Amber Run,0MmnmsAuQKRFpo6vJElcaU,What Could Be as Lonely as Love,6YLkdD8TjrReduCHnz0Lt7,49,https://p.scdn.co/mp3-preview/966133d031a862613cb05ab29268f1e3ce60d311?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,My Benz,5WawGJxY6gmYSrb3y7FzA0,Wes Period,0Pb8ZfFfE2O0pvsFdwVUYl,My Benz,1S3xtA0JxpQ9ocnJVwznrN,50,not available
28,Tangled Up,2HEZY8I1NKvTvcEdFuqMnL,The Shelters,7LrFQFaZaxfa9deqkjvc89,Jupiter Sidecar,3m2KAgiUQMvia7ZKdVcR1G,38,https://p.scdn.co/mp3-preview/7aa558ecc4954f53f9e0e831d1c6a8686c970f0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Bones,2EAOa1WqmJK05yjiq0HdEr,Nikki's Wives,4fbZhquFmlr7L61au7sHTu,Bones,5tDvrY4GaH6w6yKiMOwvKZ,37,https://p.scdn.co/mp3-preview/2403f236aa16eb0ce9770f4e7c1d2e7bc6a31057?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Closer To The Sky,1pf8bjnKw5SgtfSvINI0Kt,The Glorious Sons,5CPxrqCStgt6AfI4fLiedH,A War On Everything,3XI6zViavQ6b7uTwdKGeWc,48,https://p.scdn.co/mp3-preview/610ce416bd305870bcb0f160adc6454a4d6c12c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Call Me Lover,4Pg6x9W2ziSJh5iym9XRTB,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,Hypersonic Missiles,7FWCgfnTgupXdyBy51ME9m,68,not available
32,Wash,3JUpfFQsiYXDX2x0tGuTd0,Liily,2asx6eXv9qzj5rA0ESrdO3,Wash,6X3JINwQyEF4EUO13OBTPb,50,https://p.scdn.co/mp3-preview/8093c48ac6e650fa910692d7da1f792b59c30316?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Return of...,2rPHjjQvdTLTWAxVLU4MnR,Left Boy,2gIGkRqCo4NK2PUCI8u4aQ,Ferdinand,3XDTNBvigKCQO2U1qiBX8W,33,https://p.scdn.co/mp3-preview/3bbc0915e3b967d3c4fec725c1b51e949077b73c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Swim Naked,4SM0NAUmbllfuu7YeajE4h,Betcha,3pT3KTodKJRyqpxoXINfQh,Falling,6tw7TyC4sZMrEomXECGqrd,43,https://p.scdn.co/mp3-preview/c390d9caf1b84c4bb5eff83e46964b6c2dda29bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
