Signed XOXO,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1693679,spotify
1,Heat (feat. Gunna),1wN6UMOnoOWqqQ6MY5R09T,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Heat (feat. Gunna),2gbbHSH4vizMYgfl4F3nH1,68,https://p.scdn.co/mp3-preview/b0292b0a659b2ec640aa79a9b32f39aba75a8f11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Blame,6S5dMjMifQYmyTu1mX4f8P,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,Blame,2OOcufzAxz4qgzadyJaEty,75,https://p.scdn.co/mp3-preview/01add4393458cd538c9be8f6d241fa10673586af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,69,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"GOSPEL (feat. Chance The Rapper, Gucci Mane & YK Osiris)",0WoAkdHmgPmEXfiBox1flk,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,78,not available
5,Enemies (feat. DaBaby),6UFEJuDXQMWhL5UH5f9fUR,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,83,not available
6,THRU THE NIGHT (feat. Bryson Tiller),1XRaT5DqbSipsS1YcubfDA,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,THRU THE NIGHT (feat. Bryson Tiller),4DnzpjPdSbBBmSNeOOcKA5,66,not available
7,Ride (feat. Kehlani),6FmnsSVdJJojBYzecDlpPO,YK Osiris,7meyrw7Or5DwteYxDJrkCM,Ride,7MWDbgk0WUzO5pg0g3H2cX,64,not available
8,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,85,https://p.scdn.co/mp3-preview/d7592fb6ede98cad8fc13bd08d01a2cafcae5a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Choosy (feat. Jeremih & Davido),4gWAcvkVLzqnzFOcrYBut7,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Choosy,6TcKWIXJvIVJHXerQtc81l,61,not available
10,Too Loud (feat. Nef The Pharaoh),151B0C7vTuh30G1YQ7bXRj,G-Eazy,02kJSzxNuaWGqwubyUba0Z,B-Sides,2C6M7W3XuPMko8hacm8Ibo,67,https://p.scdn.co/mp3-preview/15d19e73f04031899197755f977a635a9e3642be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,85,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,74,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Alone (feat. Jacquees),1367Sa0d0KFI96DHsTc8ID,Dave East,7e10JUMF7MJmmwYpnTSMI5,Alone,2HkdAB5Qb8LrjQgMN9vetv,57,not available
15,Stuck In A Dream (feat. Gunna),5hDAT527wXWNBnJlujhuUs,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,Stuck In A Dream (feat. Gunna),5uSX6qtcBrqNOWBloxl6vr,83,not available
16,Nasty,2jjItCsygxKASceR8hppIX,DJ Drama,5oNgAs7j5XcBMzWv3HAnHG,Nasty,5ZVjkEYRQQLpadUVOd3z1S,65,https://p.scdn.co/mp3-preview/48a70e6694fc947dda775fad75291e1ce4c48f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Love & Loyalty (feat. Mannywellz),740vfmatXFtyNO8FzsQpSN,Wale,67nwj3Y5sZQLl72VNUHEYE,Love & Loyalty (feat. Mannywellz),2P7btxS7XO271QeOm21qme,53,https://p.scdn.co/mp3-preview/3c8c15f7c5d98df3284dae042f9ee549eacc3894?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Pull Up,6LkQuRo91zYjI8dm1iOL2C,Luh Kel,24CgJHK6T7C5OmUbiLLMjJ,Pull Up,3WZn9JHe0Dl66RmNzcsYnc,76,https://p.scdn.co/mp3-preview/6a39eb41939209234b31e9e6de7145f9b58ebe2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,RENT FREE,6GefwzSnQkQoCnWJNs9IZR,Russ,1z7b1Pr1rSlvWRzsW3HOrS,RENT FREE,4rNgGxoqUkFBZOMEb7PKoD,74,https://p.scdn.co/mp3-preview/ac560b2155513c042e90c33574fc78132ca12112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Triggered - Remix,1vXFnAO7zu7n0ErcJmGLZF,Jhene Aiko,5ZS223C6JyBfXasXxrRqOk,Triggered (Remix),7gweQOZRW1sGNVXuxsjC2C,62,not available
21,Goodbyes (Feat. Young Thug),2RybgcXW3bHa8AUC7mDhmS,Post Malone,246dkjvS1zLTtiykXe5h60,Goodbyes (Feat. Young Thug),20983LMPUvc6BY7dGS8B1w,54,not available
22,iPHONE (with Nicki Minaj),3GX2hFAekmSduZzcS52OnR,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,77,not available
23,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,GINGER,1jToVugwBEzcak8gJNZG2f,80,https://p.scdn.co/mp3-preview/5ede99e4306c75ac7b99f277807fb91c2ce5c785?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Never Lie (feat. Moneybagg Yo),0CLhMOVhX6TaPpugYkEsge,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Never Lie (feat. Moneybagg Yo),6w9XKjOZTLF7CBhA5P6LOB,69,https://p.scdn.co/mp3-preview/36b1364a3069fadeb6d3b2f4c05a467c20fbd1e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,No Guidance (feat. Drake),7FEwp8BavoEVE3AnxJDchc,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,No Guidance (feat. Drake),1ypdCwJwVaUHuFTnvvQbMX,85,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Hold You Down,5HdFkD5LlBRkY5jkAKopga,Quin Nfn,3M1quhETLChtt9NHKVaajX,Hold You Down,6HdKHn52eAadMNXK5EJjh9,52,not available
27,Randy Mo$$,6Czehi4brvjpYIkNb6fQvE,Kid Ink,6KZDXtSj0SzGOV705nNeh3,Randy Mo$$,0rhhNKTUkqFVzYND5SVKyi,60,https://p.scdn.co/mp3-preview/84a12def44fd11cc6c97589547a1432874fa1ec6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
29,ADHD,5L0X8T8HNaUAIYw1oofg1M,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,ADHD,3j2L4sg2WK22mSWKkQ62Ml,74,https://p.scdn.co/mp3-preview/b09cfb670b2a09d1a0f8cbd8765727e351162af9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Shots,5xjei7JnROsAzLY2a7RdZU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,83,not available
31,Gold Roses (feat. Drake),4aPB8rSxGFISs0o6V2LrTy,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Gold Roses (feat. Drake),11aJHLZMcrwDkTHmmnmF0k,77,https://p.scdn.co/mp3-preview/9db9cee2ed1796a3a794eee54029648ab6fb7904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),3950uQm4KQL3ckerKBeXYp,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),432608DLpP0hExluDkY3Yh,62,https://p.scdn.co/mp3-preview/e726b14668627c5fb930f081c9d799471b93ff0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Slide,2rTnVB1bvwxHtaIl4uVu7f,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,Slide,6b3LhhX9Lt2861Dsh3ZCC2,73,https://p.scdn.co/mp3-preview/93882ea1384208a12c8fcf35b3c290e3b1266641?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,INTRO,05WepN8vrMLJG5r8XRdLeL,DaBaby,4r63FhuTkUYltbVAg5TQnk,INTRO,3HzUH9fh5DExUQXfIAt9wI,79,not available
35,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Single Again,7IP0lO9tHfNwBWZ9X6TJ84,Big Sean,0c173mlxpT3dSFRgMO8XPh,Single Again,0AIFISfeloajgVP5fB9ulV,77,not available
37,Understand Me,7sMGW6lb6zKVvLA9IHUCgG,Tyla Yaweh,1MXZ0hsGic96dWRDKwAwdr,Understand Me,7oKFm1hLdLjPv9fMmmiY6h,54,https://p.scdn.co/mp3-preview/7098efffd847555cdca4828e53d394b3d38b634c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,not available,not available,not available,not available,not available,not available,0,not available
39,RNP (feat. Anderson .Paak),4vRaGGiQN6l2LiQxSFg6ZP,YBN Cordae,0huGjMyP507tBCARyzSkrv,RNP (feat. Anderson .Paak),0qP1uAp9EbzchSzCjjRZQ7,63,not available
40,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,78,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Brand New,1QxwcqdPXQKcHsDthDeE9i,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Brand New,6PSc7caJrncUQe5aewfW6z,60,https://p.scdn.co/mp3-preview/4d369d1d29026d195742b95c3ced05732693f6b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,When I Get It (feat. Young Thug),72WzsgGndv0deRudSD2ycw,O.T. Genasis,1Zatb2YN4erBOoSivOXc0o,When I Get It (feat. Young Thug),6VaRNWngIWa2Yef3cl3z6y,66,https://p.scdn.co/mp3-preview/aa323ed8b1e5864917fff897d72776e40e47a544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,"Verify (feat. Young Thug, Gunna)",6tq6PWrJ8y8icAv1x45YXT,Jacquees,4tMm1dU6Gn04VAZ9ClHcIZ,Verify,1rXw0jdKjIl49Ng2mlgO86,67,not available
44,Forever,0oVxGuRMnawFgA8aduocfc,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Forever,2kznyvJ3wZGFCA1eYrjUC9,76,not available
