Flamenco pa ti,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,152438,spotify_espa%C3%B1a
1,Aire - Remaster (Bulería),7v9AulMhVGemWErlV9k5Cu,Jose Merce,7p5J8SfKU9Rulp7tcA53G8,Aire,7F7AQLPetH2wvAUtJAP5Xk,49,https://p.scdn.co/mp3-preview/ff16e54565fc854677fadb94dd5aaffcb4257795?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Rosa Maria - Tangos,1inzE9vi5EfFlPaMD4FjjJ,Camaron De La Isla,5MnhtFXEfqi637k6NfKuZI,La leyenda,6ryNeBH1br7ysANp9zQPVb,2,not available
3,Aunque Es de Noche (Tango),1y4pC42VYb14C2zztl59ZH,Enrique Morente,4rJk8GmrNf1g07EsuoZSzJ,Aunque Es De Noche,0LdAck9lDEkkfoTnoi43ql,38,https://p.scdn.co/mp3-preview/ad23b7be4f9c1ed5468e056b76ffc49f861eaca4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Decisión,03rCeIcvohJF0D8X3YJJO1,Amós Lora,6QIpfLG6LHhe7uHFpjk40p,Dadgad,68gCadl5Xi6XiWSNfFnEOv,25,https://p.scdn.co/mp3-preview/7d03b87eecca5f89326fbc82880ac1153ab24c7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Isla de los Bienaventurados (Bulerías),3CHxIC1JZewDlGqR039lrt,Cañizares,1PySKBegwK588WYnOnrsPP,El Mito de la Caverna,0SD94n8I6upvFQolNEblFl,36,https://p.scdn.co/mp3-preview/927be087607308b4b2149aab11644ce1d087f374?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,La Plazuela Y El Tardón,2uC9TiyTtxSqPZE79p3Qs3,Alba Molina,3cQX4iryDhE8MpwGv9AqD1,Caminando Con Manuel,4gTM0S0NalIPGhodQRXDeV,0,not available
7,Pa´Mi Manuela,3gsMABreknYZAX6iB1EMQ4,Diego Carrasco,1CWfLlYFee5DaOvGAAbjNv,No M´Arrecojo (50 Años En Familia),2qo0B9UruewvijLv8xNLE9,36,not available
8,Romance Del Silencio,4D3u5XfVloSVrfgge7RcB7,Rosario La Tremendita,5I2mmvjxwG7Sl9aW5sRhY7,Delirium Tremens,0mKJDI13JrhCAzfS5QqmtD,32,not available
9,Inesilla y brillante (Romance y panaderas),4YpPafnGggKoSK1qOAZokQ,Gema Caballero,5V1rDk5kTGdrGpm90xWzlP,Lo traigo andao (En directo),0NAYXudAFPjd6OKtmQhOF5,30,https://p.scdn.co/mp3-preview/40d36fc15589fe5b2d0acf4c969997f7d9a2015f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Soy Gitano - En Directo En El Festival De Jazz De Montreux / 1991,30jAaWnKDzPLGETJwwPON6,Camaron De La Isla,5MnhtFXEfqi637k6NfKuZI,Montreux 1991 (En Directo En El Festival De Jazz De Montreux / 1991),3Mm5gmCjCcfqBm9UQad031,41,not available
11,No me importa lo que digan - Bulerías,1ClrzAVtItlU6DgCbxJO0S,Pansequito,64NEtSN54xKhpck8xOHkcF,Un Canto A La Libertad,3I7bYUzEif2kTGXhq58gz2,0,not available
12,Soy Flamenco - Bulerías,4TdiIzPC8qW1e1rpxF9QDs,Tomatito,3wxFXeuHQEq4NubZunCIMe,Soy Flamenco,2Ha82vfbZ9EU8h5Plec5Vs,34,not available
13,Arcángel - Bulería,3dmecMMZEcbGIQ47v4zeod,Dani de Morón,5q5hdofWygpLCkmorAyttW,21,3K9Sshym9D5UKvgo3l9mGu,33,not available
14,Buscando La Verdad - Bulería,0hXMvW1mfJB8abEy3isnxS,Jose Merce,7p5J8SfKU9Rulp7tcA53G8,De Verdad,6HZWfzpBxCFs3o3GYXgfxM,38,not available
15,Azules,7C1itUoNjyIcPFytN7CHDL,Diego Guerrero,6Pw7KxMeSqiO74J4ZMUHNA,Azules,1yHuKNRVfjqw0VOEeDuhwG,33,https://p.scdn.co/mp3-preview/84767b0451c9a43c2b01df40f3c76ede04c43f09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Nuevo día,4bFaDjWTSbudJdO9J0fp71,Lole Y Manuel,698bm15EgCHVHJovNestUx,El origen de la leyenda,5puBCIL3oMbkrYmsdL0vPT,39,https://p.scdn.co/mp3-preview/43328de1241664b84ff8f8c80946c5ed0b86fe04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Penélope Cruz Volver,1uhQ3H3TSDX9Bq9Oz6uHWV,Estrella Morente,5gKJbL392PiokTPUoL7N6D,Mujeres,5oE1VEtOYkkJJiRkZ7KbgB,49,https://p.scdn.co/mp3-preview/cf26ae889693e2df9a2739011180be55d1e80d5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Ojos Verdes,4l5G6mR4jrEzvFo6dX91DV,Martirio,7r4rviBG63cmxn51zRuMav,30 Años,4RuhF6e7YDK5jApg7RM2NJ,14,not available
19,Como El Agua,05O6hRrDvwcuupNiHINrrr,Camaron De La Isla,5MnhtFXEfqi637k6NfKuZI,Camarón La Película (Slidepack),6QzSLE9axqRRhESC9wnFfY,2,not available
20,Informe para Costa Rica,6NbnD7NWx96ukG4s5Zcp45,Niño de Elche,5IbUz6BcOu6IVY512oxavP,Voces del Extremo,1JcJLV1fBZqsxHWPdZM2TG,38,https://p.scdn.co/mp3-preview/0af8ae58a89c82590c02bc3eda5a4df27140398d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Guadamecí,0nHV2PFo3cSocA0Bk1ebIH,Vicente Amigo,4uo8Bp99zyj8HQW1ynweoY,Memoria de los Sentidos,4NqDkTzI7IDEbO8cLcUg4W,44,https://p.scdn.co/mp3-preview/90c25b5aafe8796b7a31e50e7b95bd4841c1c52d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Trago Amargo,17PpzH1cJhJbKANGeyf7o4,Rocío Márquez,0s5dS3eWWnruwMMtgn7pgQ,Visto En El Jueves,1oW4QhOfI9q9vAllpW6sqy,34,not available
23,Caballo Negro,2uZoFxcoBcE7LzbtIW2rmk,Miguel Campello,0OzDyhPnwvUVGRNWrVILlg,Caballo Negro,0ILYkPuYeGYWr37ddvML5u,33,https://p.scdn.co/mp3-preview/976b6e55de980bf642feaa6c91f7af9d7c37cc99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Amanecer,03RDXo0vocWgLUMKMUaSjL,Pepe Habichuela,4d567Yau2MqOd3y9Tc1ypR,Habichuela en Rama,6Qrojzu25Wq5JIdRQC6iaB,32,https://p.scdn.co/mp3-preview/4795e89190a9cbab07e31d10ec043a358e51e934?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Homenaje a Canalejas de Puerto Real,6cpp5o1F9kE7cBwpiprlxm,Sandra Carrasco,4Yhm7oIrWj3IOCbl968CHt,Homenaje a Canalejas de Puerto Real,1Py6eXl3nGZg7XqLQL9gjj,32,https://p.scdn.co/mp3-preview/e936ad67b98412b58d43d19618b7e660756814a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,En lo alto del cerro (Tangos),2pb85vmXEfRKI3DjjUBvum,Estrella Morente,5gKJbL392PiokTPUoL7N6D,Mi Cante Y Un Poema,4IhoKolokZAqh0re1nhUR0,48,https://p.scdn.co/mp3-preview/947f4aaca3ef6ccbf819ede8bab480a4bded3ac1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Compañero,6YRtICfgmGW4K0sbWaHEim,Carmen Linares,5nJo9d4dYPQ9MiimCUdOhI,Verso a Verso,4YwY1VUdDTLIl5pkhVB1iA,32,https://p.scdn.co/mp3-preview/74556bdf27a7ad64ed5e47173e426fb3f2a0b188?cid=fa83a2fec7c440b7a2795d600d6b2c7e
