100% LatinX,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,328438,spotify_espa%C3%B1a
1,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,68,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Ocean - Remix,3Z5fGV8tIdwx3W0CgR9JTx,KAROL G,790FomKkXshlbRYZFtlgla,Ocean (Remix),1KWBHlgE8m1dEI6XW3PV50,63,not available
3,Si Te Vas,6Y4PDQv4XjYjHLeLmvyOt0,Sech,77ziqFxp5gaInVrF2lj4ht,Si Te Vas,2S6p0g6YzG3609Ty45i5Cq,85,https://p.scdn.co/mp3-preview/5cb4ad4d3ffe549979c79007dd7437211affb89b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Qué Pena,5099x34vBakWpGkHourFxP,Maluma,1r4hJ1h58CWwUQe3MxPuau,Qué Pena,1Db95k6t4rCPHSmdfsTeDl,84,https://p.scdn.co/mp3-preview/b82a2d454d23261612a6511904e5498dc064de04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Callaita,06S3Qjh4QWLtn6c7CVhYh7,95,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Loco Contigo (with J. Balvin & Tyga),1f38Gx6xQz6r4H1jGVNBJo,DJ Snake,540vIaP2JwjQb9dm3aArA4,Loco Contigo (with J. Balvin & Tyga),3HXHo0qkSUO4M9p6PEnA01,84,not available
7,Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,Tainy,0GM7qgcRCORpGnfcN2tCiB,Adicto (with Anuel AA & Ozuna),7nqA49hzXJWPH4cnM8nk6x,93,not available
8,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
10,No Lo Trates,4gqMVEJSaL5nNeKj5WmVoT,Pitbull,0TnOYISbd1XYRBk9myaseg,No Lo Trates,4K6B1KumSxNR0SfbLk66N9,81,https://p.scdn.co/mp3-preview/728d1032b35d9b31f2b079c83fc20ad315b5b2e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Si Tu No Me Llamas,4szSfWDUjK1vDSoo0w4q03,Yashua,4zTLrRqcBmj7ZDuLUrKBL1,777,4LZdWx7odHg8mWU0s09vu8,36,https://p.scdn.co/mp3-preview/f2a2fda8b4ddbab6af94084fcbbbaa68c2e85265?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Atrévete,3KekO5WUfJsh7kYU9o2w50,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,Atrévete,06HFdHnekZil7Rl5WdqAiK,86,https://p.scdn.co/mp3-preview/5920033084c8b49b80d96f47fabbaa747081af55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",1ndyl3wJCFs872XZ3ztPk6,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) [Remix]",71uU1JDWZ61OMDtW8h1Kp8,86,https://p.scdn.co/mp3-preview/662fa6450a8b90db980d3cdd27c9e3411da2c44e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",684EjRHwNsZQ9hCQxL4NYL,Dimelo Flow,3fZk3Gm5dN5v5yfYMQ04Bx,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",28561uZztshyZSVG6ElL62,87,https://p.scdn.co/mp3-preview/5f0536002dc215c10d649a4da83acbd9f1c53d50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Mami,3bDD7GGvIzAZeHz2TOYD3A,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Mami,069LGoUMDaNgoKStPYdSi8,79,https://p.scdn.co/mp3-preview/7fc85e58775f26a840990f3f251af120fb9af63a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,YO LE LLEGO,0uIfrUwwg0Z7KTitul7E3T,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,78,not available
