Cantautores,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,120633,spotify_espa%C3%B1a
1,Contigo,5yIVcrwQXdIlDgTMc8pa6z,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,"Yo, Mi, Me, Contigo",0C4Nm6vpiyldyOKNAESuSI,62,https://p.scdn.co/mp3-preview/c26dd4edbe36e587682b92d4be3b6e7494aa8497?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,El Breve Espacio en Que No Estas,0ZKHCt987c5ili0AegnZbb,Silvio Rodríguez,4rUyBlggM5tZUH5QZn9ZuO,Querido Pablo,6TRGz0g8v91FdG5Re8y7yh,53,https://p.scdn.co/mp3-preview/2407d5d47b857ffa945384bd9fbc30fc938ef675?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Flaca,1p7m9H4H8s0Y7SgRm7j3ED,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,Alta Suciedad,44D07i1Lk0zFtWHRARMih6,74,https://p.scdn.co/mp3-preview/1d8b25d233f792654ab1e5592926c7451d94bbb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Aquellas Pequeñas Cosas,0AYP9qfJJumsxSOZF3MndI,Joan Manuel Serrat,1t7t8q4zoYHp22JLIx3FM7,Mediterráneo,7h6vVYPUiuDF6KKcqMdE72,52,https://p.scdn.co/mp3-preview/18013172a4468840f071bccde0eedfa01916bd91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Slowly,2ZZvtilGKmGDAdz9IU1EG2,Luis Eduardo Aute,67h1eGw2OFs89l8EnaOdoS,Auterretratos,6D0h0IHPCoZag4aphOG7Mv,53,https://p.scdn.co/mp3-preview/270baca9bd6365a556a9a6c9a5014c1187965b30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Y Nos Dieron las Diez,1eCie6lwjb4crxeAvkRaSi,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,Fisica Y Quimica,6MeLjaERUK6fJ58YZpPlyC,64,https://p.scdn.co/mp3-preview/82fa5013990aafc8196ffadfb79654301fa9583f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ojalá,5sQGo3fB2NoFalyy4uZjiu,Silvio Rodríguez,4rUyBlggM5tZUH5QZn9ZuO,Al Final de Este Viaje...,4WEu5ZKJLZ9bOEav4ELwpd,68,https://p.scdn.co/mp3-preview/e9a136fea41894577f5d66ed8eedb3676f6cf31b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Si tú no estas,0LhiDnaTjkRZHWgAJfWqb6,Rosana,5ttV0N9HvMH3KLqNKcS2M0,Lunas Rotas: De casa a las ventas (Standard version),56Ux4hVWrnwFUvRBaxXngR,59,https://p.scdn.co/mp3-preview/c271c0df268e6f95c5b624f5376d445c38ff244e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Mediterraneo,7Bewui7KtaMzROeteRitRz,Joan Manuel Serrat,1t7t8q4zoYHp22JLIx3FM7,Mediterráneo,7h6vVYPUiuDF6KKcqMdE72,58,https://p.scdn.co/mp3-preview/7966cc6a963f529d65f55074031adda70a9f5d05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
