Los 80 España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,239310,spotify_espa%C3%B1a
1,Cien gaviotas,020Gj87SqDRvzGHELzcCEc,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,Canciones,42Gjhf7f1h2dKvWTKDHd90,57,https://p.scdn.co/mp3-preview/6e04ec0e57eb1a8c589098ce093952ba1e387726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Chica De Ayer,2eRLU7iAtraMJCLXaiAnUx,Nacha Pop,1CdLG4i1rTEOsex2UE0jCH,30 Años De La Movida,2X7cAMJg3sTureGBixd8VB,48,https://p.scdn.co/mp3-preview/4ac1f0bfd0f4cbac04606694f5530f3b2ffdba5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,No Dudaria,6djqlcjQPGhxuZ6HERSgWw,Antonio Flores,6GwZIG7UlxQR6n9kO8QlV6,ANTONIO / AL CAER EL SOL,7s8QLY0ZI5ywtrw18JbC79,52,https://p.scdn.co/mp3-preview/4eb832aa2d635f13def1efcb8b50e5b60352493c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Déjame,74tDMKwGlhrYEFFEKhgRLA,Los Secretos,2KEDbpUlz9nwtGywHT4gyf,25Aniversario De Los Secretos (Doble),2Z79S430gDu5L8VPCFtmJO,4,not available
5,Resistiré,2oI6d7XcMz1AMTQhDopV5J,Duo Dinamico,1TiGxAkU8w0xBCVFOP6Ttl,En Forma,1o1XBaN4Jinqh1j3MrEzI2,56,https://p.scdn.co/mp3-preview/fad5016b85709961cf0a2660722f12073acdf10f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sabor de amor - 1984,2UC0OxMpQeSYft4pRswyEX,Danza Invisible,1MK9J20Op7jFgUDbLiy6m2,1984-1989,1UDAwYpJmlGTaltPFLKBnO,57,https://p.scdn.co/mp3-preview/4644c3f6dba9660791884551d946c5317cf1cab0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Cadillac solitario,3VNxbWlw9oVvxSnSbeiCBb,Loquillo,5Fv0DQ1ZBuc2DlidtOUCZr,Rock & Roll Star - 30 años,24fPzeDiySM2lt3pvuLKGR,58,https://p.scdn.co/mp3-preview/b33b622d6cfc088279697d44cf7ae4c41407efd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Mil Calles Llevan Hacia Ti,2c4lkvFscid22nr32FByC4,La Guardia,5UYbCAN2H4Yr4f46tN5AeD,Vamonos,2vBaFcGcxPkBvpcQVqZgtD,49,https://p.scdn.co/mp3-preview/3cc52aef9115e1f453f09b9cad2019b22246b579?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Santa Lucia,4rOf6mtF2MpDwWipaila0L,Miguel Rios,1dpnxi6xgoB2kaRYnnoatZ,Canciones De Amor Para Tiempos Dificiles,1HITxEQK7ac082gDH7ynDR,59,not available
10,Jardín de rosas,3MvbFAlNARGUpMPEkn88Ho,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,Canciones,42Gjhf7f1h2dKvWTKDHd90,51,https://p.scdn.co/mp3-preview/5f24ee5de814740b3a3e8eb8cb70fd301741ff40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Rufino,1uaJUd68rBoPYNvafL8ymh,Luz Casal,1HUbv0v2f9HNE6qIbB35El,Rufino,3s3pxilDQPFP4AhEKk2otC,45,https://p.scdn.co/mp3-preview/9d232c52300492ce51c43d846c8869c39ee35ca9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,El Ritmo Del Garaje,2VIzHaFXpUB7lMtXmaZZ4N,Loquillo,5Fv0DQ1ZBuc2DlidtOUCZr,El Ritmo Del Garaje y Dónde Estabas Tú En El 77.,0kGhcJ4eaHTbYjv4tbhCjN,1,not available
13,El Mundo Tras el Cristal,1VHM7HjNxtZkApy2EabI4e,La Guardia,5UYbCAN2H4Yr4f46tN5AeD,2 En 1 - Vamonos - Cuando Brille El Sol,1hQmICC4YS92qv5flhbNYs,52,https://p.scdn.co/mp3-preview/b7dde493ba582c1abe77634d5a9140eb0ad6b199?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Eloise,6M6UYA5dPuu4kcOb7Y9x3q,Tino Casal,3PWELXN8Bl961nrQGPVk3u,The Platinum Collection: Tino Casal,6Xh8LcYMTJQfB6wKDFw90M,49,https://p.scdn.co/mp3-preview/eca53d80c384179fa213e33e86cf2e151e00dae5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Un Año Mas,28ZI5zNcgu2nPaP2FnTnFj,Mecano,5BMgsAFg8rZQc3tqs5BB8G,Descanso Dominical/Une Femme Avec Une Femme,2JBsEO5oMKpvXpMwSK04pU,51,https://p.scdn.co/mp3-preview/0d332feb26c9bc5b870809ab64494b053090afd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,¡Chas! Y aparezco a tu lado,1eRgClFGphd2MgpyIBsbfS,Alex Y Christina,0KCH1PXlG8girK5UrHIA4y,Alex Y Christina,2gFaLEkHmpAGoNcBvxZ47o,51,https://p.scdn.co/mp3-preview/8b3d00e589396b9acfc43057699a48abd51d8073?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,A quién le importa,3Qa1r7Ii95K0A9Gerh4dKS,Alaska Y Dinarama,2mDlFcPtgXtLF1gEshEInh,The Platinum Collection: Alaska,7qwvrBicEWpZWYRoWvM8OA,56,https://p.scdn.co/mp3-preview/a649665fd98a04f6cb56de18b2325e05ab2be645?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,El Hombre del Piano ( Piano Man),059MeGrjckx2jFjw7jkBgt,Ana Belén,4NOZW7dBOmBMMAG9EGQd4t,Con Las Manos Llenas,5ubgULFZG0skjRLEmQLaN9,35,https://p.scdn.co/mp3-preview/a3f0264fb3b9109f0969999abc294fbaed37adc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Dime Que Me Quieres,2IofpcCv3PjgZ5AjX446fi,Tequila,6stZWw6L5Sjy5m7OdUR3rO,Viva Tequila/New Booklet,3ovUVxowHnFWTGx0KyYnBk,51,https://p.scdn.co/mp3-preview/acbb29ae21e15e1c5bc2ff541fda8945652e0659?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,No me importa nada,77eDrs7w2utSdbBdpbefol,Luz Casal,1HUbv0v2f9HNE6qIbB35El,Luz V,495PNGzppo3wT27Em5Yy8o,56,https://p.scdn.co/mp3-preview/409026af47f1bbb35dfb0195facaf846edc5987f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Camino Soria - 2018 Remaster,7hiREmwFzwoVYOqjxDBhKj,Gabinete Caligari,112QHbB1xApqwVJR6n20xy,Camino Soria (30 Aniversario Remaster),6Au8WYKaPZjMe2VOKInFqB,41,https://p.scdn.co/mp3-preview/0e250c55dc2cc975c392610d4446d14c558070d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Ni tú ni nadie,7LpS82vPDLgZAHWRtWBBRj,Alaska Y Dinarama,2mDlFcPtgXtLF1gEshEInh,Deseo Carnal,0WCUpdYXsvpM8Bed8w4vQF,64,https://p.scdn.co/mp3-preview/0fb52c0b7e0ba4914bcb634fbcf5df4c92a87a9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,El rompeolas - Remaster 2017,0sX3XmiVd8BAIh6kqiCk9Q,Loquillo Y Los Trogloditas,4EM1gc21UrYHQ3eal963Xl,Morir en primavera (Remaster 2017),2Z1e7MY9FPehW4kCIVtkl6,51,https://p.scdn.co/mp3-preview/e9703621d29dff64a3f08f2112a4836786c5880f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Princesa,0C1OcBOsuFmFFGkh3FWIGG,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,Juez Y Parte,1hRchXbVPTu1YgyzdkR7XS,50,https://p.scdn.co/mp3-preview/e0b244d0da16b972aa810809ab7569c1b04dcfbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Una calle de París,1nLOdVT581H7SA0ttCZRF9,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,El Grito Del Tiempo,53ysLjWIelVJ47Si7ouHB3,49,https://p.scdn.co/mp3-preview/51a02a5268ecfb22e3b2461da037377aa86f6bbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Mediterraneo,6QBLmxP1tU6lw1dhKQulau,Los Rebeldes,5xL4xxrHU7qleELxk85vAo,Mediterránaeo,7CZDkvrW1btWAv7oV0Sl3o,54,https://p.scdn.co/mp3-preview/8a246296729b7bba4081a4090fdffaa4df3180fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Enamorado De La Moda Juvenil,43d4GHeS2lfZOdgGE49NPA,Radio Futura,4qKJA8Cf8R44cMThP6q8KM,30 Años De La Movida,2X7cAMJg3sTureGBixd8VB,46,https://p.scdn.co/mp3-preview/cd493c9e6da1b59c20b7da29579403658efe6167?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,La Puerta de Alcalá,6QiLjKjMtPqoNdIlbqiIqv,Ana Belén,4NOZW7dBOmBMMAG9EGQd4t,Esencial Ana y Victor,5PqWboO8JlSZ2OGBlJGBBn,42,https://p.scdn.co/mp3-preview/3fd9f4a686e4462763236d0eaf5edebbe3c27128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Hoy Puede Ser un Gran Dia,5YxgSArh0FDP0CEDuZcYnC,Joan Manuel Serrat,1t7t8q4zoYHp22JLIx3FM7,En Transito,2OlJAOxMhMBR7wfS5CkfwJ,48,https://p.scdn.co/mp3-preview/5f4e3911b520d10779bca8d7a34e85eae561b76c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,El calor del amor en un bar,4EGEeuaeyL4JK6N6EOb4vf,Gabinete Caligari,112QHbB1xApqwVJR6n20xy,Los singles,4dNRhNZ1IkA5iGW5zFCLDk,40,https://p.scdn.co/mp3-preview/d021ee3e969cd562edc26fdc98c428ef4c58c966?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Amante Bandido,1hj6nYHeGclSY0VNTHMi27,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,Bandido,29QmPdVjXD0c5DpS4U51di,63,https://p.scdn.co/mp3-preview/df2ec2f5c8cc7be595d37b46407611ed0e4fb563?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Te dejé marchar,107S7ETljEbvsoLV9Tb92a,Luz Casal,1HUbv0v2f9HNE6qIbB35El,Luz V,495PNGzppo3wT27Em5Yy8o,44,https://p.scdn.co/mp3-preview/0292c37ec8caed4724550e18e1d00cd1c3ac4ab5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Me Colé en una Fiesta,7zteNrLJJwjGa8e2IodVOp,Mecano,5BMgsAFg8rZQc3tqs5BB8G,Mecano,7K1Hg5vLSW39vWYquAXmMm,58,https://p.scdn.co/mp3-preview/7dc36f25d1ec8eca95735786a8f851b04c8bd260?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Chiquilla,4eJikwHYHJ3yMg1tvS1Mom,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,Que No Se Extinga La Llama!,100SajoSYlozWJ2wRFKob3,57,https://p.scdn.co/mp3-preview/89bd34d32cf921d544d433e8ec46adad4694b6c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Groenlandia,4fecwWpiLBXPEt4h5g0M0n,Zombies,6ux3PhdqQ1cP8LZOpUvihc,Groenlandia,4HrsNxHmoNsdvp3zrCnSdz,43,https://p.scdn.co/mp3-preview/da027b27595ca7d69176dd741e8d65ca7a8c8b20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sevilla,5E48mFtui4eFEsEMzXXXqy,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,Bandido,29QmPdVjXD0c5DpS4U51di,41,https://p.scdn.co/mp3-preview/acb33c9314c0477b85bf193b9f7101240e338cff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Aire - Remastered,3QiRtWfWlZtLz43VbJRiEm,Pedro Marin,3Lro9ZSn1oz639uXUPjQdV,Todas sus grabaciones en Hispavox (1979-1986) [Remastered 2015],526a8VvekJ5SyPslkNycvd,42,https://p.scdn.co/mp3-preview/1481fca571dd77f8f9545bf7631689ce43b4da6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Calle Melancolia,5ZAqs1W68ldSzJ0mUO16l4,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,Mucho Sabina,5pr2R3J9kR06c9RmRGlvqa,51,https://p.scdn.co/mp3-preview/95b750426ef0dd5f09c434fcdea8c9d0ec9909e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Que Hace una Chica Como Tu en un Sitio Como Este,4kYdaN5ECfrCPPuUUiCiTr,Burning,5nhDsJ4yNy8BD4LbGMsb1v,Burning (Singles Collection),1mq9A7RUXMO88fontI2jCN,50,https://p.scdn.co/mp3-preview/7a070333d9b25b996660f7446376a57950ab34ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,El Limite,0NFcUhw2uKzX0zqH81tWOu,La Frontera,4WeIMVqCUH09dxtBsstIw3,La Rosa De Los Vientos,51ohZ4F4nZ40R8eGyK7tZT,52,not available
41,Embrujada,6udZus2RwDVhD3zateRfFy,Tino Casal,3PWELXN8Bl961nrQGPVk3u,Grandes Exitos (Etiqueta Negra),46ao7WvD5pQIBv3ytjhiFj,48,https://p.scdn.co/mp3-preview/b45f73604324329b676164a02bf412d9179e2a3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Salta!!!,00o2gSF6lqv3XjRZyjROW5,Tequila,6stZWw6L5Sjy5m7OdUR3rO,Vuelve Tequila,5ktQDuyw6LdjrtV8BjDpxW,49,https://p.scdn.co/mp3-preview/756a400f6aa504a0b326ffe08f3ddc4a6448335b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Pacto Entre Caballeros,41JrRedwrJxbBPwI8Qku04,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,"Hotel, Dulce Hotel",4UBv7VLi5eBakkBymrMCN4,48,https://p.scdn.co/mp3-preview/9694ffdf7aba16d3d7ab75f7a3de8de754775209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Bienvenidos - Live,0bkUkbJ1nEalT9uPKFP3Vc,Miguel Rios,1dpnxi6xgoB2kaRYnnoatZ,Rock & Rios (Remastered),5fstCqs5NpIlF42VhPNv23,1,not available
45,Adiós papá,6Mw8jsLM0z0iBjL5beg2nF,Los Ronaldos,1OTnb625gMBm5NsLYAdUEm,The Platinum Collection: Los Ronaldos,3cumBEF2sZGWRKzWHPNYt8,42,https://p.scdn.co/mp3-preview/3c7ad4ea7e2f56bf8018e0522f5f19a6247db2df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Sobre Un Vidrio Mojado,2tsdjiIi3h7ywJh9SNsPlY,Los Secretos,2KEDbpUlz9nwtGywHT4gyf,Grandes Exitos,0skEDEdGkKIp8vLFHgJaAM,47,https://p.scdn.co/mp3-preview/9301655042dd61e4f64e162634d48d8f3a189041?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Bourbon,2954edpplwlieVsvYayZZh,Dinamita Pa Los Pollos,44Nh1bmSzhivHlENPfVurl,Los Mejores Años De Nuestras Vidas,5py4Rffz1UdgKkePbNnWAw,40,https://p.scdn.co/mp3-preview/5d9a4516e2068f4705b63915eac50e049d6f0b05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Asi Estoy Yo Sin Ti,345wiXlfRlPPmZE9qOLpcq,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,"Hotel, Dulce Hotel",4UBv7VLi5eBakkBymrMCN4,50,https://p.scdn.co/mp3-preview/d0504af02e99417cb8697184a9b5f7b42024ef65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Aqui No Hay Playa,7Ja3xxyLa5mdvAOlzBPXd2,The Refrescos,2dN0tlioLsFZ6319yNUNlX,Universal.es The Refrescos,16OaqDgZrf0mufBB0NyByn,4,not available
50,Corazón de neón,5zAnoLd8d4ssifVCnSDrwG,Orquesta Mondragon,6d7LEKCmi5168sop16K9oI,Viaje Con Nosotros A Través De 21 Exitos Feroces,1zFPrHua1e0a3dePXw3cGj,50,https://p.scdn.co/mp3-preview/742ab4dfe85404de3bbeec8d5bddc48df56f2a6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
