Global X,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,328389,spotify_espa%C3%B1a
1,Loco Contigo (with J. Balvin & Tyga),1f38Gx6xQz6r4H1jGVNBJo,DJ Snake,540vIaP2JwjQb9dm3aArA4,Loco Contigo (with J. Balvin & Tyga),3HXHo0qkSUO4M9p6PEnA01,83,not available
2,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
3,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,87,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Make It Hot,0QopfywHKJZH8bnt8Cj9qr,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Make It Hot,5lVFS3eenpf4H7u26eiyng,42,https://p.scdn.co/mp3-preview/7966b00a2d88a7d71d3367eb39168af0143f1c6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Lips Don't Lie (feat. A Boogie Wit da Hoodie) - R3HAB Remix,5JLDDfDzrRYreGS13X8wec,Ally Brooke,6TXM1kV4L8DsDAkAfbOPYk,Lips Don't Lie (feat. A Boogie Wit da Hoodie) [R3HAB Remix],2VJaUeMCysrmmuVpSzfxPt,64,https://p.scdn.co/mp3-preview/32c21cd55ae6a2fe1e1f9030ebc79adf73c8279d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Safety (feat. DJ Snake),1mzARUs2kMMxcKh1ome5aX,GASHI,0JOxt5QOwq0czoJxvSc5hS,Safety (feat. DJ Snake),1uezDIjS9R7NxGNy2wGlUS,73,https://p.scdn.co/mp3-preview/e75734ec1311cab858bbd07c378dd3c3bab7b2fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hola Señorita - Robin Schulz Remix,44ETcHYUz11q8QbqcgSwL6,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Hola Señorita (Robin Schulz Remix),03nOUCfP5AwMD7cVEQwf9r,66,https://p.scdn.co/mp3-preview/226411ce328c09c8585d771708dad838039e844f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Angel,5s6w6LGupX78gmYBnD6PyX,Zack Knight,7JMBJmGMqw4H33HECyW4QP,Angel,6ayXe6K6BCesXlSeYFFowA,60,https://p.scdn.co/mp3-preview/83a95f0e0f754e625a9ac685b5ae2207165d6351?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Haute (feat. J Balvin & Chris Brown),1rYC34UUszS0QzzECNRhYb,Tyga,5LHRHt1k9lMyONurDHEdrp,Haute (feat. J Balvin & Chris Brown),67LA6sxeFjVaL1Vex4CSgr,74,https://p.scdn.co/mp3-preview/aed71856078116fb932617c5c3eefbe9c6a6a1b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
