Radar Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,139598,spotify_espa%C3%B1a
1,Perdona (Ahora Sí Que Sí),1AODZVWUeYlsKoFTo2iyEA,Carolina Durante,2BVE7Pqd8kxv9xEsuvoJoE,Perdona (Ahora Sí Que Sí),6lfDtQxgcGSUNvJJNKranS,60,not available
2,Un Alud,2gYuASHMtye5Y7eIUJzqnX,Amatria,5aINmhPWfAHvZ5qaMdBezq,Un Alud,6jTcc7ipU706YOnz0Zq4YN,50,https://p.scdn.co/mp3-preview/07b22ae5a9b473b713e93d39a6b65d045300929e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Reina,5zOYyBx0RqHUa0QTb4xBUA,Miss Caffeina,1uvhwixGrZkuT2gpQQWgYb,Reina,6VcjUyIpC7AJmCGZcoiAKW,54,https://p.scdn.co/mp3-preview/e8ff72439d1b3c219deefb1251cd69a91e55a7a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"Fascinados (feat. Joan Manuel Serrat, Leiva, Vetusta Morla, Iván Ferreiro, Loquillo, Zahara, Dani Martin, Albert Pla, Mikel (Izal), Noni (Lori Meyers), Santi Balmes (Love of Lesbian), Xoel López, Anni B Sweet, Jeanette, Carlos Sadness, Nina (Morgan), Juan Alberto (Niños Mutantes), Miri Ros, Javiera Mena, Jorge Martí (La Habitación Roja), Rafa Val (Viva Suecia), Marc (Dorian), Alondra Bentley, Abraham Boba, Carlangas (Novedades Carminha), La Bien Querida, Martí Perarnau IV (Mucho), Nita (Fuel Fandango) & Shuarma (Elefantes))",2NWWhvKfxY7jVG2PH5F5CY,Sidonie,2pMVWkucVS130nJx59uAEa,Lo Más Maravilloso,2biogL3EqT9xAefITAu7h1,57,https://p.scdn.co/mp3-preview/fbf39dab35516dfc05f587a19a432ee7aafdae42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,ABC,5BAHP1SSe7fdFsWTu9yoiU,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,ABC,1F3345mWITbnR2aysaUwZB,63,https://p.scdn.co/mp3-preview/7003f25d43354aa2966b5eb6f5dfe570e442add3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"Joder, No Sé",7kbbi5RoKaPJWaGmPr3mHh,Carolina Durante,2BVE7Pqd8kxv9xEsuvoJoE,"Joder, No Sé",3kyiGug5O5cRrpTAAuQk65,47,not available
7,Si Estás Tú,4T5XguPFSIrPliylAkUlPq,Delaporte,1GDip5phlxYzeZ36vnf9kJ,Si Estás Tú,2Q093N8qvz0B74yHM0l7eV,50,https://p.scdn.co/mp3-preview/6a966f3b990e7799c7e0f2042446c933a85fd9ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Vencedores invisibles,3MhFkYqqDSI331E3QWRPLq,IZAL,2hazSY4Ef3aB9ATXW7F5w3,Vencedores invisibles,3wr7HOLyA0Ssor8U1v82LS,53,https://p.scdn.co/mp3-preview/4a378a5ede1ee1868ab0a2333a092a50bf52264d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,¿Qué?,25bwcWBGh9ox4CR1ttJeHU,La Bien Querida,0Wn7tfH4rhaWTn8aMqSgh6,¿Qué?,5DoubGLMbpvAYcd6DDz5Nz,55,https://p.scdn.co/mp3-preview/43da84952e69d79d1b875dc31d9ae0a2f94156e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Agua y Mezcal,5tMLIgw6yxobsAyIVvfHo5,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Agua y Mezcal,73pVSGyUpVervpSru5En9G,63,https://p.scdn.co/mp3-preview/7d2f9175ab405225754401f5aba19160be54251c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Otra forma de vivir - Estrella Damm 2019,66NaxCx1xBV2QZ0ZTK3sXG,Joan Dausà,1GRFao1QTh0i5Wx5Ms0A3I,Otra forma de vivir - Estrella Damm 2019,78nszlSnEge2cIZsJgpTxq,54,https://p.scdn.co/mp3-preview/561bb33c2ca5d053446a4d423e45fc77c4460cdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Adrenalina (con Delaporte),608HSYpMwIyXi5dtX6moT4,Delafé,0F3BteCqLenBeFqKMviDRy,Adrenalina (con Delaporte),5TtC70Zg8w09kTTaOcryB1,42,https://p.scdn.co/mp3-preview/5f3fb66410725cd44b5d0193f8089cf5252a00fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Obsesionada,5unclBGXFnC5N7nRaDBZC6,Novedades Carminha,52la6ts4higk3sqyFC3aTg,Ultraligero,4U94USgBbCaRWQtwT4NzWo,51,https://p.scdn.co/mp3-preview/7a570448f45da75d4f9e4b3e1e3de9299e99a257?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Lo Que Te Mereces,5rQ4vhUUoBBUl99j7Ms9M3,Viva Suecia,57s0ep3eNSg81D7ZxiuHbC,Lo Que Te Mereces,5CPe0rHEG3D0WmNi8RbWZM,52,https://p.scdn.co/mp3-preview/37619c36497e44d51a8445bcc72f69b5d7ff0684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Guantanamera,0OGwGIp2WLU3jOC2xRq3id,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Guantanamera,7MWq5d6CmMfMcCNF0bBsFF,67,https://p.scdn.co/mp3-preview/fe553eb875f9185a2ea425317977ed36c00f537f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Vete a la Mierda,755zIC78f1QzAaaT9rvNlS,Joe Crepúsculo,34SgyDEDqVlahIQRDttgCn,Vete a la Mierda,2be5hC9ih4s8CdMTSIjGvZ,41,https://p.scdn.co/mp3-preview/470029dcb1b34c7732f42a926146f2f486cf8842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Mixtape (feat. La Bien Querida),7HIwxHgRnpspTTioRvCgdM,Delafé,0F3BteCqLenBeFqKMviDRy,Mixtape (feat. La Bien Querida) / Si está bien,17Q9dD8s6NYTvAWxP4M2dm,43,https://p.scdn.co/mp3-preview/79fb2e4cce611e867eda2975b748050e5c8991f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hay un Sitio Pa Ti,55pG7x7OMhuokLDyqmgFBw,Novedades Carminha,52la6ts4higk3sqyFC3aTg,Hay un Sitio Pa Ti,7wiO3veYcoYvmSgplto0H2,43,https://p.scdn.co/mp3-preview/413fdee482f7ff98af8a90656038929acefb65f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bailando Con el Viento - Feat. Mikel Izal,7GyrhtQUvdCM1I6FZusRfI,ALIS,3yVOHNWnsCHuaaOCnflSRD,Bailando Con el Viento (Feat. Mikel Izal),4Uo8how7CehdRVF7efBl7r,49,https://p.scdn.co/mp3-preview/9973f8827e1154179631a75dbce5801884e79ece?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Las Ventanas Se Encienden,015lhe5tij6F2cTvN6ROYN,Mucho,2MCiePdBoCr6NpWKxWztaw,¿Hay Alguien en Casa?,335ke7bdW88GhIS24vkpHT,46,https://p.scdn.co/mp3-preview/7f3eebdce579e471b6c996deffb11fc7fd1870ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Las Canciones De Juanita,2RUg3NIWTeitAe46TNxP0h,Carolina Durante,2BVE7Pqd8kxv9xEsuvoJoE,Las Canciones De Juanita,7aE5DBt92HoJsHp8gsIcES,43,not available
22,Agosto,6fZlikRsTWGrbmMFJFNxzO,Pol 3.14,4P9xDIEyrtAeXRI6xOl2TS,Agosto,1zdKkznRgJ86i9PAlDa50Y,43,https://p.scdn.co/mp3-preview/d6810a8db04b02f74202b98b14c43868abee496f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Ya No Te Veo,7lOLQ52wY0FmqEKn7LKtQG,DELLAFUENTE,4bJh7sMPcVRiqe5jlnsWQV,Ya No Te Veo,6a0eIW3R7axID3uTFPfi9e,61,https://p.scdn.co/mp3-preview/2ea66797df6e1be810871e049512f2b1f892c008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Marina d'Or,5qfvPCFOSypitwMr5HDdW6,Colectivo Da Silva,7h2HIXXVcZ6UPkqlCa2QZY,Marina d'Or,32wy0CeS68xEqc4MjiVE9k,39,https://p.scdn.co/mp3-preview/fcd49553d755bbf0091906b00cf6c005e225666f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Sola Con Mi Voz,2xF63qZjCPDeXIQDsMAiq4,Blanco Palamera,6SEgrMW4qNH72UAx4h9epk,Sola Con Mi Voz,6cSKae3SEE9xZCfTlU27k0,35,https://p.scdn.co/mp3-preview/036a46821d49b8a48b78414578b22fe05968e14e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Algunos Tenemos Fe,5aKWjHEzSaYB7Cs3AGE8TV,Viva Suecia,57s0ep3eNSg81D7ZxiuHbC,Algunos Tenemos Fe,5mgJLYJ9UiiVcW29HnwaDF,48,https://p.scdn.co/mp3-preview/ee5ecc80bae35d75fef9b5375bcee7fec97cecec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Quiero Que Vengas,2eucUeV1hvStstsZMXxJVV,Amaia,1WLEfsQjvgtFSGkrHonzFX,Pero No Pasa Nada,64hXEHSg8N1MsIEidDSIyy,60,not available
28,Arya / Eleven,4qJupgLDUKLaoeYamMWrv8,Floridablanca,3Ri7j4vT0iYvMjMv5I3iqp,Arya / Eleven,2I0WtRBJqxNkBMggKhRjtn,38,https://p.scdn.co/mp3-preview/b410c165f62251fa58f4babb2d696369088921ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,La Bajona,1xzDfke1rOIhe3U8dLdIs0,Cariño,7fWD0BSDlixbj6YNQyHTLh,Movidas,1IQ36LcYlMTMsmUfA8ny5H,1,https://p.scdn.co/mp3-preview/0cdd721201b8284082b91918c20289b035899ad3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Vas a encontrarte (feat. Guitarricadelafuente),0fs0rrKpjNipulHV1CtL57,Muerdo,3Tn4gmQQde9am94ntk2NBq,Vas a encontrarte (feat. Guitarricadelafuente),2tj9cT4X2ZZcOevz6limO7,57,https://p.scdn.co/mp3-preview/d49d5f8398a4cfb93d727c7342b997186866e8bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Qué Querías Ser de Mayor,4HLZUwUkvVV2GvzRqnnS5X,Viva Suecia,57s0ep3eNSg81D7ZxiuHbC,El Milagro,7qyNn1jGhxpIGd6jrRWGt3,48,https://p.scdn.co/mp3-preview/75424f1912cec24fba6c055722e57cc39d810bbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Gente como tú,0BCp1vrNXVxhaX2bdYDoJo,Cala Vento,6QpQ7WsYLIpTV3yRa0fJo1,Gente como tú,776YrWq92YNQ3Sj315344Q,37,https://p.scdn.co/mp3-preview/ed26f86673e5803558dc6fd1100a300afd473aa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Amo,1wTov0ntO0e4frHIUF7ups,León Benavente,5wuBA4TiRM0CNjSXjsutn6,Amo,2zN0gtBTwQ3sgSHjwhnBN0,44,https://p.scdn.co/mp3-preview/05234e25c94b2e8578174da1914214715dec5974?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Aire,08csbubbyefmulAdVkPgEs,Blanco Palamera,6SEgrMW4qNH72UAx4h9epk,Promesas,6jA8JYR7URcGLGV5aVIsNM,37,https://p.scdn.co/mp3-preview/bc2837e963c3938a4c48c796cff2c0f67b050968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Será Lo Que Tenga Que Ser,7bQDnbN1VS3jpZPuW5BxYZ,Fanáticos,4sZhiWLYA63NKsoJUuJz1B,Será Lo Que Tenga Que Ser,71WNRVD5EDqnvmul4IwVGA,37,https://p.scdn.co/mp3-preview/7d72d3dd2192416d7455b50e8b11b5ec7a6ecbdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,El Miedo,0MPs3gvdEOyR48Ku299uct,Embusteros,6f7lvc6nLaTvShpNCJNveE,Pequeño Universo,68Cyv1bzUFuovs51UAmcfz,37,https://p.scdn.co/mp3-preview/176c7eeaa7ee89af87ded2a48d8d0fc89541f21d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Romance Romántico,3WgQ5zCRswGjxNGLm6kZGb,Mujeres,5vnfKgHNYLnKeuFA6c2jJO,Romance Romántico,5NJOd92izlMJ1ZgXDmEtPu,41,https://p.scdn.co/mp3-preview/9de75bef1dd7c7f74293cdcb07471f93c03cdb98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Barefoot In The Park (feat. ROSALÍA),3onYsieuDICdVt5ULZSExF,James Blake,53KwLdlmrlCelAZMaLVZqU,Assume Form,23dKNZpiadggKHrQgHLi3L,66,not available
39,Quimica Brutal,0IWi4J9nI9HWOKytcaRqci,Mon Band,42nB1CSVZPYkElCS6FFTob,Quimica Brutal,5lEye3bwfCMOPgQNcv0bgO,42,https://p.scdn.co/mp3-preview/0859647f2b67f3a0dd745d553c94bd678db60482?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,"Contigo, Contigo, Contigo",4WA6Im7b8HRRHufpT6Ou6E,BRONQUIO,5ChiL2aAGunqF9P4m3giP1,"Contigo, Contigo, Contigo",52kJU9KeICqsIMdVfCHxCl,40,https://p.scdn.co/mp3-preview/f86c55ddf242d6eb998fa2c1b399067138839e84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,La Típica Canción,6yGP9c0OkKZgdqBjec9HMu,Ginebras,5w3bs8jNvbb0QHf5Lo0sva,La Típica Canción,0ryHHMD4YYIG14d9qeyKGo,39,https://p.scdn.co/mp3-preview/d306678772ca707bd55962bd9941bf055f29a9af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Univers,0KNNbzTq8lpEeJRRRhhQzi,Ferran Palau,7h0Xj4rDQMndEq2JsZZVzM,Univers,3EQbDVk7oEz460ROZ8d8xw,43,https://p.scdn.co/mp3-preview/df5ae5714cb8c5009f54ea64ece116becaca912e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,No hay miedo,0BCgd0ELbFC2vNzXBJFVKY,León Benavente,5wuBA4TiRM0CNjSXjsutn6,Vamos a volvernos locos,4jRMwulUkj2n8ZJGTLAjum,47,https://p.scdn.co/mp3-preview/8802ccdac8c3aebcc9c43f259c11a0c2bb6957d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Todo,4IYm5Jc4y4omwv4bXQYlZv,Fanáticos,4sZhiWLYA63NKsoJUuJz1B,Todo,0EhoyTdfKUstXyjqFIrEeS,36,https://p.scdn.co/mp3-preview/f38c4a2bd29c30e46b6f498260626654e9fdb770?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,El Novio de la Muerte,2TSbnZSnGVdGzcF4brLFV5,Fuerza Nueva,6jTfHUMYOlGUcOrgsq1Rm6,El Novio de la Muerte,6MYsxSmJjBz1DbaMlod4c8,42,https://p.scdn.co/mp3-preview/3a6747795e161bcb75788c85b02dc8cca872f71c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Aún Queda para Largo,5mIvXfgJcMeOBhlXThfAFm,Astropålido,3bS1xumJ5H49qsn3J7gya3,Aún Queda para Largo,7m5uBBfBDtPhFl47o8y1F5,32,https://p.scdn.co/mp3-preview/1ab33e6a76ed772fe1831ab106de65c5713f1a82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Créeme,2xSkiO6yedGCvRPEi2WzOy,Nunatak,7wqxTrC9BtdVj2G6j9PP7z,Créeme,3kPkWhAA7tvxazLmshO0LF,37,https://p.scdn.co/mp3-preview/e97ce7beb5296b4ab9360685167d5538b278beca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Esa Música,4U8Rp9sge70EMwIdjAtJeS,Parade,1peNOv8TAlb3Lu1IqaNf56,Esa Música,1d1oaVUKSRwKvF4SITE32m,29,https://p.scdn.co/mp3-preview/30729abdad8f97bcc32b5c585b2078e84efd2bf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
