Sin Estrés,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,555669,spotify_espa%C3%B1a
1,Touch,1EDVfFvmSSTFGHC9EVUauV,Haux,1ifC4znYCvmMSJ0rght5JS,Touch,7aEajkk4wlI2lYXeUMHu2G,54,https://p.scdn.co/mp3-preview/58ab33a8ba840d7db5552ca9415de3177e1c5c94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Lady,6KGxifBxTKSctCMqZoEI7R,LambC,0BpbTGO68X4wV2aLBzjnhL,Absence ‘Side C’,2E0KVLcgonkLqwXvFIiDdy,45,https://p.scdn.co/mp3-preview/7887347b78e58b50b63105915e5922c8746b2827?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Romeo y Violeta,4nVoM4pJT8CUTAJbenU2bx,Juan Ingaramo,2XVoz4hoXgQ3C2BTGxl9V2,Romeo y Violeta,68s41NxvS7FDQzVdNfqryX,55,https://p.scdn.co/mp3-preview/014da14a000597ef60b06de1af781fa888386fce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,I Won't Be Long,2JfLSAPz4gpLDAjcL82ory,Low Roar,5WoWlP0ihSFIxnppxjwSgE,The Sky Is Falling,6UTjPT7gJDsPkoQ9niR4YW,38,https://p.scdn.co/mp3-preview/5e14ec54948daaf00ca6121af0eed3b755e35065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Caracoles,1S1zTEa1knD21EcKWOIIVM,Cultura Profética,65HuWBUC1d8ty1q6J42Nfi,Caracoles,3oz2FsaMfhPvwqX3qloSIT,60,https://p.scdn.co/mp3-preview/d8207ed53857d0058a77ca703be3ffd43a774bb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Pretty Mama,2I9S20Dn0TO04Lo5uFe8Xn,Jaymison,5fabXdy8TLBtX56cNLRxuG,Pretty Mama,1qDzoHDQqDjCaP0q88d1V6,39,https://p.scdn.co/mp3-preview/3ce4d11a48e4a6bf366d02385eebd32b179e39e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,XO,5iU4fwSjUNc3mMz3zXuM03,Mylko,0gdMNxIIIINRt8nxy8AQGg,XO,2t35OWiQphB4r7sOrnJWHy,41,https://p.scdn.co/mp3-preview/387f2552e217cf80d43edbaf6adadf7c42358090?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Sexy,3CHbLBaYqkYZqA7EYRfEP6,Jonatan Sanchez,4RBmbtdnz7QK9ddu4CWz1L,Sexy,2EriI2D3Slm4lFFjQUHOja,49,https://p.scdn.co/mp3-preview/bab592f9093de9b3c2d850f9f2c15123e1adec88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Forget,4NpJL7yrDXaL5OGhvcPSi3,Karnaval Blues,4APHks5GcW1GrlfnSvL5O3,Forget,0S8NNwLBFDKCnmwovCVmlF,51,https://p.scdn.co/mp3-preview/a85624e5d8e1044c87e9e6dc16470911d1c0311d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
