"Café, Libros.",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,685706,spotify_espa%C3%B1a
1,The Day I Left Hanoi,1Imz1D6bPA4lFRHGbJxz7y,Jokai,44XUW3rZnWuoxHFujME3mz,The Day I Left Hanoi,75RT0B9Cgu8NV03IXLpWeh,42,https://p.scdn.co/mp3-preview/2f4689ccac3ef69b91fb94a5bd3387f7c53ad23e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Be Here Now,04NQ1q92DRbxWq6lhpVVDQ,Gustavo Bertoni,3SBeVI3ELQKQTEDoQ9ztq9,Be Here Now,5NiF9DMkOpOmhUDyI0XYSu,58,https://p.scdn.co/mp3-preview/553e161335be44155b1e0cc2b97a938e640a4e72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Love Is in the Air,3o7gcOJ9xTR1TPgcwIbBFf,Flora Martínez,7gjr06Lie1BDJuefW3v9YQ,Keep´n Love,0N9RVBNuATxlMX1PCCK3dc,45,https://p.scdn.co/mp3-preview/233692c12a6ccf6ea15b035b1ac8b4455316da36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Downtown - Acoustic Version,5gxcFdhD5ST4Tyhfepxcke,Mechi Pieretti,5rnUlLid4WEcDmAz6McM33,Downtown (Acoustic Version),3hj8ZTcYFuTmJqnrmeecKJ,57,https://p.scdn.co/mp3-preview/05b0f2409fe0e61c87f6720f2ca2300be1e7454d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"I'm Not the Only One - Live from Spotify, London",7wIYDzWW82O6Rc4vGuzjND,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Spotify Session,3NW16XZ8U99Qm8E9v52UTz,69,https://p.scdn.co/mp3-preview/f72ea74d8394c13c317b9f851529097b78ed53c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,City Of Stars,4izE25w6PfpI4eRmzUmeEH,Gavin James,25tMQOrIU4LlUo6Sv8v5SE,City Of Stars,5THm8pdE44tfMRJ1yiP1qD,56,not available
7,Que entre el frío,12OU5vEQio4792IRVMr2B6,Niña Tormenta,0KJEHAoNtPaopqOHD6UIkY,Loza,0RAoYFdwdNtRG19pGJK8Be,43,https://p.scdn.co/mp3-preview/757ed0e09772b6ee8c0da3da7b29b5c09db710e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Felices los 4 - Acoustic version,4N0Md19ln8Fq3O7Up0lqme,Aberola,0i3cbCgMSQS3tXMVFXoaTC,Felices los 4 (Acoustic Version),5ywUlCNTlkwvnnpZ5uXNd7,48,https://p.scdn.co/mp3-preview/6f49b19fbd87f369dbe675a4e60c280198898af9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Enjoy the Silence,3mIWmZK0iAxCsuReXgn7Ac,Veil,2CZfm09pHpIVkVRW75kmHg,Acoustic Visions,0YMcgc8Y9BOkupPMOvP7xm,35,https://p.scdn.co/mp3-preview/4a7efedc13a6560b5bb771a71a3060b74eba18c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Little Wound - Acoustic Version,3OdtbnFE5WYbHC9J3YD8VI,Violetta Zironi,400WhVfB3ENcUBPUOkz0Qn,Little Wound (Acoustic Version),1RLu3cbA5lzWWZ8ekjxuXg,8,not available
11,SUBEME LA RADIO,0NwNDC0W5mn6naEhJYwq6d,Mechi Pieretti,5rnUlLid4WEcDmAz6McM33,SUBEME LA RADIO,4OtgtFKL8VgTfRH1TuNAGo,56,https://p.scdn.co/mp3-preview/bf780a2324fcf971cfa32d5b53f5b3d95ce1a8f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
