Latin Jazz,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,344880,spotify_espa%C3%B1a
1,Mambo in Miami,3LgdE2ElJy94x5qqgJWl7Q,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,Too Late Now,0a4KBsjEsOeqeEFzQW8rhy,39,https://p.scdn.co/mp3-preview/5cc49347983981168528f12efaab6ebb9031ec8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Pedro Navaja,7iQBflxrDWDvsIEDy8juLT,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,46,https://p.scdn.co/mp3-preview/c867c36623e2cc0842322c6f39d6169e1cbcc196?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Tres Palabras,492E26qWIhmnzthZye91v8,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,Juntos para Siempre,3KqVBTW2XNykZ5r1yRRjo6,41,https://p.scdn.co/mp3-preview/c0b2f27a256dc401bf2a068e59f8c7f4ecc45f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dos Gardenias,3Fn6K2roSmzhKzp5BBJKJl,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,2Upqk0mMh9OMIVSj9F8Xzw,30,not available
5,Desafinado,4RAeL4OABP3aI9cu8iCXrF,João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,South American All Stars (Guapachando),2e1EwQ14pZF7ompCZuaEMI,36,https://p.scdn.co/mp3-preview/e072f64b8533343708868ca55f6ace7f96a27a32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Batida diferente,6IdTeV8TfNABByZ3bUEUV6,Herbie Mann,6ycoXr0Ayd89vFUT6BOiWo,Latin Fever,5LLQl89oz0vptV3tQefJv2,40,https://p.scdn.co/mp3-preview/153c450700a3f3cdc1fe9db17300c6bce861c3a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Como Fue (feat. Bobby Carcassés),23DTCcj8R5BHYgsprq5ngD,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Live in Cuba,2mLRfQqMxdiZSpUHnd0HKy,40,https://p.scdn.co/mp3-preview/b3d6a63cf0eefe21b217ec04fe801dec0e2e245f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Como Traigo La Yuca - Live,4ZMlEw8pXvHuwQwem5kpGF,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Live At The Village Vanguard,2S1w7Sc9NukidqKfpylJDX,43,not available
9,El Manisero - Mambo Son,00MvNfAAC4O5pSvAZPDnGc,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,El Manisero,35GjYQu1NvqoJz1uXbtddK,44,https://p.scdn.co/mp3-preview/1e43835964996961b05614cc649cb24b4ffb125b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sunny,2QpwAPgyuRCvL6fBEWvpUN,Negroni's Trio,6clJrNFd1xD5dzc9UzxW7C,Sunny,73Orqh8gNy6wgoCTTEN5Jd,4,not available
11,I'll Call You Later,6s8PZTZXFqIxwnhf1RA1fn,Hilton Ruiz,7uUrPQUnxCoQusOAh5I0D1,Enchantment,3NaX3LlcZvDgsUoscFGOfY,34,https://p.scdn.co/mp3-preview/edfcb9ad97d845ac4137e3041de2b69ed449d06b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,2/3's Adventure,3afCxJceMqMAFYOJNFHomm,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Live in Cuba,2mLRfQqMxdiZSpUHnd0HKy,41,https://p.scdn.co/mp3-preview/b8c3bae28aeb967b184a13f10f9da28bb0dad811?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Chucho’s Mood,2VACXzUf5uOvheUAztmM3P,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Jazz Batá 2,2qNItLdcFnSId2094fNe3A,40,https://p.scdn.co/mp3-preview/8f5e47d4bf6ed89fe7e69bec6046b2a9db6a7d68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Mambo Sangria,5M80uFtSW98fR3ykhjGPyd,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,Too Late Now,0a4KBsjEsOeqeEFzQW8rhy,38,https://p.scdn.co/mp3-preview/8b919705c19f34e7fee51b62f429f83f075f2bc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Guarachi Guaro - Live,4KY8XBQDvsIrI7xVWHFdtm,Carlos Henriquez,7jDk9ohezXq697Zz5X2KPI,Dizzy Con Clave: Live from Dizzy's Club Coca Cola,7bwbHc0k88oDET8KYTRtcm,35,https://p.scdn.co/mp3-preview/b20b452557f7a6b9702764711c62f79e0d118c21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Home Cookin',5iHt2zihQWvVBGdPIR4dKT,Hilton Ruiz,7uUrPQUnxCoQusOAh5I0D1,Enchantment,3NaX3LlcZvDgsUoscFGOfY,42,https://p.scdn.co/mp3-preview/5977097c3c3a23c712aa2f0111f0fa8e786fcb04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,El Cantante,62qut4QWc4SptIRYikqvBK,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,42,https://p.scdn.co/mp3-preview/c84a6b2594b99d6bfa1d2094119e33c9c8af5076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,"Ay, Mamá Inés",5eeZItvyhs0zNAN17uDnPM,Alfredo Rodriguez,1dp5YyefJVa9mkiqa3s50O,Tocororo,1e2GBOtPyLu7iuNm4EvFKG,40,https://p.scdn.co/mp3-preview/f6bcb907224f744c5835fc43a91d12ff9eaa124b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
