Canta en la Ducha,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1290512,spotify_espa%C3%B1a
1,11 PM,7KbF6AdprOXEEHlsq11Z6d,Maluma,1r4hJ1h58CWwUQe3MxPuau,11:11,3YIUNL7qFE8NP3X3zaYSND,91,https://p.scdn.co/mp3-preview/2993254fae01c3abd401c55d9d30937a8b130c9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,2R21vXR83lH98kGeO99Y66,China,1PTTAq0OxggVgqP5WTYWDh,98,https://p.scdn.co/mp3-preview/a2486b829160d65e2bf30038bb3a5f76df3393b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Colgando en tus manos (con Marta Sánchez),0T5MzYymxrAHLn5DngipCV,Carlos Baute,3smfreCkyJt7bShaTYpG77,Colgando en tus manos (con Marta Sanchez),5Qeb2HjOkQydWNpN5fB9uT,62,https://p.scdn.co/mp3-preview/786f5a3a0d27a404b6fc0b116aa2fe669d08b7f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Swing,4DbhxwlkhTbCTqlZptxmI6,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,54+1,3pHFjWCK7d5YLtEuFwfR5N,80,https://p.scdn.co/mp3-preview/140ff846dc67b78825fd1898a251760b4e36cdf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Besos En Guerra,1d0c62VFYauOOgxZ2eFUxx,Morat,5C4PDR4LnhZTbVnKWXuDKD,Besos En Guerra,4XoiA4NiNcjYPmJV8INiQE,11,not available
6,Déjate Querer,3mN2DtljBhnrIpc3Nu2pJ8,Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj,Déjate Querer,1BqgA0LjVFVKEbiCyqIjah,80,not available
7,Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Con Altura,4bxHLppgdmaYJk0yfdcP0l,91,https://p.scdn.co/mp3-preview/db95e1fba1c9df7e2f6966ba91347df3c36a9630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Rosas,4waqcUQWdj0yH26STWl2Rq,La Oreja de Van Gogh,4U7lXyKdSf1JbM1aXvsodC,Lo Que Te Conte Mientras Te Hacias La Dormida,1Atbkyir7YdfpFYWCnRTFp,74,https://p.scdn.co/mp3-preview/7151ec049cd07e786d2bccdf5b58d277802d7099?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,La Flaca,74M5i9DBuntqEia1QVbdbE,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,Grandes Éxitos: Jarabe De Palo,77aY9YIxfuBSsoGmObticY,4,not available
10,Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Callaita,06S3Qjh4QWLtn6c7CVhYh7,95,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Nada Fue Un Error,5QhOF5HXgZ0OFUZSE5kEv1,Coti,1OUDQLymoysITxprkd0Qvj,Coti,1msFprmU8cqzLu66TOX4rf,65,not available
12,Son de Amores,7BCer0V0I1CZDI6S6kYD44,Andy & Lucas,4dqi10p8S91S2ChvcWsi1L,Andy Y Lucas,4s4s0t7K2ZRwwcPvV2ohYm,66,https://p.scdn.co/mp3-preview/a9231106314b265ad96eb57331e705d63cafe4e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Traicionera,1TnP5HDR6fxVZBIGZq6DgO,9,not available
14,Corazón partío,0wQCKR9OFjYu5Kzrk7WivJ,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,Más,3MfNbOJuFb5H4CjrT49oiI,75,https://p.scdn.co/mp3-preview/cee7191f8b94d18b77bf6a6382d34f5418844095?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Vaina Loca,1s2B5cndbqK8rPJEIcKJRQ,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,3EpCMNzLUiLxHlXq3dKApm,19,not available
16,Lamento Boliviano,6Pur3hWy6Nzc27ilmsp5HA,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,Big Bang,3y63u5vmuMugqI8lfuUY3a,76,not available
17,Contando Lunares (feat. Cruz Cafuné),6uW0PIRcyZLvkoonm763xD,Don Patricio,6vPXtLmNd3mW0dd1Rb9eQ9,La Dura Vida del Joven Rapero,507EX6i0GGn2b4l2DGcl2y,84,https://p.scdn.co/mp3-preview/e1671579aff3922e0445727ad8563c42b2540628?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Una Vaina Loca,3zb856RMKFjdvWre0TKcmA,Fuego,7wU2WGCJ8HxkekHHE2QLul,Una Vaina Loca,0MkGuzsKsFxKDEooicDO4X,70,https://p.scdn.co/mp3-preview/2cb1a0da6e5dbbafa07b739e17cf29f4093e34a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Cómo Te Atreves,2z0EshEO4XptiepEb9j3Og,Morat,5C4PDR4LnhZTbVnKWXuDKD,Sobre El Amor Y Sus Efectos Secundarios,5x7VOruWJbNqZGfIHczhmV,8,not available
20,Me Rehúso,6Zosz8w6CmdGMZM6p4JlbQ,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,Me Rehúso,6qIOlt2SVkfs9NynvpaQ1j,13,not available
21,"Tu Carcel - En Vivo Desde Tijuana, Mexico/2004",1lAFWiaVhJhvQ5Gtzp6vSu,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,En Vivo,6zGGjiyCeY36tgNrxsFrK9,65,not available
22,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Los Caminos De La Vida,1crk0MXXyFQ1zVow6YTJOo,Vicentico,25THA9HUHoxpCT4LBp7UsZ,Los Rayos,3V1lU1Jy0eKU2wMCsmJ0TF,69,https://p.scdn.co/mp3-preview/6ae3dc84a31d3b2f86c0363e653b00d96902e826?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Color Esperanza,0KiZHfashmXDOeUFuxfviV,Diego Torres,0LALueHEQunQ2d61fXGeZh,Mis Favoritas,0COUHCrbpLcVNCI8ITVMhi,62,https://p.scdn.co/mp3-preview/e16ea3207f46f4c90ce8a882ba4d66163734e017?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,4obzFoKoKRHIphyHzJ35G3,Sin Pijama,6hAxqfWO3xDGzjs8yad1pB,82,https://p.scdn.co/mp3-preview/7097639119e58485fcb5ce246725fa2b7ac71904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Trátame Suavemente - Remasterizado 2007,65DBZofI0b79kfHTcWWDuU,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,Soda Stereo (Remastered),3i4nU0OIi7gMmXDEhG9ZRt,72,https://p.scdn.co/mp3-preview/1c06992f0a8612343a683730f1c09fdd40172f4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,I Want To Break Free,3mvoMBK8QDtnhz8U2L2XK2,Queen,1dfeR4HaWDbWqFHLkxsg1d,The Works,39MMaY4ampwjkSOFahHnKi,17,not available
