Mujeres del Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,118573,spotify_espa%C3%B1a
1,Vete De Una Vez,4avGqRWheA5WMIxaN72bNw,Daniela Spalla,2VSRhqonKsL7KRAIk8SMmt,Vete De Una Vez,4pP1N4m2FMr0taCYHJA0CX,44,not available
2,Sabré Olvidar,7CFmeHaFayBGxMRhbp42qB,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Sabré Olvidar,2Zk36BAZOIz89HUbPzJOW6,1,not available
3,Veneno,4pCe10FbydPpDaWPWVtSv2,Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,Encanto Tropical,65dDJHiGH66LQPEiLHKDma,51,https://p.scdn.co/mp3-preview/67f6581c76e9a6b35f6e5f144d92fb33fb521b6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,El Origen del Arcoiris,1towfaOJ1x8NlAjCQsgoTg,Camila Moreno,0SJy1J0FgP21lbvGBMKT8H,El Origen del Arcoiris,1mz4DG8vji8MQaNjTT4nvH,49,https://p.scdn.co/mp3-preview/e13b5a2767060fa129701e16e4df73a31e550ea8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Helado de Mango,3h3L1IArPewYKXLgb6YLX1,Naïa Valdez,1WE5kYBn5jgJyzXroKVktA,Helado de Mango,5fd7vj3legWUCGUdEhM6S8,47,https://p.scdn.co/mp3-preview/8cd5b624546d479c6b8c41b2e5324657bd7cd0f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Pinamar,6K98GWDNC9Q9Q28uhNjOCM,Daniela Spalla,2VSRhqonKsL7KRAIk8SMmt,Pinamar,5W7fMvZVn8kdy3imSF4C2k,45,not available
7,Al Norte,67fUnCQc6m44QT3KnWzHZS,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Al Norte,2l4VdF6kbTeN26cG4c1cgk,5,not available
8,Son de la Vida,4z3dFFqNYEMqpvpJ03yQ2u,Pascuala Ilabaca y Fauna,6nf17XGXCx2PSgkhPYjSIA,Son de la Vida,3NMQ11UoQHhOvV88Gv674w,31,https://p.scdn.co/mp3-preview/180dc62de220844a9c3a83213dd1e87b4626e028?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"Culpa, Tengo",4bKQUb2YadX9zaek1ngZKj,Elsa y Elmar,5nKGeITSNCVP76muyOlszy,"Culpa, Tengo",6ijb7bIlJEXCOrnMxTmVfX,0,not available
