Flamenco Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,206796,spotify_espa%C3%B1a
1,Me Equivocaré,4500Dr4dVfnQiMjaTC4oIq,Antonio José,1dbp04JzZ81JXlMGupCnJ8,Me Equivocaré,3kJtYTn44STQqsO6A1vF2b,67,not available
2,Cicatrices (feat. Indara),17nYNma8AncLFqOBk6tu6m,Sergio Contreras,5QYdUMRHeBxlpJioqpIL0k,Cicatrices (feat. Indara),51zjQlNC272fB5YwFGlXNn,71,https://p.scdn.co/mp3-preview/f1b81700931b370f14f57251ed6ad8af9a7bdaca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sobrenatural,1cYXPXbIR0FxurYVMGnwIN,Juan Magán,1ackd5XprZEkH3McKbQD51,4.0,7zCW1I02UgkVjg0UYd5rOq,68,not available
4,El Arte de Vivir,50WFUMabxdXASwLM9P32Fm,Maka,4lHAjTCvXGu8QIM3cEe93m,El Arte de Vivir,238dkjWYHwQFPQAlkn9pg0,22,not available
5,El Danzar De Las Mariposas,5s9SQvhZ6PCRx2IAK59QSy,El Barrio,0fM3rWsshliRFUmJlBP6QZ,El Danzar De Las Mariposas,3GX2elPDLOBEfqOXuvJt47,61,not available
6,Ve y dile (feat. Antonio José),0xZqDPkDNEPQGuNqcyzmPG,Nyno Vargas,2dkbKcHXhN7ooFBdqAV76G,Ve y dile (feat. Antonio José),6Qez4vL838tykDjHlQCrZL,64,https://p.scdn.co/mp3-preview/8cb6b0e3d02cab61d4f8d2605f254b79a72e01e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Amanecí bailando (feat. Manuel Delgado),1CWWVVdqjijx8IW8Y9YUGU,Sergio Contreras,5QYdUMRHeBxlpJioqpIL0k,Amanecí bailando (feat. Manuel Delgado),4uldmSqgCqRcAahhfga7Qo,59,https://p.scdn.co/mp3-preview/847fe08f36fea8a5f2975885e5bf58d9ec63f739?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tres Deseos,27Hlt4FsE7Q1zseMS3eIOE,Decai,2HFVE11OC3J6jXcmrXkWHV,Tres Deseos,67Bu6XCO3M4jNZD8dFqw1P,58,https://p.scdn.co/mp3-preview/3bdd2a195c694aeb639f128af52ed70ccdcd6754?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Una foto tuya (feat. Andy & Lucas),7MxCf3uVcaCNVZY1EVTJUX,Maki,65GDNtLQdPv30IljvoE2KW,Una foto tuya (feat. Andy & Lucas),2EIWcD1mykCZAz4vm0uoDV,57,https://p.scdn.co/mp3-preview/cc19c9d3e985794515c33fb1b37281a4e0c5f072?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Que te perdone Dios,45WYcUJzq2BXvQWpDvpij1,Nyno Vargas,2dkbKcHXhN7ooFBdqAV76G,Que te perdone Dios,27wUpoE6MP6HQ3k6DGtH8I,53,https://p.scdn.co/mp3-preview/1aa07ad79a30b58f11760f0b95919e7f234b045e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
