Directo a Clase,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,239757,spotify_espa%C3%B1a
1,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
2,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,2wY79sveU1sp5g7SokKOiI,How Do You Sleep?,7baaCf70tVcUBL2bbkuXjo,97,not available
3,Lost on You,2LIh4uzqq9cXMPzzmcToHl,LP,0J7U24vlOOIeMpuaO6Q85A,Lost on You,0dYi4VGov4Dl4AED2eVwPw,79,https://p.scdn.co/mp3-preview/313cff9d964dd65fa29e7a07e9146f9d183a809c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Two of Us,3fd5jcZKAzoiivM4ZDwhyU,Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,Two of Us,5B7z8P9fzdqaRcCvMjsxjt,75,https://p.scdn.co/mp3-preview/11aa143443a6f3c8b80ed48766e366e10e9ddd49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4W0r9HOcuCC6Vh7aze2hwi,88,not available
7,7 rings,14msK75pk3pA33pzPVNtBF,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,03D36t8ODrA8ATvoTStU9P,48,not available
8,Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,Silk City,2X97ZAqRKRMYFIDqtvGgGc,Electricity (with Dua Lipa),429B3se6xtZuvblNnS2iy7,82,https://p.scdn.co/mp3-preview/d4362730866e97d2e89776ceea7ad31cc5a44541?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy (with Justin Bieber),6lMlX68jJrx67hiCqdiDvW,88,not available
10,Liar,7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Liar,3xgS4rfthlsvhW7J2WLiiR,93,https://p.scdn.co/mp3-preview/10cc798e1e25bb65f13cbe166aa77e51e2f11474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith),2tpWgbBdzjkaJVJzR4T8y1,85,https://p.scdn.co/mp3-preview/c78e0a33c394091314b35a2fd42b0102cc8fb1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Never Really Over,5PYQUBXc7NYeI1obMKSJK0,Katy Perry,6jJ0s89eD6GaHleKKya26X,Never Really Over,3KjXg0MDej2pG9fv6I22lT,89,not available
13,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,If I Can't Have You,1J2BrRxtQjVUa7X9Ne99xD,89,not available
14,IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/d8a0e05a79451d12c6cb5425c50c8d2ff00d4705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Find U Again (feat. Camila Cabello),1GySemCUsaTUREhIPAF3hH,80,https://p.scdn.co/mp3-preview/80c0b6e9248e7c684425557e497ea30764c4e9d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Polaroid,1wsLHgXJ4SKIfd5ePSX1hD,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Polaroid,10bTwLR8vJxwE2SeHZxkrS,78,not available
17,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,boyfriend,3zVB99XMdbP9HTVNg0GJwV,94,not available
18,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,DJ Snake,540vIaP2JwjQb9dm3aArA4,Encore,02sEJTj1sye1JaqxqpcSCp,82,not available
19,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,85,https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Beautiful (feat. Camila Cabello),6hCR3zQtRH0IgookOYt771,84,https://p.scdn.co/mp3-preview/f4919d159ccc28353ec076bdf5187c19a4f73dc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Back To You,514rhnksEwHUh6LxXsQ4Y9,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,13 Reasons Why (Season 2),4RpgjxgSxcRwGNuWnImneN,76,not available
22,no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,no tears left to cry,2AkKk7DFnT2IV1gPcq7RCQ,25,not available
23,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Illuminate (Deluxe),3wBabo4pmzsYjALMSKY7Iq,84,not available
24,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",5600nq7TiBraBX2jobyJ3l,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",11u8ZjrMHunQFg7l3nfDaX,71,https://p.scdn.co/mp3-preview/7831c93a13a52b26319278f2f483a8703e9939b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,Taylor Swift,06HL4z0CvFAxyc27GXpf02,ME!,0WGakTFs8cnggcYsHjIhgy,46,not available
26,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,94,not available
27,Small Talk,4NmE2ytXI8S2svTRSmEdpO,Katy Perry,6jJ0s89eD6GaHleKKya26X,Small Talk,5FOy9CM3AZs86TIK7fsJTV,82,not available
28,In My Blood,79jX8RM5CgPqDKdGEKNW9K,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,In My Blood,0OrcP3iH5AnzeEmvlpunlN,21,not available
29,Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Solo (feat. Demi Lovato),1q7a5wZeti0neU2jDn8Dz3,82,https://p.scdn.co/mp3-preview/ccfd1b80223079c120eeec6e83c7771eb74ca27d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,13yMsBNa2femeWzhcDOqFw,87,https://p.scdn.co/mp3-preview/c066ee13f04cb53b3b5033079f06200a44b18cf1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
32,Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,79,https://p.scdn.co/mp3-preview/e861389ed2b773dc0aa5f5b96aa2bc0eed9bd09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,No New Friends,3Y7a0typ6ik1KscmebXd6D,Sia,5WUlDfRSoLAfcVSX1WnrxN,No New Friends,53xHggSRIfHec0bA1oyReb,31,not available
34,Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Perfect Strangers,163nFrWkhj8FwiwJ11Gu93,24,not available
35,Easier,4tNXntkAzQ5A2dfYRYGIIQ,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Easier,0puSqXoH0dMgimvyi5slCt,85,not available
36,God is a woman,7gkWXbAxIYuvtOpcN3p9GJ,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,God is a woman,3qowbCeEsKLpcHDgZiPMad,17,not available
37,Anywhere,7EI6Iki24tBHAMxtb4xQN2,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Anywhere,3syh4e0H2YnXmzGzP5Rd3G,75,https://p.scdn.co/mp3-preview/ec024df926734cd185ae9fde8d081cc4d451c4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
