Clásicos del Verano,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,304856,spotify_espa%C3%B1a
1,Purpurina,5HFvuMLMgS75OaY3UKzqqs,Alberto gambino,2KaaIknCVW5SstugreNkha,Purpurina,72qI1N3VpmiHjDdBRuZz9B,58,https://p.scdn.co/mp3-preview/1f7b1bef7efec8cb1723d53469afa98a147823b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,TELÉFONO,5h8VHxOBK1VWWj46T8fSly,Aitana,7eLcDZDYHXZCebtQmVFL25,TELÉFONO,3hgpPBjZ7yR1yHyrVEngZL,65,not available
3,Madre Tierra (Oye),2wlptOJ1g5fvLdu6ruKCKU,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,En Todo Estaré (Deluxe Edition),0P0d0y1LQ5VGrp58TQ0oM2,67,https://p.scdn.co/mp3-preview/a3f9fdb1ef24293cd91e298b7f088627a5dc670e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Vamos Pa la Playa,2XdgVioNvENCspUhMzvyjH,FlowZeta,6Ocjln6CF4WJ5z1GTmGzUH,Vamos Pa la Playa,7cx81P0OPmK2MElGwJ9ggg,8,not available
5,A quién le importa,7Eb5AYiiGWItBNddlmxvnh,Alaska Y Dinarama,2mDlFcPtgXtLF1gEshEInh,No Es Pecado -Remasters,4WVr9fj0yFPIUbyb9tjOQh,61,https://p.scdn.co/mp3-preview/a649665fd98a04f6cb56de18b2325e05ab2be645?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Quiero tener tu presencia,3f2k0XTc2ZXG17jEMDu8pp,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,Furia Latina,44qXGSYAvbnwci400nEDpe,62,https://p.scdn.co/mp3-preview/36253d886fc8cce0880315787c5e1dc84833fe1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,4obzFoKoKRHIphyHzJ35G3,Cuando Te Besé,1rNj1DvnXIH5irucrzT4zo,80,https://p.scdn.co/mp3-preview/711aada3953b733c610466921e9bfb66a3b829d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Que La Detengan - Remix,7ue44k70ZcYBw7a6tZKu9K,David Civera,2DxcVfyMWELUI4yPBxgoZF,En Cuerpo Y Alma,0leovhkkVh1112UiSTR2PC,40,not available
9,Déjala Que Baile,2KK9N6iBAisA0booTu3bGd,Melendi,1EXjXQpDx2pROygh8zvHs4,Ahora,2cx8aUPxZ0GvVJkJdNXeOM,69,https://p.scdn.co/mp3-preview/330975ffaa921235ab1a9fca0f57f1b2b87db2ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ya No Quiero Ná,2A2Q4CYBcVvBF2OqgJ3OWX,Lola Indigo,3bvfu2KAve4lPHrhEFDZna,Ya No Quiero Ná,0qvWm5gyv7jLuRwj4Ioaob,65,not available
11,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,1GT0Q2ZTeKtIBueYKr4vhr,Juan Luis Guerra 4.40,3nlpTZci9O5W8RsNoNH559,Asondeguerra Tour (En Vivo Estadio Olímpico De República Dominicana/2012),43lcnoRo7YBAYHEztiDRrG,66,not available
12,Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Ya No Tiene Novio,7yFrNYBdjgAeUKflMGtU8l,79,not available
13,La Mordidita,00i0O74dXdaKKdCrqHnfXm,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,A Quien Quiera Escuchar (Deluxe Edition),375cUd86z58eqXN2yW3Do9,70,https://p.scdn.co/mp3-preview/4a0f5888efe4c5a0399e326dfaf2198310d0154d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Levantando Las Manos,6aIOfv9A3FZtQjMjyWNiJJ,El Simbolo,276SjaOhqPfWqk3eDTDrz3,Éxitos,39823i6I0X4cFWoCQPZWOd,55,https://p.scdn.co/mp3-preview/4b991d874ab04fe832d417236334421f29ea59fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Lo Malo - Remix,7vHzOI0lrq6dXsHuQWpBpT,Aitana,7eLcDZDYHXZCebtQmVFL25,Lo Malo (Remix),35NdeKuRZ9zxd21lvngNxf,62,not available
16,La flaca,1MrZ8hGkUWMmT816wPaMgE,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,La Flaca - Edición 10º Aniversario,52SGUmWz4rcauYwTKIJzBp,69,https://p.scdn.co/mp3-preview/de8001a943205b7ac3ebc910633a5e67421e2c41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Colgando en tus manos (con Marta Sánchez),0T5MzYymxrAHLn5DngipCV,Carlos Baute,3smfreCkyJt7bShaTYpG77,Colgando en tus manos (con Marta Sanchez),5Qeb2HjOkQydWNpN5fB9uT,61,https://p.scdn.co/mp3-preview/786f5a3a0d27a404b6fc0b116aa2fe669d08b7f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Mayonesa,5Qjx4obghhfhsh6DiUwpNM,Chocolate,4e3lv5qRgFpdILdEOHchbn,2000 Grandes Exitos,4dqiQqmKsYhgmrocMXhogw,60,https://p.scdn.co/mp3-preview/c6e92b5b47c848a24e7c75089cd746ef252916ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,0vR2qb8m9WHeZ5ByCbimq2,Me Niego (feat. Ozuna & Wisin),1QsrAiIvA7njuEMwP9poqt,37,not available
20,Ni La Hora,1he4G9w0zh5GokInpOSINW,Ana Guerra,3MRynBsyLGzv3IQ9Fip6hO,Ni La Hora,4ICMTx81FzdZHeNdLmHud3,61,not available
21,Tractor Amarillo,4j0njQnlfesAHM4GQrJEb2,Zapato Veloz,27dPlYE29FxN9yIwpsVXYF,"Ponti ""Country"" La Pared",0OcKmaKE7mRPsnND4OdAMu,36,https://p.scdn.co/mp3-preview/3048f6925dfb08e0bc239600270afc1ee243a30c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Summercat,1uK7U9LJlSdz8Lm5eRn9EM,Billie The Vision & The Dancers,5Gpi2vZtZtUPrMnlBDdpre,I Was So Unpopular In School And Now They're Giving Me This Beautyful Bicycle,2c1X2z3WzjSVC9PkXo2vdL,9,not available
23,Y Yo Sigo Aqui,2Ma2f8jV8VKMJoAcnCvZ8h,Paulina Rubio,1d6dwipPrsFSJVmFTTdFSS,Paulina,64M45unRUhuzlOYth6w5HB,57,not available
24,Lambada - Original Version 1989,6xepovPqjvrkEw9Y5AMmTm,Kaoma,1LsXqDdYVyONhrjAORENbu,Lambada (Les originaux - Les N° 1 de l'été),0Lku5Y0I5aGcRSgeo2mOJm,67,https://p.scdn.co/mp3-preview/d897aa1293c56d2e0fc1b5e7c27a3f5145dbe080?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Calypso - Remix,3B1q4Cv9PcYdiOpzqKSEIV,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Calypso (Remix),0Ru1vApAYHKIpCeyc7gGJn,55,not available
26,Ave María,70iXrOETHNdFJpEikr4h2C,David Bisbal,5gOJTI4TusSENizxhcG7jB,David Bisbal (International Version),3NAwGAUFcWaIuRk9aCRoCR,3,not available
27,Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,4obzFoKoKRHIphyHzJ35G3,Sin Pijama,6hAxqfWO3xDGzjs8yad1pB,81,https://p.scdn.co/mp3-preview/7097639119e58485fcb5ce246725fa2b7ac71904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,El Venao,66y4liRr8Orq45N0I6VRAP,Los Cantantes,1OK49IC8PfUPbAtQRv2ryh,El Virao,33yE3j2Pd10Qa23sWW9bNe,42,https://p.scdn.co/mp3-preview/64d575c217d85a711127da08c32e8d743cca5d0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Aqui No Hay Playa,7Ja3xxyLa5mdvAOlzBPXd2,The Refrescos,2dN0tlioLsFZ6319yNUNlX,Universal.es The Refrescos,16OaqDgZrf0mufBB0NyByn,3,not available
30,Sarandonga,2zNDRGoRkNEkMhO5fcGTMv,Lolita,1Jl0XzEt7csnco2FUybCrK,Lola Lolita Lola,4NLreQcjpcQESB7yvGU8RY,46,https://p.scdn.co/mp3-preview/020d66b605327a8c566f8efb53429faa33551df7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Vaina Loca,1s2B5cndbqK8rPJEIcKJRQ,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,3EpCMNzLUiLxHlXq3dKApm,19,not available
