Salsa Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1600711,spotify_espa%C3%B1a
1,Yo No Sé Mañana,7nDIflSHQXzaa8zupxwv3U,Luis Enrique,2mUI4K6csTQd3jieswcmiI,Ciclos,63irJwZoWLRUc1lBKtuxmQ,72,https://p.scdn.co/mp3-preview/74891187474ca171644f18fbeabfccf502031e8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Me Tengo Que Ir,6bum69IXoiGcZCb83ZtfGA,Adolescent's Orquesta,70nxnxEqDQIEWneRjg2Q4O,"Salsa Classics, Vol. 1",41WgoKq8UltJA2tL7msFdt,11,not available
3,Conteo Regresivo - Salsa Version,5YfqVqJwjxiyhxvofbCnHp,Gilberto Santa Rosa,27vNK840zYq6IfDijHPsv1,Contraste En Salsa,0GxUdSpTj1PeJlqq0knC5I,65,https://p.scdn.co/mp3-preview/cea9a58f7b87267974d8f8261eb4670be3129777?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Talento De Televisión,3fRIuTih8bzc0vtY9fHhvF,Willie Colón,7x5Slu7yTE5icZjNsc3OzW,Mis Favoritas,44rPp1bnN1eL9ld3QE1t9c,69,https://p.scdn.co/mp3-preview/346b5e523cf40e7658be80c3134bcdb01afc1b81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Fabricando Fantasías - Salsa Version,5bkWgrKyNhMcriQP3CrHEA,Tito Nieves,4vOycwLXdkMMzpZW04VW5m,Fabricando Fantasías,3Gxrf8cYKgle42MdOOxqu8,63,not available
6,Te Va a Doler,2h6WIOkTPvHSAD7vR6lMSS,Maelo Ruiz,3HyrDGPLI0c9Rd8luuO0zw,En Tiempo de Amor,2z5Nu8i0nPraJy20am9sZL,69,https://p.scdn.co/mp3-preview/95ac5cf8a1ca4649edbd049126cc4ec12f03d14e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Tu Cariñito,2kBgJXGbVA6WcA40IFA9KF,Puerto Rican Power,74jFP3mGfKxy6rvjiUc2o3,2 Grandes de la Salsa Vol. 4,0eoWrfcaxarOASMm50HE7s,67,https://p.scdn.co/mp3-preview/28edafed1b023522a3d534c2da4b1cb1180c9cf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tu Amor Me Hace Bien - Salsa Version,3yEtuhGR8jOtusa29jWrhG,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,Valio La Pena,4O3yvEN5II2yKWKBPtDLD7,71,https://p.scdn.co/mp3-preview/58d95ad594ec0c88b303866a24730ed002db80e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Que Locura Enamorarme De Ti,4Ih0JljQ3X3PbHfmuk05PR,Eddie Santiago,5Wg6XnPTp0xXxFCjywwR9I,Pura Salsa,0Lkf1Mgd8iTICnd8sYGgoi,12,not available
10,Gotas De Lluvia,6sna5KCgNbt1ciZtVJCjzx,Grupo Niche,1zng9JZpblpk48IPceRWs8,20th Anniversary,6quTUa9H2vITjPy9TArBvW,66,https://p.scdn.co/mp3-preview/b76a5105dbb02fcd5fbfab061d76c202d198d9ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,El Gran Varon,1N3G6QQfF0579fHoFQmMzi,Willie Colón,7x5Slu7yTE5icZjNsc3OzW,Greatest Hits,7LXE7sKQkfDtOJJX3bFwdm,51,https://p.scdn.co/mp3-preview/f4878e8311452e3ab18c9afaf5cae42c67fa5a65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Aquel Lugar,2vHNqDJe1qvt1sroQfNHSI,Adolescent's Orquesta,70nxnxEqDQIEWneRjg2Q4O,Búscame,2NCLhGDYACSCs0UHT9jLAL,68,https://p.scdn.co/mp3-preview/a264152cee03d331ac4c93ec769468d01a42789b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Conciencia,05K2YWeCYYBgPWFj8TT4uK,Gilberto Santa Rosa,27vNK840zYq6IfDijHPsv1,El Caballero De La Salsa - La Historia Tropical,4AKdvM4gN7a6EWtBywDVcA,61,https://p.scdn.co/mp3-preview/e5b7645494376466f6daab92d62c79824f844618?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,La rebelion,00Ro1lnV3V6i87aY4t8Q43,Joe Arroyo,7BFnoFhJjLWcsqmN3Hizqg,Sabor a Salsa,4168LZnMKT5rgITtNBbo5z,69,https://p.scdn.co/mp3-preview/774fe20af02be70cd80702de0c443a0ffc89825e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Casi Te Envidio,58unXNsISeHfI2jdqm9nb9,Andy Montañez,6RMWFexOHVj5ctezneQH5v,Salsa Legends,3ZnHSlfoWoE0XkHXNqV6S2,9,not available
16,Tu Vida en la Mía,0amRhMUb9wYrDOmSD938AQ,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,Tu Vida en la Mía,2ahx5REabp2JWsWWwM8Dqf,26,not available
17,Anhelo,6UGYIgkzeLp4BQy30B9svV,Adolescent's Orquesta,70nxnxEqDQIEWneRjg2Q4O,Reclamando Nuestro Espacio,0E9G7YgAw9CgXrEU1dsgKk,61,https://p.scdn.co/mp3-preview/42c5e1d7613923bfe30db2b08972acadd5cbe777?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,"Oiga, Mire, Vea - Salsa",4YGSpi9g7ohPFO8TXpvSUZ,Guayacán Orquesta,2pZ81eCkqxemIjqqfE1fhE,Sentimental de Punta a Punta,0tUMgQJLd38NQD7OSFPQgK,14,not available
19,Lloraras,6QJ1F9DrlsRSmKDcdVS0Oy,Oscar D'León,1c84wItoiAe1pEbpJMqUmQ,Traicionera (Baile Total),1ESXDx2MI2QGcxTZXaAfRH,65,not available
20,Lluvia,14XQClWbLwmDywY9wVaDiG,Eddie Santiago,5Wg6XnPTp0xXxFCjywwR9I,Pura Salsa,4SujA5rkKMrIX6VNNuHCPT,9,not available
21,La Agarro Bajando,383hkMdmA976zOTKRm6PLy,Gilberto Santa Rosa,27vNK840zYq6IfDijHPsv1,El Caballero De La Salsa - La Historia Tropical,4AKdvM4gN7a6EWtBywDVcA,62,https://p.scdn.co/mp3-preview/88b3651f11dd8733eaf3a53385f5f8e87f1b297e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Ven devorame otra vez (Salsa),2soM5TyZ2c98CDMvXljT7a,Lalo Rodriguez,5LmwELEKyxDFxrbZzR8K4U,Un poquito de' to (Salsa - Merengue - Bachata & Reggaeton),2b4nbJCVka7rbb5B7D4QON,60,https://p.scdn.co/mp3-preview/6fe70e75b05ae86ef2c8492a98e043f8baea75d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Regálame una Noche,6F3YJ3vWzatHA3nz6GwDoA,Maelo Ruiz,3HyrDGPLI0c9Rd8luuO0zw,Regálame Una Noche,1pr3TkFTzeQewXcoyXbpIq,63,https://p.scdn.co/mp3-preview/05e3a81e6f9d4088742e278de9a17e946c92f958?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,En Barranquilla Me Quedo,3WXfQDsASfXrSojk9WB3aR,Joe Arroyo,7BFnoFhJjLWcsqmN3Hizqg,32 Cañonazos,6ubTK1qVLWQSblspjFxtZn,61,https://p.scdn.co/mp3-preview/d8bb09659eff3b3d50afe55a2ecd454e6f9664b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Cali Pachanguero,3SXWtn3YbXOuz6s9LN8LeJ,Grupo Niche,1zng9JZpblpk48IPceRWs8,Sólo Hits,6VK8ocOhngLmP5JoXDvKEV,64,https://p.scdn.co/mp3-preview/80fcca8b1c7e6ff54eea6e09eab4689f0539cab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Aquél Viejo Motel,286NP8kXWzx2uHb5tr7TGv,David Pabon,3L3YHYkS8b2vgAbnqBTXrE,Oro Salsero,45jRKB7cqJYwk7vHyYgveo,58,not available
