Bandas Sonoras,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,413521,spotify_espa%C3%B1a
1,Beauty and the Beast,2aND0aDwz3kKZKQ7nTT2o4,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,La Bella y la Bestia (Beauty and the Beast) [Banda Sonora Original en Castellano/Edición Deluxe],4SOrVF4WmQ9EGx9fVb74Vz,33,not available
2,"City Of Stars - From ""La La Land"" Soundtrack",0LtVx5vsq9nfpGsWgjUin6,Ryan Gosling,6kXm2YCtdUOpRYNKeKhfue,City Of Stars (From La La Land Soundtrack),6T1Ge9jSAJFkZXvYVTXbyW,3,not available
3,How Far I'll Go - Alessia Cara Version,1ehPJRt49h6N0LoryqKZXq,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Moana (Original Motion Picture Soundtrack/Deluxe Edition),6pZj4nvx6lV3ulIK3BSjvs,71,not available
4,The Moon Song - Film Version,15QMLEPeA6dFzRcRMBSDyT,Scarlett Johansson,2KAaJOwfu8n93byx6YPRPa,The Moon Song (Music from and Inspired by the Motion Picture Her),5CJeaMFTxwWLYvDY7qDq5u,1,not available
5,"My Heart Will Go On (Love Theme from ""Titanic"")",0sGNcx6lfc3zrbiIOxY4vb,Céline Dion,4S9EykWXhStSc15wEx8QFK,My Love Essential Collection,0zMOz1phwhxqDqNzttMXsw,10,not available
6,Another Day Of Sun,5kRBzRZmZTXVg8okC7SJFZ,La La Land Cast,6T70tWxqyIpdVbsFvPzqM3,La La Land (Original Motion Picture Soundtrack),3GU8BzFEAdFSRjc8jZkL3S,68,not available
7,Moon River,7MKhmjPpOOUmst4jl8mvFv,Audrey Hepburn,16eV2TebyEhqaDRFEZJ9h8,Best Movie Songs Collection Vol 1,5HwKKvpZqqFiJlTigUCSRa,2,not available
8,Have You Ever Really Loved A Woman?,0zM1AyagtXphAIgK0RbEKf,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,The Best Of Me,4kbE34G5bxaxwuCqz0NEw4,9,not available
9,Wind Beneath My Wings,4ErUhFToT1yX52MeHqH8OY,Bette Midler,13y0kncDD4J9wxCyfKr10W,Experience The Divine: Greatest Hits (2000),0pVxC28TGjIk0SEqm7wUCD,56,https://p.scdn.co/mp3-preview/e202bdfd8169b84f0877e20c6d33be494130ecaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
