¡Dame Más Cumbia!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,967800,spotify_espa%C3%B1a
1,Lo Intentamos (feat. Grupo Play),3tkOtUYwVBLXtDej4HZrOr,Los Bonnitos,7d1kmnhwauydKmuAvjgQrH,Lo Intentamos (feat. Grupo Play),3JfEpmUsapYmTveLcrD96x,56,https://p.scdn.co/mp3-preview/99ad24fb2a0c1f4102bb0dfb7cf45606f1bd631c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,2 Pa' 2,1Vd3YqV8DYS1U3rsJads3H,Rombai,5KQX0Ui06LVm6PApyicRFK,2 Pa' 2,6Mp4YC9YfYpNzKSUgd7BQs,66,https://p.scdn.co/mp3-preview/0218a107a6df79ec3b213fdfaca4c788dbac07cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Cómo estás,6bLvfGI2XeU5DTl8feuNrk,Ke Personajes,06Q5VlSAku57lFzyME3HrM,Cómo estás,30wGCjJRi0wRjdKu12PQcd,65,https://p.scdn.co/mp3-preview/98b65d9b89d4e51ef0018208ec525dd64548011b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Deja De Llorar,3tddzXTgneWrkV2cYNUBZe,El Polaco,3ucYybVr1mTuB04HtoBDCc,Sigo Por El Objetivo,2mDUQf0t9BfK4niWwr3Mdx,63,https://p.scdn.co/mp3-preview/9a5e88129adbc26ed6ff151fd3288e235690ff4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Sólo con un Beso,5ucrujpVC5pPdxNR42guhh,Los Totora,6Cv7YpJ01y71mdgm4szmU2,Sólo con un Beso,1wCoN5OCgwlVWfR8nzTJBJ,60,https://p.scdn.co/mp3-preview/7dfabbedb7cbfab15a3f693294bae054eb673489?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Dime si eres feliz,2FsKAVOxpmnxhxmEsqrZOD,La Champions Liga,4osqF39bEPXPsJfVUXeCh3,La Champions Liga,62CXOSLSYEgIUONJ8Mu9gm,63,https://p.scdn.co/mp3-preview/15a4a1a7dbce294ad510b8b78947204bb7c3dcdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Me Voy,22sESxzbY1O1E19xjOTaYf,Rombai,5KQX0Ui06LVm6PApyicRFK,Me Voy,4ZsEahCVUrqLbheIJR91bN,69,https://p.scdn.co/mp3-preview/1565ac792f4ea2435e5131f5faa995ae8375bd32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Culpable o No,0PNkST00gopYa35OLKfju2,Agapornis,27Yc5RzJf27tJfqezJnHY1,Culpable o No,7cpSPJeI3YMC56xp7lsz19,54,https://p.scdn.co/mp3-preview/0729be679400b06ac8047ea3eac0977d1d61c52d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Maravillosa Esta Noche,1gonyTKH24V4eDFEbnvewJ,Los del Fuego,5L6GbwWUM3Oi5GPnkmmp24,Maravillosa Esta Noche,5fgZ0novezag3oHcyGWVQb,49,https://p.scdn.co/mp3-preview/b6c170c5e4e646c5d8c9a962ad65c0c9a8345fe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Donde Estas,58QDB1sKe1wHZEvngevtGE,Hernan y La Champion's Liga,04XdCDDrPnnqidaVBTOQjt,Donde Estas,6HliYi1SE9uMcnJHFVC0oT,57,https://p.scdn.co/mp3-preview/9d78f0c327eefbafa2d347e97c380b1d82e6606b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Una Cerveza - Versión 2018,2uViGylyj39rq8G0pqyX9y,Rafaga,0CBKUzrf6yGdTgxAQbUUHS,Una Cerveza (Versión 2018),1dITUaScyif6DqZs7ESCxL,50,https://p.scdn.co/mp3-preview/438bdc95b12db36dd950a209b81233e508b03c0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Fallé,4Sfp7pzY0gAUiuWpykPIUT,Nestor En Bloque,2to8xMgnoxHCXPF7eWJPvg,Fallé,64TR2v83gV0lH1juUoq9nq,53,https://p.scdn.co/mp3-preview/45854f84496cd1ba29ee983da8184fdb70a37782?cid=fa83a2fec7c440b7a2795d600d6b2c7e
