Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,46190,spotify_espa%C3%B1a
1,Dios Salve al Rey,20ts75Ex6L6NCe6opvCZth,Los Muertos de Cristo,3kB55UDQKH1NV9TLKWgE8p,Rapsodia Libertaria Vol. 1,2HYq2crRs5PRcEJ7tcq7BT,27,https://p.scdn.co/mp3-preview/5af02a482003d561993b1d8712882724d17ed53b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Fruta Podrida,1COScORhH7Ww3KD6DHEkdC,Guerrilla Urbana,2v0ynIEXrWh1FtcMXHIZJA,Palabra de Dios...,2GaWXFgTEUqrw6OYgseWkA,17,https://p.scdn.co/mp3-preview/293a7e8f1e9ecd2941a3cefc40938e3fe976563a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Va por Ti,4mFFQIaQg4H1rwfD0d3VnS,Puagh,4hrhDZERJGecaY3Y9nnmRW,El Ritmo de las Ideas,5x18Yd0CopiDQSVbSVo5No,23,https://p.scdn.co/mp3-preview/cb49417480c1c43b4fbd5a0190b3ad7892f9d0cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Enemigo Publico,2U79EanNfw7bRqC68Jnfgf,Cicatriz,7f3sBMcnvGfOkHiKmeXtIz,Inadaptados,27KSLddcDyno8Wm3kYweQV,36,https://p.scdn.co/mp3-preview/8f837249b0cc2aef3ea9ce686fae1df75c14e52e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Vuelve,1jYliU7ZnsBHiqBGmGYi6E,Kaos Urbano,0u5LMlVeRfZZuh2Nxowii4,Suburbiales,5f4Pwwq1Ru09eaDslW55X2,30,https://p.scdn.co/mp3-preview/f1cd029a4cc420d2281ed9020dc82d00642263c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"Ni Descanso, Ni Paz!",0b5PjlQGnxkjNThxUmCSGP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,"Ni Descanso, Ni Paz!",0jndA7RswPbdGEYEe4Tq3Z,41,https://p.scdn.co/mp3-preview/0b58ea22fc67bfd92fd72fd6240d5653de23f3dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Piedra Contra Tijera,05ZxYc1glaSTsNVbjBO9Ty,Soziedad Alkoholika,2S5OOMthdyp3Qu4IbTGAQ3,Tiempos Oscuros,7aQjiTfTyA9eMNkuMc09k9,47,https://p.scdn.co/mp3-preview/0988f5155270bb85cd7dbcd82e6b13fa8b4839bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Nos Engañan,0WFeE2O8RI03RheJ4PPbDr,Parabellum,0JbJ9sG3cB719QmmkIRTPQ,Envenenado,5GO7H2fSWsSs8QA7ahTcsK,33,https://p.scdn.co/mp3-preview/26783c17d7d6d0e5058631ecd301a2eec5a959b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Daños Colaterales,0m1jWuJipbtwtprrYqq0uR,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Cuando Las Bocas Comen Silencio,2XnYnlNmP1gxV7J1MqCuCK,0,not available
10,Kualkier Día,1I9u9TGitfcJzOXV1fCM9B,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,47,https://p.scdn.co/mp3-preview/83a1092d86b71484c7ad3a6617d8651f7a44ff3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Amor Frenopatico,6YjmFAhmoUJydfvpDj0PMT,Comando 9mm (F),06U7a1JQBlxvAuZAa9H4fG,Camino hacia la ruina,7z6A7KRuF72XBB8VcvUbIh,25,https://p.scdn.co/mp3-preview/caa9d00efc79d42c7fd26a9da26fbcf493d3eb1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Ellos Dicen Mierda,6bsiPYRqISKkHN9FpgffKP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Ellos Dicen Mierda,0QjDaIXJLrgirtJMFWIu8R,53,https://p.scdn.co/mp3-preview/965253f5f4f0e727e9746dfbbe70c964ea485f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Empacho de Orfidal,6vbkhHC2YifNfPZFgRTmfs,El Último Ke Zierre,0sT70rawlW3M0BbnKdxdJC,El Mutante del Barrio Chino,0IzirXfpxJt753nbjyMV7j,40,https://p.scdn.co/mp3-preview/c1a030a94db90f5309542f3ecee25af4af2013fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Por ti,7tbmPVO7BOZ3uBTkQ4lwFV,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,Escapa!,6MQUQgI1RKD4wHu2Qc16iU,46,https://p.scdn.co/mp3-preview/83f000fe50e626f1c5641b9c1b3d938d5be4427d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
