Indémodable,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,62274,spotify_france
1,You've Got The Love,244AvzGQ4Ksa5637JQu5Gy,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs (Deluxe Version),1rLLyY5p6HXNl2lKzINWp5,70,not available
2,I Follow Rivers - The Magician Remix,6UAgnw2w3AVwLg1p7sE7v4,Lykke Li,6oBm8HB0yfrIc9IHbxs6in,Wounded Rhymes,2eEnzl61veDi3zQylslIap,60,https://p.scdn.co/mp3-preview/0c6e2d9b741146f2f24982a0a5cfb9c2086ed136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Paper Planes,1wgqttlPacpvmX5DKVboOa,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,Kala,23vvbZr2ZDlJNZftFAkCqO,72,https://p.scdn.co/mp3-preview/91a053f8a0cf371a2deed7b64e3f82cb24dfd95f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Midnight City,6GyFP1nfCDB8lbD2bG0Hq9,M83,63MQldklfxkjYDoUE4Tppz,"Hurry up, We're Dreaming",6EB14IXV5oyOiItGBv7mtG,74,https://p.scdn.co/mp3-preview/02908bccf4315244e40852d1ef4725c052106edf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Iron,6y8q2HoYk1IczJGeAUjH5r,Woodkid,44TGR1CzjKBxSHsSEy7bi9,Iron - EP,5H5PtRbsfDL0ZYfbJFac7s,47,not available
6,Glory Box,68oUQRwGJGExtkpaSvSbgb,Portishead,6liAMWkVf5LH7YR9yfFy1Y,Dummy (Non UK Version),3gxOtUSRzweDWBKlpj7cG6,15,not available
7,Intro,0bXpmJyHHYPk6QBFj25bYF,The xx,3iOvXCl6edW5Um0fXEBRXy,xx,2nXJkqkS1tIKIyhBcFMmwz,73,https://p.scdn.co/mp3-preview/7d1a4f899ade1b199c69251d57d18c3e399e601a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Big Jet Plane,2KOvNaMJcuaYTciDe2TmCP,Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,Down The Way,6k8Up1SF4Lkqc119mxPQqi,57,https://p.scdn.co/mp3-preview/18472eca8acca62c4d288c636f65b8db6aa65cf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Nantes,70WyPf8WtXvG3CgeTZZWz6,Beirut,6pmxr66tMAePxzOLfjGNcX,The Flying Club Cup,1QCF6EFdBQG7WBeWznh7qC,12,not available
10,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,Foster The People,7gP3bB2nilZXLfPHJhMdvc,Torches,7Kmmw7Z5D2UD5MVwdm10sT,84,https://p.scdn.co/mp3-preview/db83e69f4ef8a49f5b77e367f7031cc3bcc41b1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The Look,3kLVvnXLbuQuu1sanJNDjf,Metronomy,54QMjE4toDfiCryzYWCpXX,The English Riviera,3CMrz2GK35brBBOlmXLPoI,6,not available
12,Kids,1jJci4qxiYcOHhQR247rEU,MGMT,0SwO7SWeDHJijQ3XNS7xEE,Oracular Spectacular,6mm1Skz3JE6AXneya9Nyiv,77,https://p.scdn.co/mp3-preview/6a749da38e969dca948f36139f976b594db38f5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Woodstock,4VzzEviJGYUtAeSsJlI9QB,81,https://p.scdn.co/mp3-preview/c32d9479367a99fcf5f881e23e1381e6f87214e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Walking On A Dream,15Hb4YapPuC0iNGvez2PXE,Empire of the Sun,67hb7towEyKvt5Z8Bx306c,Walking On A Dream,7sdPNv73USetXczqf6ZLvz,49,not available
15,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Currents,79dL7FLiJFOO0EoehUHQBv,85,not available
16,This Head I Hold,7kcy8ctwafCfiUFuBcvxpp,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,Mondo,711I6l47d1znaRz2MqfERu,4,not available
17,Young Folks,4dyx5SzxPPaD8xQIid5Wjj,Peter Bjorn and John,6u11Qbko2N2hP4lTBYjX86,Writer's Block,5g4E06cxsFEMFE9hSekAt2,71,not available
