Courant Alternatif,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4947,spotify_france
1,A l'ancienne,4y2XVfCVko1QdkXDtWdihE,Soan,4Bxixr2SfkADo7S4aZXgCw,10 ans de cavale,2rwkoZFZWORqsXnXOe9Sse,34,https://p.scdn.co/mp3-preview/c1f103eb2634fcd63c68465e8955d8ee56e34f47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Le nécessaire,0R6MGkt9E87Y7rdnXH5bjL,Aldebert,1Vr9NCbc1sYiPDeZmFjOTS,Le nécessaire,7aJxh0pPmdD4YKgy2cwCcK,29,https://p.scdn.co/mp3-preview/814225f530daf912008218e171c989d1ce1755bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,La belle verte,4sPyjheLUsgPPhflfzJDsZ,Les P'tits Gars Laids,4GTdPNshNvdjLbia6EHced,Pieds nus sur scène,2MDkFE9sOsEmoOvyX4KZgH,33,https://p.scdn.co/mp3-preview/e6add3781846e160f93b84e141ead590b868abdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Y'a plus de saisons,3a7ucS3KMuX4P2Cgh8K0Lt,Bazbaz,1PBmOxQGnb7tWVs5vrfOzV,Manu Militari,4u7TLo4FB5kzS0KqgkWRBo,30,https://p.scdn.co/mp3-preview/bb15ba2151b763776c5feafe6a5f254878d6fdc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Les chemins du bonheur,6IsoLuQS4Iu6OAV9cht0RW,Joyeux Bordel,469yOWa18ScOzcbaCrT8fg,Histoire d'eux...,7aAhEZstRilxoHhMH0SJHd,32,https://p.scdn.co/mp3-preview/7e2964a2742c302d5e1b15f090ccef0ba2502d30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ne vous mariez pas les filles,5OmAVpLg6kVS4YEg5ZAjbZ,Debout Sur Le Zinc,2IScPq8PNlEgMrxY22iufh,Ne vous mariez pas les filles,5LPRGWHoSX78SvqqdJjPOr,32,https://p.scdn.co/mp3-preview/e89c8caa689dbf2c2806b0a35e22d9054cfe862a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Le bout du banc II,0Mrdg8WoDBGpWJI4rCfN19,Mes Souliers Sont Rouges,4IyUYsH5XMy3tgfBfeHRO6,Le bout du banc II,52VHRkDoR1R0L8HB2GlkQ9,31,https://p.scdn.co/mp3-preview/1c3855d02b2d0833e7981a4797ce7278518b735b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Montana,3kfczq3Ba8MpoIivJVeuHk,Le Trottoir D'en Face,0z6rhcwWAD4Oi2J9bLKHbD,Multiplex,6AzZvJIIcNBDcojy7NZOqp,29,https://p.scdn.co/mp3-preview/2d3f0fbebe614cbfaa62e86b6b8f0dc132258a54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Bouboubou,1ptLXBoUMpqerjqhIZAwQ1,Les Wriggles,0GtJweTzG1ECJ78loPQxzl,Complètement red,5DDZVd91Z1nqpA2yBuHmRv,35,https://p.scdn.co/mp3-preview/5fbee17ae04e0c2aa46914393edccaca0071fc41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,J'en ai marre de tout ça,0xr75ngggZm6kUzm6Eqcx1,The French Touch NZ,2gnmEXlaMaw3lsE0zu6HjW,J'en ai marre de tout ça,5VClbZlMDv7jcMjGtXEmgT,37,https://p.scdn.co/mp3-preview/b562ff95f00c1c768bdbeca460402f7aad7ef4c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Place au soleil,4ta49ofSHJO9hRvSchPfLy,Collectif 13,3i55ORsQQWzrt0Z9jqXqOs,Chant libre,0jRI0vOI8lWKoFC6TOeE0F,31,https://p.scdn.co/mp3-preview/15e808974f374571a01c718a74de6f0ea8853be5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,King Simili,2D3D66bM1Zq28d0A4y9m3s,Tété,0eykNIBJy8E8Cyd00Y5fqx,Fauthentique,21tb7LsrCpJwtbVSznRLQE,35,https://p.scdn.co/mp3-preview/e1fdc793991c82dca25d00fa58b26f6dc03a5a1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Micorazon,60LM3niy2K0c2HRoQQr3TT,Christian Olivier,4zK8HhFMxGGfqhddPklGxE,After Avant,1wcV2J38EFfDmLN9NfDpcq,27,https://p.scdn.co/mp3-preview/3bbed7c61ab59c8b0bbf6a4452e726a9d9d8e462?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Tara tari,4SreOlw7w7GVM5hco027h8,Féloche,5ucXr4ku0fsOeViLWHM0lF,Chimie vivante,19g0WJPXSQ7NOrsIayhjc1,31,https://p.scdn.co/mp3-preview/a117c30290d897cae33f0de72d7aafe46f836269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,D'ici là,5GFjC8krhYfLzJBmnQb9mB,Acorps de Rue,3pSQZzo3ErCZVlbD3Iu1OJ,En disant,4vD4IdsZRsbbwL9xWIw3DE,28,https://p.scdn.co/mp3-preview/729d756396bbb2d8ef861fd691b465256aed0b76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,L'attentat,1V5RDCzcyliEy6iIpQydKB,Saez,2yQBgACksUJgNKh1JWPWPe,#humanité,2vT9YhQZSzJcRxmrFpm7xY,42,https://p.scdn.co/mp3-preview/82527ac574458adb56b884a25cb42fb6e083d3f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Luna de Papel,57OyHeEDiZ969un6tbqwcV,Les Hurlements D'leo,5WclEPgvoYK28a034NNa8s,Luna de Papel,6X1JDXiVpBwFYiw1CthFuX,30,https://p.scdn.co/mp3-preview/aca2fce695751ab6db0994dab5162f9ec709ae67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Du mal à se taire,6fG6LSP3p68f5JLePafApv,Sanseverino,1jKouRXGXSjxHAx2ayWolz,Du mal à se taire,2SGrnqwxx8KXFL8x9IlB6U,31,https://p.scdn.co/mp3-preview/d72708481b940199d16b8c27ea0e9c77345f6360?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Tabarnak,1BXVmuNMaTvj5qCgzfAEP0,Volo,11T4vCBbGWjL5boJmWeiw9,Chanson française,7tayKVQ7LqtperzYuNvUka,29,https://p.scdn.co/mp3-preview/d81efab5861699ac6b00288a542d064ff1a4aec6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Changement de programme,5yATniloy8wGAKvSPBwYlG,Gauvain Sers,3lx6C79jX79Qzo6yoC5Pyk,Les Oubliés,5CWlmqDKkhSmxLv2AvycU8,38,not available
21,"A Feel Good - Extrait de la bande originale du film ""I Feel Good""",2OOfFGRRb9NY0Wk7yKs6Yg,Mouss Et Hakim,2klk9U6DVkepiTA9VtTALu,"A Feel Good (Extrait de la bande originale du film ""I Feel Good"")",1tT68TpXTqW9QJWnaVBGMo,26,https://p.scdn.co/mp3-preview/966158ec17f1b549b23e2c41f020f0ad9c853f24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Vladimir,4St9WiBUcTKEEMfUejZuKn,Soviet Suprem,2X2ePjwsB7PMG1FbbbLK6C,Marx Attack,0ACypXx4oJ1EVk7fRO5v7O,35,https://p.scdn.co/mp3-preview/eb71ddf7260dd3b89ac015bdf2f3aa8566db5854?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Viens avec moi mon vieux pays,2mno8hFAGkYTCvgZ0UzTWb,Emily Loizeau,7iz1puzdJivBhh6akJYp09,Viens avec moi mon vieux pays,5hoW9IuKaJ4fM6wGHCNmoM,33,https://p.scdn.co/mp3-preview/92ea46f78c6ca0d62f1d7112271a73b7a47c7f44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Les pieds dans la boue,47l8Q8JXqsBDnbjJ6KQ9Vh,Alexis HK,4cdkYUFAZumsOU73JrhUg0,Comme un ours,1LbkvvKRw9Pk1HvOGMp9an,33,https://p.scdn.co/mp3-preview/e553e9721c94e7ad2fe37eb06d9c27cadce7f51a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Tranche de vie,3IKpozWHTrqTgQ1qOh87uI,Sanseverino,1jKouRXGXSjxHAx2ayWolz,"The Beber Project, Vol.1",7AJkHujwk5SthaEQjSSFFD,30,https://p.scdn.co/mp3-preview/201f5ad03610f5ad6e9f072152b0d4317788fb03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Tendresse,2mhJl9BaFrkukJDzTxbWWT,Marius Solal,5xtBrcDtW7NytJZNhWw2pl,Tendresse,2dsH59lYcRvsanZmjJZr8r,24,https://p.scdn.co/mp3-preview/cd24f5209741e7b6745c22a05eb07146ad64aa78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Panamercaine,0hclGVtuTYtJZC73mS9ATe,Karpatt,7qU5BoLb02tqeIwv5zUs0e,Panamercaine,37L4ALn2tD6RZa6jestqV9,27,https://p.scdn.co/mp3-preview/6d7f1712b39356ac96269ff6aee58ff5047ecf99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Vivre avec toi,3uPhia3t3vuWE2jDh8tqSI,Yves Jamait,1K1P7X1G6brqCjsZeKOMNR,Mon totem,4EOYIq6xoQP1Ld5nsdBp7I,32,https://p.scdn.co/mp3-preview/81de76366d3bc9261cad6805c25db604cb5cf69a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Babylone,3Xai9Rpc9gB8lyo7kfQZBi,Bill Deraime,4e8tDC3yIRlHFbx9nbUPvW,Nouvel horizon,6eNpCtCIXGvNvnk1UgMVwz,27,https://p.scdn.co/mp3-preview/ad48dc3366728f5c64f7cbc3be322de34d510ef3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,J’entends des voix,6vMsIoYpc9FluLUBQI5Ym0,Gaëtan Roussel,2FDsdMev4pzIXwoJGXi9zf,Trafic,6QriOvmJsd9myTf4oyyJXB,46,not available
31,C'est quoi ton nom ? - #Cqtn,2IiUxjgvRdtztQxy57KNiX,Blankass,1FSEVDIvXWHWPmPeCuka03,C'est quoi ton nom ? (#Cqtn),5qCmx1B9cpLYHSN4e1QrS9,35,https://p.scdn.co/mp3-preview/e71c24ef0149480d8fa5a649e8002faf822acbb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Sucer des cailloux,1ZUB8x8d8gHnXRVJgzQsBv,Les Fatals Picards,3oaj9AlMadVi3FkChhwFAz,Espèces menacées,6SRf6tOsnAVUUE2JjWq0Fs,40,https://p.scdn.co/mp3-preview/e49fc7e81e0a3636566c68effc75540456f9c6e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Grita Justicia,3GnB860tfWZI14GNr3RNCr,Sidi Wacho,2gowmdqgysWfADh2V9XSPf,Bordeliko,4GjkCvZpeQ7dovVPFMCU2t,30,https://p.scdn.co/mp3-preview/ee3c61bf6a9d0cd381453370f5657252eb87c7b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,C'est bien (feat. Debout sur le Zinc),1IRR4uuIM0fLytgNsfiWKD,Les Humeurs Cérébrales,7wsql7HoOtVtbgswpqjizK,"La nostalgie, c'est plus ce que c'était...",3xaMXFbs8OSG65gstFNI7l,28,https://p.scdn.co/mp3-preview/9a826e052f74011274e2802fc2691816b83978c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Banana Split (feat. Lio),4xAf1g7J1ycFvyO4zQUdCp,Les Fatals Picards,3oaj9AlMadVi3FkChhwFAz,Banana Split (feat. Lio),1EqZUOslJR8ikqf0hREaWV,26,https://p.scdn.co/mp3-preview/2ded5459ed68622fcf00b0475b53dec03e2e155b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Pas ma haine,2dvkYUSghf8LXLCUznOM8E,Les Ogres De Barback,3avSMklPuyXhcT5Smt1h7G,Amours grises & colères rouges,5I4dgah2issnwrQ3fb9vKX,34,https://p.scdn.co/mp3-preview/5293924e0ada524db5122a7dc45d790387a2bb37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
