New Music Friday France,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,242796,spotify_france
1,Egotrip,7d9VYpmw1zj0Zdeex0uZLf,Therapie TAXI,5MynxBz4ZMqvUzpcxTZl4C,Egotrip,2pvAljd8SURmWheBSYhtbp,56,https://p.scdn.co/mp3-preview/f6027acdb60de157407ddc15de666159796b3c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,79,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Parigo,3ll4t0mAv9wf1Mp4VghEFE,Feder,5KnoVkIUGmK0PiDKMjz2LM,Parigo,0Vug7cDWsOzaR9sJ7oF08l,52,https://p.scdn.co/mp3-preview/db66fce531d60347184b020a870ab76324783688?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Far Away,12H6iTEgiX4HPnCPphYSMk,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Far Away,6oSnvw7yQpDFFTZIZA4Rxx,63,not available
5,Popopop,18HNGxDOcshRU2Hdu8tMOM,Gambi,1lB3I3SI30v2ZOpR4XQqzJ,Popopop,0JJoNDGjK0N0SolzcDQpbX,77,https://p.scdn.co/mp3-preview/fd0de14a046c156f66810907299a0476f5b568c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,91,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,86,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),3t6Z2qoBVCS4NHNI25XECH,82,not available
9,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,73,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Like Ya,0oNZPBem6A8AnqzO64DLGE,Jul,3IW7ScrzXmPvZhB27hmfgy,Rien 100 Rien (Réédition),3Jtj1RlmKnRvBkp3YJWHXO,56,https://p.scdn.co/mp3-preview/ef6c9187bdd06e72d05158565d98f76f542eeb9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Superstar,4EYvuvqzUepdNaUlUZKVve,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,Superstar,45ScJwTLqnrTpmsjehHPHM,61,https://p.scdn.co/mp3-preview/bc9ac69e0dbf531a29d55286aa6e1ba08d0d2818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Nice To Meet Ya,3KrYBAbfxlssMirZLs6HzZ,75,not available
13,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,73,not available
14,Différent,6BltC0EGmi7BpQrRRM7pBl,Arcadian,6AsX53NZ0rVrVnlKLy1KvR,Marche ou rêve,7e563NodwxSoe4CF2PWVX6,39,not available
15,magicalove,4HP9EMDM4IAZIUsvUmZD7O,Isaac Delusion,2HGAZDmVV3GAH4XFAZdvSG,magicalove,3Vs7pcXCgQgav2fwZBSvMY,40,https://p.scdn.co/mp3-preview/53601232b995be02c25ffbf9a4b26c5812b122b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,All My Friends,70pP6E6VvznsfrSsznnQnk,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Without Fear,7jGNAMzrW5HMXdxl9XyBMG,68,not available
17,Don't Get Me Started,7MFL1GD1NtffPkogskoilF,Pia Mia,1BhWF9W2PngtPSyobKg0rP,Don't Get Me Started,69lLTPKbTnVIyOnA21r4Xb,61,https://p.scdn.co/mp3-preview/b279f82d2d1ba7483452d3987f49edd597bb26ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Phuma (Bad Self),0kcigCB6tGFHYaByBxTvZo,Muzi,4fd3n8zcAmsG2up1QWDNj5,Phuma (Bad Self),5VVsnambM0QduxRNDdnw4g,32,https://p.scdn.co/mp3-preview/c362130e731e1df2af28ae73de7ef039d34dd127?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Sims,7sJwGtoWgkVRwzujlyT3cp,Lauv,5JZ7CnR6gTvEMKX4g70Amv,~how i'm feeling~,2ASTOinfP52bAbWPzXmjYz,73,https://p.scdn.co/mp3-preview/6c4103a1d4ee6272c1f29f991a90d02c6bfe5275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
