Hot Hip Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,286267,spotify_france
1,Tootsies (feat. Lil Baby),4MkMM6WUqkFeCLDJ4bhVpu,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Tootsies (feat. Lil Baby),6LphJF2mfzJZ2QezGHs4q2,58,https://p.scdn.co/mp3-preview/3b656b3f835e939ebde5953a33bd0fcfd8375651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
3,Opie Taylor,57F0OIqDnhEIPBI6SHqHJI,Yelawolf,68DWke2VjdDmA75aJX5C57,Opie Taylor,1P61x2sHSn3gfzcoa63zpi,23,https://p.scdn.co/mp3-preview/f0cc2bcf33647dc164daa7a12d1412b4f4d96e90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,87,not available
5,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,94,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,72,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Behind Barz - Bonus,4B7fTyj1FIPvP9tT5X3DnR,Drake,3TVXtAsR1Inumwj472S9r4,Behind Barz (Bonus),7dkkh6qYHqduXSWQFhmQ0i,80,https://p.scdn.co/mp3-preview/73e9e47faa119ff50413dc7068362cbc1aef6c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,RENT FREE,6GefwzSnQkQoCnWJNs9IZR,Russ,1z7b1Pr1rSlvWRzsW3HOrS,RENT FREE,4rNgGxoqUkFBZOMEb7PKoD,74,https://p.scdn.co/mp3-preview/ac560b2155513c042e90c33574fc78132ca12112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Shoot It Out (feat. Worl & Hott LockedN),0TZbar0k0XFt5KsrYQCESe,T.R.U.,7uwQPQsBYgrSd63xgeMyuM,Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO,62,https://p.scdn.co/mp3-preview/b7a649b3d98feff2809106760d8e49aec56d45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Twisted (feat. Logic & A$AP Rocky),5xEWiG0ug0rOymOjlzSGzx,French Montana,6vXTefBL93Dj5IqAWq6OTv,Twisted (feat. Logic & A$AP Rocky),7rmnGDfffE9OoCScZ4pjjU,38,https://p.scdn.co/mp3-preview/2f7e185f49682ce653a78546e40667a69b3f8d5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Got A Check (feat. ALLBLACK & Offset Jim),25YjdsVD38npBWGM7fOYI5,G-Eazy,02kJSzxNuaWGqwubyUba0Z,B-Sides,39cMCTDvlPDNsPSdKap9am,58,not available
12,Stuck In A Dream (feat. Gunna),5hDAT527wXWNBnJlujhuUs,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,Stuck In A Dream (feat. Gunna),5uSX6qtcBrqNOWBloxl6vr,84,not available
13,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,84,https://p.scdn.co/mp3-preview/f618f9939f60ff4db2122bfd45a7e58be558d583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,TESTING,3MATDdrpHmQCmuOcozZjDa,83,https://p.scdn.co/mp3-preview/2cfefc8f262be77650db96a60e2f879fa436ee1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,ZEZE (feat. Travis Scott & Offset),7DER9glBF0SYJU2R54Ipte,39,https://p.scdn.co/mp3-preview/a6f1289a51784c38125ea962755cfd927c1ebb9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Ransom,1kBbgxAUc4HQv7cgIayIDH,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Ransom,4Mz9ZCE83IiaVC9ejMqxky,88,not available
17,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,5LHRHt1k9lMyONurDHEdrp,Taste (feat. Offset),0yd01cU78rnlFXq6vRxPSR,84,https://p.scdn.co/mp3-preview/93d60b97736368a2dd3098c46b2a49c2bc762183?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,FATHER OF 4,6bPpXqJRpjwy0hLyUGtzYc,82,not available
19,BUTTERFLY EFFECT,1yxgsra98r3qAtxqiGZPiX,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,BUTTERFLY EFFECT,4fOw7xSDwqb58Z2Qia5j81,17,not available
20,Murda,3CeJBWfeUXs3G0NeZEJWgy,Casey Veggies,0uFc6StTmJBvdHPZFDkdJy,Murda,2JmJEMFfxiJqBnoNplWAdC,45,https://p.scdn.co/mp3-preview/62571756402d4d56e3514bbd4fa3d7c0a4cc4b44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Walk It Talk It,1jr1BnpXymcf2i97mTR8tJ,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,5ZnasU3vhbAxJxUYNXeqOq,8,not available
23,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,3TVXtAsR1Inumwj472S9r4,The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,93,not available
24,"Thotiana (feat. Cardi B, YG) [Remix]",1JkrD47SDpAbyvqKtolcea,Blueface,3Fl1V19tmjt57oBdxXKAjJ,"Thotiana (feat. Cardi B, YG) [Remix]",5DjuLFcOMVFgqG972w6fgp,70,https://p.scdn.co/mp3-preview/e335fb1c0412562ee3c90867dc125c545f9f6704?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Girlfriend (feat. G-Eazy),2Dl4B2t2dysNepXKRaiWVh,T-Pain,3aQeKQSyrW4qWr35idm0cy,Girlfriend (feat. G-Eazy),4UUPCVMfRygX8QIFiLti6F,69,https://p.scdn.co/mp3-preview/cc7d5418e4e5f3081768700fbd07d0853e370afa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,86,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
