Pop Urbaine,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,462726,spotify_france
1,Loin de moi,30kxl4FnaEFS2qZkec3Zak,Naza,7xNYY1Zkb1vks5m9ATlJok,Loin de moi,56YSKuglpaUvu5VMRB2RWd,66,https://p.scdn.co/mp3-preview/244988a506a0a7d4024e4cf1a24da40ab570e034?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Paris la nuit,3A0csITpF6D94TodOVerjV,4Keus,2LUi4eKMEFKFM4awgurcSs,Paris la nuit,6s5ZbyqziXcrFJxdQYJj9d,21,https://p.scdn.co/mp3-preview/498606b4aad0ec123e500ec10661cc19002396d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,C'est pas des LOL,5gg6C2xjGWvFPmO1A8ydGt,Jul,3IW7ScrzXmPvZhB27hmfgy,C'est pas des LOL,1yIMYyt3EVPHd0k2amiVXK,68,https://p.scdn.co/mp3-preview/1ac15c19421274559710121cd0fadc9d105380e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Tu mérites pas,1Duu9hqgZY8Wvlq1k2PzFw,L'Allemand,3BX2N7cc1OrBUJQiiei3On,Tu mérites pas,78jhbcBWjYorTPnde4DRUy,41,https://p.scdn.co/mp3-preview/86e31176cba48cbb6b5e873b12f99df52148dccc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ti amo,5eatybp5sDSEsqeZcRuoog,Naps,6W5uA6CNMf3hd2j4a2XWCx,Ti amo,2JHb4TRpgbPLgr83Dmbpcb,58,https://p.scdn.co/mp3-preview/d06046699de0f51a819cb15d11e12a83803937bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Guitare,3ND6bmXJwI4VhsHNPGndmY,Fartas,18Vnxd3FnH3IuIeg3ahgvt,Guitare,4q82lnutHeQlBwRH6y4eG4,42,https://p.scdn.co/mp3-preview/d6d545095049bd30959b75c62088fcaf8e4d457d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,En bas (feat. Siboy),0raZ9gl4gn6KEB0h93FxMk,4Keus,2LUi4eKMEFKFM4awgurcSs,En bas (feat. Siboy),5Y80duYCRSjNpUuhHBBFjD,67,https://p.scdn.co/mp3-preview/33ea6273bbeba1ebc301981b14b7dfe01c3117f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,9 Milli,5WaJHn9WKdCJXJWnlYyeCE,Dinero,5ww4TnrPAbSUOE0kvRjuoB,9 Milli,6tLE6dlpuQZKbGf1NPsOSI,4,https://p.scdn.co/mp3-preview/00b466b63d55b1ea710afb578960f09758300176?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Je m'en tape,5Cg1ZotHFkquHZxKAqrbXj,OBOY,66Ok6bgC570sHkw08N20pZ,Je m'en tape,0R4CwnFRFQ54ksMeDWGuf4,68,https://p.scdn.co/mp3-preview/bb6870fb042feb2454796de4f3490f8d40ea4a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Cavaler,5zTlgYZL7vsQtqKOm7weDu,Timal,2ptKt4yP4mYRZmvi09JYyi,Cavaler,231YjJ1fSew6xoeptpYARK,66,https://p.scdn.co/mp3-preview/c3167bd5fdb22558264e11df40516c203d0784cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Bénéfice max,2tA1UUhk2WH3wI1nAXSNBc,Djadja & Dinaz,5hREZP0zTQbTLkZ2M8RS4v,Bénéfice max,1BNQpfPSEiESIpzBkyOUlh,71,https://p.scdn.co/mp3-preview/5bc84ecb0f5551370332a208e4755ca1a73c314b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Like Ya,0oNZPBem6A8AnqzO64DLGE,Jul,3IW7ScrzXmPvZhB27hmfgy,Rien 100 Rien (Réédition),3Jtj1RlmKnRvBkp3YJWHXO,58,https://p.scdn.co/mp3-preview/ef6c9187bdd06e72d05158565d98f76f542eeb9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Tchop,4J1Xsr38zb9BjM6QraKLqK,KeBlack,7x3eTVPlBiPjXHn3qotY86,Tchop,4mqx3B643d8h85jCScDHtr,68,https://p.scdn.co/mp3-preview/96f87ebb483ac177aeb41df4c041c0ffefe43c5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Compliqué,2On7uB8PN8JJmBNsms8unQ,Dadju,4sbXXFzEWJY2zsZjelerjX,Compliqué,0Qbl4lHJaZu5mjZVaPJeH9,77,not available
15,Putana,5oePa8PlOTPAlRaGs2OZ3A,Ninho,6Te49r3A6f5BiIgBRxH7FH,Destin,14p5CVdJCMRcgvICDAGS7k,73,https://p.scdn.co/mp3-preview/b112bbb8a6cbbb6152d6c06cf5042906038d13fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Isoler,2mzG13QieZBGpyRV34AODn,Benab,0qO3t2MHM5NIEJ5fw9VndY,Dracarys,4an526h8jNbLBrR5IHAWxh,54,https://p.scdn.co/mp3-preview/1f39978fdae81acd5b15a641c4f886edd264b3f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,La Vida,1jeFvfdMzvOax2eKJZsAr1,Ghetto Phénomène,40fhusTxvAWqq7xKB2rlgf,La Vida,4hwsoOYe744awSNuevxtyF,55,not available
18,Thaïlande,1FkKaz2v65DsN4WlGsgoqu,Dosseh,3b5bg1k6N9u31OtzSfK2dP,Summer Crack 4,5X3ZqzQfQGjyrQEvKEAjWB,67,not available
19,A découvert,40M9DN8MY88fw2Kxx7Owne,Hiro,64XqdWjtYhfMJeQB7wtAwS,A découvert,3yDZM2T2dW2ZtrpCcQJEb5,64,https://p.scdn.co/mp3-preview/45655986a880d59b0325a7420ebab170e6fc8c44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,"Une, deux ou trois - 1, 2 ou 3",0pIF01Ojs4YNxRtUEgsi0i,Says'z,2vCOfKQ7WFyWmuHbTz7OgG,"Une, deux ou trois (1, 2 ou 3)",76qtVofwo5UMbvBiIn6BCZ,43,https://p.scdn.co/mp3-preview/e1369682858ecda4e0dca39ad4f0ce3086d6a487?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Rappelle-toi,2sbexDy78oVXPRWyLhhW6O,Naps,6W5uA6CNMf3hd2j4a2XWCx,Rappelle-toi,2XWOcFrcEPQK7oSJtAbqQb,64,https://p.scdn.co/mp3-preview/b3ddd70865d60bec7d43269b38d220bfc7bfa56d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lesa (feat. 4Keus),1MHr14CHIrwlwVeZF5gH9u,Still Fresh,3AGggQTwJaSofLcpDlYhV4,Lesa (feat. 4Keus),6a7CMvKWJLgQwN1q8QprcR,59,https://p.scdn.co/mp3-preview/cc1257ce63b6fecdd05e33f4bbab8276b442dabd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,C'est dingue,0OD32tDTZQcBuNMYCF1RPp,KAZMI,3DH0zEaVz3gJvHVwo9xZaU,C'est dingue,7IiCMNyOLTN23BLhyasRWI,47,https://p.scdn.co/mp3-preview/f68da65f5bb29ac45ce49af5c0f5b34ebe446000?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Ma guapa,1pV9HAOC2RzQ9mtbykEkl1,Hös Copperfield,4fn6Kez1kGOO74vNuKrvCU,Ma guapa,5evMNaalYUuvKvvOkegaRV,67,https://p.scdn.co/mp3-preview/e1abb94ec37a2a2b426171f588e46adadc90c815?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Qu'est-ce que tu fais?,4TkugQm8Y7PF5qPRMvRl15,Siboy,04AIS3XqFcq2k8w3Tx4AmU,Qu'est-ce que tu fais?,5uKDEsrRivRBALT1DYLbYh,61,not available
26,Dembélé,5ifa9RYry6g47ljSTL0Tnw,Driks,3mTLkUsH6xz7b0UjcNcVsN,Enmalaøue,4jl8nzwOsk2XiOpfG6N6D3,48,https://p.scdn.co/mp3-preview/76c9523190bbac23fb40e32c56b5b9876b6fec67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Ghetto,6gY7x8aMIPP3lA0gQ4Jj9i,Naps,6W5uA6CNMf3hd2j4a2XWCx,Ghetto,4kcRbdmXVMZxWO8B0SFxwj,58,https://p.scdn.co/mp3-preview/7563c4439e700f59b60dd7cc4e123e6a32815748?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Muerte,3ACBTqmqdAfkZy0px9RWnT,Landy,2EFpb61Lpi0l5ldOiqbZkK,Muerte,6ED1bGP4z3dDreiK7j76F7,16,not available
29,Personne,0BRx5Gk5fpTqtgXMGAQ4rW,Vegedream,4eYnorQRhVHT2KBl2UyHHd,Ategban,3mYubnzYXs2bgV5cd9Ajyn,66,not available
30,Zina (feat. YL),3qCuWnlgt6HEcr1JDUNBBY,Anas,3jrZXTzqSuTBdfJeoSts1n,Dans mon monde,0T7P1bjVzYtK5VKogoFdlN,52,https://p.scdn.co/mp3-preview/435df8a2282b284346794759d0586e6c1cff2749?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Mal à la tête,2Sr5JVhp1A7nenFJSnbORt,DJ Babs,0DrzKyq66BJLP9V5IjiE4d,L'architecte,0EeRCGA8p6VZxkkXNOSrDR,55,https://p.scdn.co/mp3-preview/f6663a5cc23dd7f5f273fa276556bd15b26c4e14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,JCVD,3iLcfPepO3XiWUuu1zwqsW,Jul,3IW7ScrzXmPvZhB27hmfgy,Rien 100 Rien,34IhuOzKdcBLqZtYYpTOQ2,46,not available
33,Viens chez moi,2Ax1Xqx7UgI32aCyda3qur,Dr. Yaro & La Folie,7lR8WBYvyK9iTHuv5HwUpe,Apollo 11,53j3hBfe4c0geDnSkL7ljU,51,https://p.scdn.co/mp3-preview/f6597aa9bb7923b0baf1e89479d7179e0f360044?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Elle est bonne sa mère,6F8Caj9u2wk5hmbFuKK6Pa,Vegedream,4eYnorQRhVHT2KBl2UyHHd,Elle est bonne sa mère,6WudQKtz2tbgA5xVLPXby3,75,not available
35,Mention Max,5fmaky49ckF85XQ3Zjo0J8,L'Algérino,7kyIBL1EYouLqC8vw7IOui,Mention Max,3bdWdj8Q17r1o4nvnpJmSn,66,not available
36,Liquide,7tWc8HZfqJSZoK7uukmw8X,Shay,3MNnSV5hDd2UzZzgqD8xlU,Antidote,0i7KBJEPQlerkB8OfxQdu2,68,not available
37,Sale mood,7oxSh7uiB74lWGVIv2Qtlm,Bramsito,1WDkNp8Duv9QhO246S4dDa,Sale mood,3JnvIzcoQM95z5LzFt6BvN,66,not available
38,Bisous,3Td3k8CXBaaL0Cbw8wLTXu,H Magnum,63hFhXYW3r2q8uW2Rf3LUw,Bisous,09L74ViMSu0L97gNVvrjAB,46,https://p.scdn.co/mp3-preview/2fa395aa804fe0fdb58c2bf753540a2d6a688b6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Ça c'est fait,0BtJs3rRjbViuXkFyicwPl,Souf,2tsnxjntsRI6iFL9ZeC0ec,Ça c'est fait,1jASZ4XnJOe0cNYfGrjD7W,64,not available
40,À Kinshasa (feat. Fally Ipupa),7bLy8fxBMroDuV0zxwGSn6,Ninho,6Te49r3A6f5BiIgBRxH7FH,Destin,14p5CVdJCMRcgvICDAGS7k,67,https://p.scdn.co/mp3-preview/24078154b5cedc67e8ea1adef95e9fbe582ffd5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Favelas (feat. Alonzo),1gcGBBMd1KBAqKZmcwAfrE,Dadinho,0zw74GbIgk0thLlMGeQV2H,La cité des hommes,2ZeWRD2nVtQ6gVBjGIJ2zw,54,https://p.scdn.co/mp3-preview/9d058b319b0c31e14fcfdcbdb272e6d245c7234d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Mirador,4j5Bb0saeXmiz62XIZjcHj,Kezah,0Xy42slaJyTJV1vfi9Hbey,Mirador,6E965MWebkcp7kAPIUMSGN,70,not available
43,Capuché dans le club,4Bem64c0n9yHcBlLrHG0c7,MMZ,20amiDsCI5EwB6xy37h44k,Sayonara,0MN6KP1yzHHxAwXvw5IioJ,62,https://p.scdn.co/mp3-preview/e74329d9b87f8392b9b5f66a8b6b70d9eb9008a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,En l'air (feat. Lyna Mahyem),1P1iQyEsNJVpMPYv5GOOfo,Anas,3jrZXTzqSuTBdfJeoSts1n,En l'air (feat. Lyna Mahyem),3zSHhT6YS4zA5PZfTDr2k4,60,https://p.scdn.co/mp3-preview/902eaa58ff2b8ab75c77b23fbbd5a3e8fbe5712a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Dans ça,2csDB8oUNZuRectwsT80lg,Lestin,3dARbB5oGnzJMklK69pwxh,Dans ça,5xPxj0dYrRrgJaOtJqVqy2,53,not available
46,Bonnie,3u7dPCZl9HXsOF25OLkgTQ,Hornet La Frappe,1kwzW1IszUiq4Gs9BFesvW,Bonnie,1KNXxrGGIJIp9KZ4W8GCO6,64,https://p.scdn.co/mp3-preview/531644130a37bb91a45a8a6c85829d5c6f553935?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Millions de mélos,6auT2w7r8Mc1Kj95fvbG6N,Bramsito,1WDkNp8Duv9QhO246S4dDa,Millions de mélos,7aKjr0iBeAA881jOqOcRJr,58,not available
48,Vovo,1iCWmfwAWfiBI4I9G84gxn,Naps,6W5uA6CNMf3hd2j4a2XWCx,On est fait pour ça,05M0l52jVcX2GWwPzI41V1,63,https://p.scdn.co/mp3-preview/012a304ab4ee11f0fa5d7502dd58e96973f016b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Espérance,41khJYouW5ZuLiVzPFuljd,Soolking,0GgY7hjMoGDsX8ZDe2mwds,Espérance,6vgCZ0YSSPcHHSP9rGAAtS,66,not available
50,Jazz,2cJb7E0M81nAKl4tkZS3v9,Eva,5nH2klYTzn8CNvUv1GOGQO,Queen,2rZ7prJfPaDIwP4EVj4yqi,68,not available
