Nouveautés Electro,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,90096,spotify_france
1,Thing For You - Agoria Remix,6HfXjo6wXM0dLuvK4IkCYp,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Thing For You (Agoria Remix),47bjrWSpdAWmJ4ZaCFBtYI,62,https://p.scdn.co/mp3-preview/a3dc4c539b982627aae740268b13c93c88d353be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Lose Control,7CHi4DtfK4heMlQaudCuHK,MEDUZA,0xRXCcSX89eobfrshSVdyu,Lose Control,1qSOaTvsCOyFJya3v1UzkP,67,not available
3,Turn Me On (feat. Vula),0qaWEvPkts34WF68r8Dzx9,Riton,7i9j813KFoSBMldGqlh2Z1,Turn Me On (feat. Vula),7mtnp7B5yFt3D3PAznGzc8,76,https://p.scdn.co/mp3-preview/63d5112b08ac694625f73e0ff40b1621a86e7b02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Perfect (feat. Haris),30cW9fD87IgbYFl8o0lUze,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,Perfect (feat. Haris),3hOyUjdcI6wGuhk52tuH4g,54,https://p.scdn.co/mp3-preview/9ee78c41bd4d406e52233ca477050464b42c2abd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Weekend,0y7I9HOzO9rY2KAIBZZI3S,David Puentez,4gSsv9FQDyXx0GUkZYha7v,ADE Sampler 2019,5ZiSQVlfLzXWiKiBZ5xyWK,23,https://p.scdn.co/mp3-preview/7ed0e3848a1dc32ff86425c53c86693f7e40ecfa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sad (feat. Afrojack),4ESPuOrSsRcBISzcMlzmY5,Chico Rose,5OdVywqKqyCWwfE2fZb7IX,Sad (feat. Afrojack),3iyLP2ce8hthgd4ygzLRJD,71,https://p.scdn.co/mp3-preview/0662422298035259dfbbaf11957591bad8a4a3bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Killed By The City,4i5IUKZht1OTaBGm8zwhzB,Bhaskar,6kT18gnkVrCz8xJQcrib7L,Killed By The City,0fhuw1u22igt3GCU9QJ54n,48,https://p.scdn.co/mp3-preview/8f9d3e8f52e87b222763fa29efed478800be60ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Sober,3CuyYl4hIBJh5sX4f48GNY,SebastiAn,5tOWIviwLM1EIqGAbF8VSU,Sober,0MDMCakjY8QB6aGqbmbtVw,50,https://p.scdn.co/mp3-preview/ad1631db2070208d058897a874cfc6edb93baa4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,KNAS - BROHUG Remix,0PJ4RVL5wCeHDO8wHpk3YG,Steve Angello,4FqPRilb0Ja0TKG3RS3y4s,KNAS (BROHUG Remix),4G4BYaen6CzVkKw16JKLPv,56,https://p.scdn.co/mp3-preview/e5dc3ad900d1d5bfef75338c5d90bb4f1c3c807e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Recognize (feat. Majid Jordan) - Mercer Remix,366EdrGaHsiq1JLEr9UUiJ,DJ Snake,540vIaP2JwjQb9dm3aArA4,Recognize (feat. Majid Jordan) [Mercer Remix],4yAElr6AmHVYHOgC3c0sKk,67,not available
11,Post Malone (feat. RANI) - VIZE Remix,3mruwwpKfG5NYmnEr6O5Dw,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Post Malone (feat. RANI) [VIZE Remix],2idnYaYkAG2xDus7xk1yNZ,63,https://p.scdn.co/mp3-preview/7497adcf172d080d90aaa8bcbe949c53d5d4103a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Drop It,6BwN05qKw4Q8bNoq3rYuz7,Tujamo,2vVNxGBvKRQMWwI5c8KmYh,Drop It,50BqATA6XSJtAsXQpsHRIi,66,https://p.scdn.co/mp3-preview/c5bc39a566d10e074a992878647e7b1dcbda52c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Lucky Star,3z2wLXSa03K4UD6ytjraOJ,Faul & Wad Ad,6HUm6AHJE0oisACMN6NNJ5,Lucky Star,47UJpYuze0b43FsMvXNrlP,40,not available
14,Monster - Robin Schulz Remix,4tknhO5RmXIxnpoipMKBmG,LUM!X,0TKFPt9w0AAEnhB9bd0pLy,Monster (Robin Schulz Remix),67PtnkGcMlHCa1RcYSzleO,71,https://p.scdn.co/mp3-preview/c4477416c098d00469bb05f5ec9011e39a1d1eb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Tell Me A Lie,4ccYRZ7WptUbPD3RZ0BhvP,Jonas Aden,1qq5e02CcWNFqZMbmdrIcj,Tell Me A Lie,02NfjCu6aYB6k14uNchflD,53,https://p.scdn.co/mp3-preview/35e19feb851d31da21f44a5b4fadb93a1f9f4450?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Baianá - Jack Back Remix,69yJsOLPFJXRoBkJxrsDRJ,Barbatuques,5xnMjuPp1eDXa8du0SKIHD,Baianá (Jack Back Remix),1dKPOW4dPo3mc7cKHSSoSx,43,https://p.scdn.co/mp3-preview/d046dab07dae1858de26af9a577d9942edfb4d2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Jump,7yEM9hYRsw9R3pJB5W0gxb,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Jump,1y8yeYpcaqJB0DWN9KWUlb,68,https://p.scdn.co/mp3-preview/702b54763fd2a3c7d429ed3b2d626bb69a0f9492?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Send It,2GXOmuU3kApsq2TWqOU5Bm,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,Send It,3oTfO9OJOKCKEzDSVhUMml,65,https://p.scdn.co/mp3-preview/1060f4854ab4868e68dd5ff6fda776a4f9ea6278?cid=fa83a2fec7c440b7a2795d600d6b2c7e
