Génération 90,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,38965,spotify_france
1,La tribu de Dana,5YSngr1gWANU5wMQXZbAtq,Manau,6k68jYvlUy3CXOwhG1NDBL,Panique Celtique,2Gf31O8N00kK0VLCI0qsbF,5,not available
2,Tu m'oublieras,616O2jmafiModH0RgonGqf,Larusso,07sMHU0vu01xrz1gnNrNry,simplement,5BXw5K0WzAncb6uMnCrnyW,52,https://p.scdn.co/mp3-preview/d2df61406828e9aedf3645672b732aa077502ace?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Maldon,5U6UvgnBRnvDG5nYt3hNxA,Zouk Machine,7g4xlENR9dJm09i7ADhi21,Les Hits du Zouk,5Tlxo93oDOv5yUl8XG6n6A,4,not available
4,Fruit de la passion,00OLWG5EbtZUGmkGjBUK7G,Francky Vincent,2f1sCYchPgMRLazyu8XG2h,Mon Fest'Of,5ZCpfv1jVeuWizrmZcYVh0,9,not available
5,Ya Rayah,1wJNH6cko8Whrp2zMnpKML,Rachid Taha,2URqJkDiySO0FRiAUq75FV,Rachid Taha,1BNjRYSgzmgduvizOKtfvT,51,not available
6,Tomber la chemise,1oYBDCV6FgdaP4cH0K1d0r,Zebda,0eOdRJIL6L8AInJLre2uIP,Essence Ordinaire,194N0QfvQdmsZi4eoIMuLw,4,not available
7,Le lion est mort ce soir,0hUMKXGkWnvv7VP25otgMM,Pow Wow,3dUQY50ORRByIgHFZHrxJZ,Regagner Les Plaines,0fVZHjs0eok4mX37u85MlN,49,not available
8,Aicha - Version Mixte,0cYX51Hneb8qIOx0tHm7ng,Khaled,28ztjHIXceRRntmTUfnmUX,Sahra,2Ul6M5sIJdZjKVxwgDG7dC,57,not available
9,Angela,76a47vlZKvdJeotrpMYuvQ,Saian Supa Crew,6XaUaXu0cGAFK1AlQkl1b6,Klr,3mGbYjpwZAseVYLmQakxcL,53,https://p.scdn.co/mp3-preview/756117d544acf9ea38af6535399caddf3262ea29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Pour que tu m'aimes encore,6qlpXtA29VcxCNgLWR5IWx,Céline Dion,4S9EykWXhStSc15wEx8QFK,D'Eux,0DdTKXdgMLcSqccdyj6D9p,63,https://p.scdn.co/mp3-preview/ae6187a5d1938e21672aff9c029ad5c3ac15c92f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Le jerk,5aRh9MryKg4B8NC1X6DvF1,Thierry Hazard,21h26EWdy9snENqbeAZorA,Le jerk,1cyqbFP9Qvv6qqNC7Hxlwe,46,https://p.scdn.co/mp3-preview/1756bedef456ab99fb9c79d604b3ec304bdf3b6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
