Maximum,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,288360,spotify_france
1,Recognize (feat. Majid Jordan) - Mercer Remix,366EdrGaHsiq1JLEr9UUiJ,DJ Snake,540vIaP2JwjQb9dm3aArA4,Recognize (feat. Majid Jordan) [Mercer Remix],4yAElr6AmHVYHOgC3c0sKk,67,not available
2,Baianá,7MUazB4rGIqFFIkjT95rCO,Bakermat,3MyFDtqB80WZvbtCZRsekM,Baianá,7ImQIxwDqi9OKS93QMsKQN,75,https://p.scdn.co/mp3-preview/4753a081cba26c93a9972e1d912755b0c7d3178f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,91,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Piece Of Your Heart - Alok Remix,6iW38RGqdDGOofmz2HeXLW,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart (Alok Remix),6RlifxGX8F3IijsJXkTIlq,79,not available
5,You Little Beauty,1gRQxbfL4ULWyTosgXSbWT,FISHER,1VJ0briNOlXRtJUAzoUJdt,You Little Beauty,1voOnpa4pILlDPVsrIFl8b,75,not available
6,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,5Shjuje8PRcX7ueEVajrLH,DJ Snake,540vIaP2JwjQb9dm3aArA4,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],4shNfMW19y4WnkuhCHum19,64,not available
7,Monster - Robin Schulz Remix,4tknhO5RmXIxnpoipMKBmG,LUM!X,0TKFPt9w0AAEnhB9bd0pLy,Monster (Robin Schulz Remix),67PtnkGcMlHCa1RcYSzleO,71,https://p.scdn.co/mp3-preview/c4477416c098d00469bb05f5ec9011e39a1d1eb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Why Can't You See,4kyrRm0GmJbg16CEGEHXUK,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,Why Can't You See,0bteBucqMhR3EvyBV8ddHh,55,https://p.scdn.co/mp3-preview/2e284eee4b4b6b0d5f88eb56c8a1eaf8970263ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Candy On The Dancefloor,41RSRxdVqnSWlL9Glx95fG,Tujamo,2vVNxGBvKRQMWwI5c8KmYh,Candy On The Dancefloor,4aKSciNw4kZGWZVGHKmMEO,63,https://p.scdn.co/mp3-preview/72b605c541b151d1188f12a0fe182b53939dd3d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
