Classiques du Rap US,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,254812,spotify_france
1,Party We Will Throw Now!,0KbIwqCAHmXWu7hrszXY6j,Warren G,2B4ZHz4QDWJTXPFPgO5peE,Party We Will Throw Now! - Single,0bTkYfBstiSW4maInjgqVi,66,https://p.scdn.co/mp3-preview/bb38134a2706fbb450edbfde0dc92f604315d4c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Still D.R.E.,6ltPEsP4edATzvinHOzvk2,Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,2001 (Explicit Version),5csXMdS69VOvh8MjyfwkjB,19,not available
3,I Got 5 On It,7vfvZp6KZJpxiaW6rI9ieM,Luniz,3z3g65U7mmyyBmmDfsQK9x,Yukmouth Presents: 420,14V70hXPeg6dtP5YxkRMeE,62,https://p.scdn.co/mp3-preview/fdd16bcab5141bb72f3085dfa4e1a284a884adf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,P.I.M.P.,3G0yz3DZn3lfraledmBCT0,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Get Rich Or Die Tryin',5G5rgQHzdQnw32SI0WjIo5,74,not available
5,Bad Boy for Life,2eOuL8KesslTLQERQPu11D,Diddy,59wfkuBoNyhDMQGCljbUbA,The Saga Continues...,28BrFxsnBMjN689hOuf1jv,66,https://p.scdn.co/mp3-preview/2ea53992ae2baea5905296c6e42174fabccfc176?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Gangsta's Paradise (feat. L.V.),3u9fHuAtjMY1RW2mZfO4Cf,Coolio,3y24n3XhZ96wgwRXjvS17T,Gangsta's Paradise (US Release),3gj5MfnW3Oud8Ji1n7Tops,20,not available
7,"Nuthin' But A ""G"" Thang",5QweA9yLsFBsBtCYJNQ24w,Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,Straight Outta Compton (Music From The Motion Picture),1rMnLDmzyEBRiCj7yoGK2n,4,not available
8,What's Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,Jealous Ones Still Envy (J.O.S.E),6vMgb2mih3pPiWUxF8VEdI,74,https://p.scdn.co/mp3-preview/1ab4e265221ece1b9a6ba722d1430bd070825221?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Candy Shop,0h5m65o5KnMFB4Gq47mbKt,50 Cent,3q7HBObVc0L8jNeTe5Gofh,The Massacre (Ecopac Reissue Explicit),6djlUHJRvmKU4TpgOAhmRA,8,not available
10,Affirmative Action,2Ja3UauMDeQnq4sI8a64Ys,Nas,20qISvAhX20dpIbOOzGK3q,It Was Written,78Fgb88MY0ECc4GVMejqTg,56,https://p.scdn.co/mp3-preview/d8707478c915196a387b08a58e5c330651499c69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Break Ya Neck,0svl7cK07gK1ia5ainczU5,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,Genesis,1FH8ruELaU1kthrFvdcSmt,71,https://p.scdn.co/mp3-preview/800554e3fb6c92da9e142f681fb65f7dd46a855a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Area Codes,1KLtkmQnN9pMgP6T4FdWk5,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,Word Of Mouf,5UWPoHzVFzdWpXHx1Oc9dK,5,not available
13,Da Rockwilder,3SZ6wolreMbwvYbplXvt9M,Method Man,4VmEWwd8y9MCLwexFMdpwt,Best Of,6D1g147osjbvbKgHyebpeI,2,not available
14,In Da Club,7iL6o9tox1zgHpKUfh9vuC,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Get Rich Or Die Tryin',5G5rgQHzdQnw32SI0WjIo5,77,not available
15,X,16LnNR25rqcvQVNv5UEQ7g,Xzibit,4tujQJicOnuZRLiBFdp3Ou,The Greatest,1dxyoIAlE2NS77K3nzei6Y,62,https://p.scdn.co/mp3-preview/0adcf32aeef06df78d5e4400154dd91fb4f8d015?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Rapper's Delight,51H9vbUYd7aaa3vpdjFluC,The Sugarhill Gang,7zliF6Q946WznVk3ZMYhZX,The Best of Grandmaster Flash & Sugar Hill,7nOeJKOzO6f2Ui8FGvGiCc,3,not available
17,The Next Episode,20LxTsa6936zOlzTWqoPVt,Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,2001 (Explicit Version),5csXMdS69VOvh8MjyfwkjB,20,not available
18,A Milli,3uqinR4FCjLv28bkrTdNX5,Lil Wayne,55Aa2cqylxrFIXC767Z865,Tha Carter III,1Do3y8IAcbYOToYQJnGwSO,57,not available
19,Hate It Or Love It,60WcXjimfbhk6T0gj1Eufg,The Game,0NbfKEOTQCcwd6o7wSDOHI,The Documentary,0d0QL1mV66wpb9cBvCSF0G,13,not available
20,Black and Yellow,18QmsgC86DW2MSBV4zlucP,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Rolling Papers,7IG0Oqdhl819Dn3d1YVP8N,52,https://p.scdn.co/mp3-preview/743b231f046440a6076fef4bb670f133d05651fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,OutKast,1G9G7WwrXka3Z1r7aIDjI7,Stankonia,2tm3Ht61kqqRZtIYsBjxEj,78,https://p.scdn.co/mp3-preview/36ade9974fa85079e996dd9aca93af62c4e88711?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Changes,3Wyc7M8twhxeyaC51BcQYb,2Pac,1ZwdS5xdxEREPySFridCfh,2Pac Greatest Hits (Explicit Version),6KwC7GaK6R7Uphby8bnmqk,12,not available
23,Lollipop,5jnxxpX2834SB6LJ0S73Uz,Lil Wayne,55Aa2cqylxrFIXC767Z865,Tha Carter III,1Do3y8IAcbYOToYQJnGwSO,61,not available
24,People Everyday,5thts3213xwSroRd11fv5A,Arrested Development,5Va9LuEmaZxnbk1gMnjMD7,Greatest Hits,4KqorQ6C7yDXvqgfgGrnvm,59,not available
25,You Ain't a Killer,14Ai4sTxWbQpNymhpQKuES,Big Pun,2Xu7q46Hf02xOoEIm4E1Qs,Capital Punishment (Explicit Version),3IIHk2ZLXKWuVAjCbQ9g4Y,57,https://p.scdn.co/mp3-preview/c2947366a2f4f7e9002a4a0bf1df0c0f337043f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Stronger,4y6c5vMzKKM3KsMbHtjKx5,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Graduation (UK Version),0EXLFY4NFNx4FlpAlFO7ly,22,not available
27,California Love - Original Version,3djNBlI7xOggg7pnsOLaNm,2Pac,1ZwdS5xdxEREPySFridCfh,The Best of 2Pac - Pt. 1: Thug,4Y9ISbppFbwk0r1XCLUi0I,68,not available
28,Worst Comes To Worst - Edited,7aSnPAggMMgElb6BgXeSEw,Dilated Peoples,56OMwqr8qaLIRH4ZrvvdXq,Expansion Team,2cjb94ReCIDfak2sqzEcoB,56,not available
29,The Real Slim Shady,7KccdUP4IslFXUNNseqBc7,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Marshall Mathers LP,5xifZlByZcZecgkP7sYSoW,11,not available
30,Doo Wop (That Thing),2Uu8IiLkLY0UXhCHka4Dlr,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,2Uc0HAF0Cj0LAgyzYZX5e3,19,not available
31,Hard Knock Life (The Ghetto Anthem),04wE70zoYM5Pckgw36dWBq,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Vol. 2 Hard Knock Life,0DbcIbqkdiUSJhL1K7neAv,5,not available
32,Mo Money Mo Problems,5JUcGqo5BF2Hw6qqVoGBcN,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Life After Death (Explicit Version),0r8l3aDR2okS3AZ0OekTVs,3,not available
33,The Message,1J2tfINpEHRhCP8CUS15lE,Grandmaster Flash & The Furious Five,5hQCwevTf03u1rECrRMeop,The Message - EP,27nbxiTBXjPktVWud25VlD,51,https://p.scdn.co/mp3-preview/bf61da2bd90075ad6d91d9175e29e57a732057d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Get Ur Freak On,6zsk6uF3MxfIeHPlubKBvR,Missy Elliott,2wIVse2owClT7go1WT98tk,Miss E...So Addictive,20t54K6C80QQH7vbcpfJcP,73,https://p.scdn.co/mp3-preview/377a872a710350a8aa969597d4a5a9979fa37d54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Regulate,5EEOjaJyWvfMglmEwf9bG3,Warren G,2B4ZHz4QDWJTXPFPgO5peE,Regulate G Funk (Enhanced Reissue),5Gs0hhZRYlR3kouHqFsrkV,53,not available
36,Gold Digger,5XJJdNPkwmbUwE79gv0NxK,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Late Registration,4GRDFQ9HRoO0by8H0r2a3I,18,not available
