Génération 2000,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,75899,spotify_france
1,Femme Like U - Radio Edit,10lijBYvQh0gbkX2e3BnLR,K.Maro,1a2yfRvULXWkUSvxJbkw75,La Good Life,21QoWK9spLjFlmMkliwDna,9,not available
2,Bouger bouger,2qLECr1Z9a9IMoAGAUbHQI,Magic System,6MvRVq0CtpQQlwnIiszV8F,Cessa kié la vérité,3lzvOKQWZqnW6qSPmlmaJL,44,https://p.scdn.co/mp3-preview/0d73217becd1d166acc1b06c4167301fc137b3c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Liberta,3QutrqACpwGWzywF3FVZsQ,Pep's,6dvyAgidTbcn9vJO1eWQ6y,Utopies Dans Le Décor,1fOao2GZ24fIO9qJ8Mo3y8,2,not available
4,Tout Le Bonheur Du Monde,2l1ovp6orGRxysHpzhU7lu,Sinsémilia,7xtiaP8V8z95pASVuIrCRY,Debout Les Yeux Ouverts,5YR52hInBgTZFOBNQYIA9Y,3,not available
5,Lady Mélody,4LWVPTpGzQjKtwYmmx7Hbd,Tom Frager,1N9Xy6x2jTaxMU75aFshoq,Better Days,4YFkUluvUeyvsj20kYXeR1,50,https://p.scdn.co/mp3-preview/f231f8827d4ef40fec9de477ea7dd2a7c8498ebc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Et c'est parti...,1zwJikF2MYUwqcVnqtGxVj,Nâdiya,51Ynjynt1xi7KBXCXHNdyN,16/9,53CZGpxCw6x0Ug2CYBAp4n,48,https://p.scdn.co/mp3-preview/af87035b891198d29945be6f926f6e27824d8782?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Désolé pour hier soir,0uZ9o055Egu7mpuEpTguB3,Tryo,4ZP3CHz28XWVLGiaVVWuLj,Grain De Sable,0ZmajheM7FrPYN91in6aIh,4,not available
8,La lettre,48zk9oD260EramgTTcsHh6,Renan Luce,7f2jQ928ZRehCJrGGHN46J,Repenti,4wmdDAMq8NaDjS3yFWX4FV,6,not available
9,Double je - Remix,1EDQN7WMV9En0OhQuLBO6P,Christophe Willem,0wb3S587JG0riRtdPA6PQD,Inventaire,0u5Y7yUXTvK0yT6WektGVL,54,https://p.scdn.co/mp3-preview/ea22ecc8cb7df7114bde5773941b9111c70acd0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,La Boulette (Génération nan nan),1Vf09Cxf2jqSkU6sfueYAq,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,62,https://p.scdn.co/mp3-preview/4a9d523b5cdc9e128f88b7aebf974cefd04f39c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Je Fais De Toi Mon Essentiel,5OjDTNdv2lM4e3WOb7OqEU,Emmanuel Moire,5YIaZ0ICxZyNEsATQRsxRk,Le Roi Soleil (Intégrale Collector),4WOweN4lmGWZDyNcBC6cLw,52,not available
12,Dernière danse,7mNErWes3YegbRLgZuILl5,Kyo,5ylOD196qui8JgXBrQUzok,Le chemin,1ZDeD4gGI757lBlOAkmJ2i,60,https://p.scdn.co/mp3-preview/f911f1e6f5e545e9c937d258e94dbbfcbe420ac3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Il avait les mots,2GHprNPynt33XoCHfEDKxD,Sheryfa Luna,5BPQfQJaq5Hx0636gwk4uA,Sheryfa Luna,1s0BomZpgzyfAjQESNcMTA,5,not available
14,Moi... Lolita,6e0LjNPkRqxIAlmmdjWSV8,Alizée,53deL58uye6fCqRK4COtR4,Gourmandises,27GazU6l1uTiP8WW4sw5vy,59,https://p.scdn.co/mp3-preview/2939a5175426dcfe7aaacdb609c3c70a6cc0d238?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Ma philosophie,1HOtCYTuOCISpTn9cW6fcz,Amel Bent,15jZ8OLtnGATWHlQkltG7f,Un Jour D'été,6MFXFliONetu0nByEb7d4w,60,https://p.scdn.co/mp3-preview/6999c99d4ce5eee7e16946913c34a481a3089421?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Face à la mer,4nz1v2ghmGRo3RTZKxaC3P,Calogero,5Nq9MbzweBc5oL4WzsECx4,Calog3ro,1TfzspRmvBkDuIPZEG4ZdF,58,not available
17,Écris l'histoire,3Xe79wp6HybNMb20yumNxK,Grégory Lemarchal,22HwnF4wTRtOqq6eWw18BX,Je Deviens Moi,6N1vuiae74sfjPUN5RGWEc,2,not available
18,Manhattan-Kaboul,6lvkgqpLRNlF0Re01WX8dZ,Renaud,15uNxh8omvRvH71kcdIe2r,Boucan d'enfer,1XAIYKVNzrlRmt55yytwiD,10,not available
19,Toi + Moi,5KCCzP4xKWoWN6k6iVCYQM,Grégoire,1WycOcJCIRAH5xyzHXtp1E,Toi + Moi,2ZxIpsfgIZDByVBjdJK8Rz,3,not available
20,On s'attache,4E8hgGDOwG5CpiEke6qZMT,Christophe Maé,7jgnJBnpZTiGnCF2Wvka2Z,Mon paradis,6rpAch0Mi47JkOmyie7rxK,56,https://p.scdn.co/mp3-preview/de61a46e5f2b89467dda6dae472c1fd6691473ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Au soleil,3J7L4214bjQfnry4dKjZZt,Jenifer,7p0bICJNx2HM4jS28qexvv,Jenifer,73RETPwGf1IsowLIA7yfJD,52,not available
22,J'ai demandé à la lune,2QSAj76Ba6aMFX9RlXdUdO,Indochine,7knmbOGe07k85GmK50vACB,Paradize,0YiSd3JeGUX4VIO8Po9TD4,61,https://p.scdn.co/mp3-preview/3088db8a1ef51aeb64e83a81457ae7ad3a81b4f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Butterfly,7bZknZ9h1Gnv1dEpiyAvso,Superbus,3Hog7RVQ1lAv1crdfiJPLq,Wow,1Ihd1Ym29lWWA0XYAXpJMt,52,not available
24,Allumer le feu,1T5Q8MLqpSoiuQDvZ2ygkg,Johnny Hallyday,2HALYSe657tNJ1iKVXP2xA,70eme Anniversaire,3DhqKZkYpaJA3LnAgzRvuq,49,not available
25,Toutes les femmes de ta vie,3PkVPI5Qj87BCyNBUQ2pJB,L5,5riPm9K3FssJpYLJnDGzOn,L5,1tO5kLF2GXzBdoJTNJEKut,53,not available
