Culture Tubes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,146067,spotify_france
1,À nos souvenirs,07hD8enBYY6mo2Mkyo8A8V,Trois Cafés Gourmands,4wngxtsP87ozrQh05D90dO,À nos souvenirs,1IpnowHKSS99SHLZeNxkEd,10,not available
2,Je te le donne (en duo avec Slimane),65pESQl4TsXsNlsurqhSYJ,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,Just Me Myself & moi-même,3E0tT874y5wNFoH7vSuYpT,57,https://p.scdn.co/mp3-preview/922eddde51165ff0e58028c67e4fcfdf683575ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,La même,7D9rSbEPwhcwNXqSOohlNO,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,La même,5AgZ7a91lJg3nBCHGhSEjz,59,https://p.scdn.co/mp3-preview/6fbad32e477db580a4fdaa6fc5280dd733288469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,La grenade,7ixCRBD0FZMRBeOBhTu2KD,Clara Luciani,2oVrruuEI0Dr2I4NvLtQS0,Sainte Victoire,4oOotUMoznVTdGWzdUoEuy,65,not available
5,Allez reste (feat. Vianney),1QjKfNGfDuMiVuF8x7cj0R,Boulevard des Airs,6px2zTzjQAPLkuea5qQ2Gx,Je me dis que toi aussi,4XhhZdOOMpvrvSVckfOUEq,67,https://p.scdn.co/mp3-preview/079e58931bb21c76ca28b6c73c41af2e3bfd3284?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Balance ton quoi,2jX5c5RFp0A9E1GDsvGxIa,Angèle,3QVolfxko2UyCOtexhVTli,Brol,6KSvWFf4g4PrIldtchJsTC,74,not available
7,Dommage,4BEWiTPV0v87mBryf7gdxK,Bigflo & Oli,5mmEMfYChd6MImBagU7zCs,La vraie vie (Deluxe),3iTiNTUw39tyag6Ip8rnbM,62,not available
8,Viens on s’aime,1KSFqVqZm5QQXr9FLsppSL,Slimane,4OV6uYSnHxSYkjDYuBVBUz,Solune,1aiz7KLiuWW32LuxQGsYm1,59,not available
9,Roule,4aie3id34NbdlJEaWNlKyZ,Soprano,2RJBv9wXbW6m539q9NOfW1,L'Everest (Deluxe Edition),7sNP8kJJr8Ji1wc4eA9HHr,60,https://p.scdn.co/mp3-preview/c188d76dea0056278420d96f40c47e14d3bc974b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ta marinière,13bGMVe4lIR3LO7b45hvyg,Hoshi,7mPT6wrOjVC4visft9qpYQ,Il suffit d'y croire (Version deluxe),2lTxZMN8XXpkRrLjXtCEYI,60,https://p.scdn.co/mp3-preview/9b20a52b84c0f1501d8cce521d15e967e531f353?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Djadja,7sKDftgGirHWTVFMtJoDoh,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,3jqQFIXUakuDXdhFVvI7Ko,80,https://p.scdn.co/mp3-preview/04b10397e351b84f05856e92054743c3ac800092?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Tiago,7gRM4T9YnWWU4KWZ9IFCuw,Kendji Girac,4IS4EyXNmiI2w5SRCjMtEF,Tiago,6bUICiJzQllwJk6ZNceOFC,6,not available
13,Tout oublier,06O3hxudc6V0BOuoCFSy71,Angèle,3QVolfxko2UyCOtexhVTli,Brol,6KSvWFf4g4PrIldtchJsTC,71,not available
14,Hit Sale (feat. Roméo Elvis),3yndKI4zWEyC36BQYrdKBA,Therapie TAXI,5MynxBz4ZMqvUzpcxTZl4C,Hit Sale,1j4pZyBTGUSvp3e5loBgez,67,https://p.scdn.co/mp3-preview/d8a0f59d3ea2bc7fbede12123d66a7559c2e1c8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
