Pop Collection,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,122736,spotify_france
1,Diamonds,1mwt9hzaH7idmC5UCoOUkz,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Diamonds,5iwuX6Bx05LHz7cEZex92F,14,not available
2,I Took A Pill In Ibiza - Seeb Remix,0vbtURX4qv1l7besfwmnD8,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,"At Night, Alone.",6Phl1V5P0sPrWJytXHGFeO,78,not available
3,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Don't Let Me Down,2SByipSK8eZ2pasaIwwzhf,81,https://p.scdn.co/mp3-preview/4f410d4293b502e25df3e782c443d1745382c3da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,6D5pfooPP6hi99RaXjkDsP,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),3GljjAP9QIKRQXeKoXHRnH,14,not available
5,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,G-Eazy,02kJSzxNuaWGqwubyUba0Z,When It's Dark Out,09Q3WwGYsQe5ognkvVkmCu,78,https://p.scdn.co/mp3-preview/8da61536b7f8b1aacadd1adbdc13570f9f35ffd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,No Lie,3cFsmM51N5zMAuu1nNY4Tw,Sean Paul,3Isy6kedDrgPYoTS1dazA9,No Lie,0ReJx3ifOevdUt2fXXvgDG,17,not available
7,Light It Up (feat. Nyla & Fuse ODG) - Remix,2CUc1fJWIIAoYNHCrhfvMs,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Peace Is The Mission: Extended,1TQ6jCaYd5Brp5fRKEkjLI,7,not available
8,Poker Face,1QV6tiMFM6fSOKOGLMHYYg,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Fame,1qwlxZTNLe1jq3b0iidlue,76,not available
9,Chandelier,4VrWlk8IQxevMvERoX08iC,Sia,5WUlDfRSoLAfcVSX1WnrxN,1000 Forms Of Fear,3xFSl9lIRaYXIYkIn3OIl9,80,https://p.scdn.co/mp3-preview/f1898cf5fd5640d4f0d7faafa6c572fc29db3db6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sunset Lover,0hNduWmlWmEmuwEFcYvRu1,Petit Biscuit,6gK1Uct5FEdaUWRWpU4Cl2,Sunset Lover,4Ky2PpWb26OxNabAMffyBw,80,https://p.scdn.co/mp3-preview/548545f6df276b92cafd8a29996021ae40e73d1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Dangerous (feat. Sam Martin),7pqgMEKsDMOHUdFQ7n0N9K,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Listen,77UW17CZFyCaRLHdHeofZu,66,https://p.scdn.co/mp3-preview/65b2fa20f1dfb47be52bece6a774f74782fc2b5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,All of Me,3U4isOIWM3VvDubwSI3y7a,John Legend,5y2Xq6xcjJb2jVM54GHK3t,Love In The Future (Expanded Edition),4OTAx9un4e6NfoHuVRiOrC,86,https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,The Time (Dirty Bit),7vWFaMq63AwkFDhS2OAg5u,The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,The Beginning (Deluxe),0BkpKcHw606at6Y2cp8kdE,69,not available
