Victoires de la Musique 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,16385,spotify_france
1,Tout oublier,06O3hxudc6V0BOuoCFSy71,Angèle,3QVolfxko2UyCOtexhVTli,Brol,6KSvWFf4g4PrIldtchJsTC,71,not available
2,Je me dis que toi aussi,2y3rs8IJvHngaj6Gi8dR2Z,Boulevard des Airs,6px2zTzjQAPLkuea5qQ2Gx,Je me dis que toi aussi,4XhhZdOOMpvrvSVckfOUEq,56,https://p.scdn.co/mp3-preview/78062e6e92be82e6ce93ccb31f0cbe9803471f79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Plus tard,6KXZwMCjsRzhkJ3ccnYUJ8,Bigflo & Oli,5mmEMfYChd6MImBagU7zCs,La vie de rêve,5y3uJxz1Xkw27jNyPP7SaL,31,not available
4,Radiate,6GiKainz4Uppq7diGEtctO,Jeanne Added,5TEGxYftTkeKmLXkZjHNUE,Radiate,4SdrMDmAcOBAi1goyDHxO2,50,https://p.scdn.co/mp3-preview/6509238b1160cd74f61acef817ca7b49eaa2261c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Rêves bizarres (feat. Damso),7lhuM9WUqdThw72dCBRmQW,Orelsan,4FpJcNgOvIpSBeJgRg3OfN,La fête est finie - EPILOGUE,5nyLaTsztHW8mI1KAWeGkS,67,https://p.scdn.co/mp3-preview/8ca70b6d5869fd1edd139eb63ed0a38c55aa0a20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,La grenade,7ixCRBD0FZMRBeOBhTu2KD,Clara Luciani,2oVrruuEI0Dr2I4NvLtQS0,Sainte Victoire,4oOotUMoznVTdGWzdUoEuy,65,not available
7,Feu de bois,4L0Iwsk1s8cbdBcEgdm8K5,Damso,2UwqpfQtNuhBwviIC0f2ie,Lithopédion,7JJ1Zqwc0m0cDyXXodXCqb,68,not available
8,Dhaouw,6c0ulovlkt6xDftoxChG3D,Camélia Jordana,2XkCa3HcntokIgOP5N3QO7,LOST,6eJhNyUqbMJS2Jw60jrzKS,0,not available
9,Immortels,64XJOksESduPbepHxmW2rT,Alain Bashung,6y1aZyP40077De3neGJD2b,En amont,3zr5AVUYkVkezcHSqBfrxH,51,not available
