Fresh Rap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,551457,spotify_france
1,Popopop,18HNGxDOcshRU2Hdu8tMOM,Gambi,1lB3I3SI30v2ZOpR4XQqzJ,Popopop,0JJoNDGjK0N0SolzcDQpbX,82,https://p.scdn.co/mp3-preview/fd0de14a046c156f66810907299a0476f5b568c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dernier retrait,1xxKUciQUXkH72PPilWy7K,Vald,3CnCGFxXbOA8bAK54jR8js,Ce monde est cruel,3o9pq1vFESK6532MR63Xwy,69,not available
3,Dans la ville,6OsqTyesS9pc7pYPCFhlmv,DTF,37ioGUZGhKk7VjWIocx8kM,On ira où ?,3fUfQjOcEGe7vvnPA29GBh,65,https://p.scdn.co/mp3-preview/671eb7c382cbb973c2807b084245f4b330000815?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Rari,3jUqLa1ed5K25iZuO5TQMT,Gradur,2tcoLkA9Hexz70Kuc1NTUl,Rari,3PZlbMaWPBsr0kLsfYuMa9,71,not available
5,Roulette russe 6.5,7HC7gJaJ0eOPNJQH4XZ1uI,Sadek,63MCBZRiUdnqRsAOJwijiB,Roulette russe 6.5,56gM3SFgS5wDL8uB6WwmGA,53,https://p.scdn.co/mp3-preview/792ea6911080985b3bc54d67c0047bb541c56558?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,SOLITERRIEN,7qj2pdwGVmN7E26nMVFeMq,Ikaz Boi,1h0vYLWMAElSWYCjm6RBpe,BRUTAL 2,0Z8bCHPXxxukmYWFFfsXFs,70,https://p.scdn.co/mp3-preview/1904b9b385f3d09cd519867f385b2e82d2faa3d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Stupéfiant (feat. Maes),3PlTbqRFK8xmkCzJWrF3XF,Niro,1wAtSe79kItIb9nf5EhI2Q,Stupéfiant : Chapitre 2,2ioB3iCt2fL2gyKrjSQ6yu,59,https://p.scdn.co/mp3-preview/37eecb28a57bf795e15de794ac78ec4c92a737d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Bad Boy,6IbOaypphyxm40ZkmfBoY3,Landy,2EFpb61Lpi0l5ldOiqbZkK,Bad Boy,5zWq8T1FB8Ifda5iIZeSuV,65,https://p.scdn.co/mp3-preview/57f85028c872d0686628540263de735c3e268140?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Banco,7zKRgQyZXtZRLK6b1o6fR3,Gringe,4oVERQ0AxzzQ4zip1nMKlt,Banco,10AZVuBh5qdibh6Uq0LuED,48,https://p.scdn.co/mp3-preview/0ff9cce5bac9be5d154ec6ab853195854dcf5a3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
