Hits du Moment,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1513359,spotify_france
1,Dance Monkey,3HCfLj84q3qXdArLlA1dV5,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,797fOEI7XtMW8HMfL0OFbp,79,not available
2,Baianá,7MUazB4rGIqFFIkjT95rCO,Bakermat,3MyFDtqB80WZvbtCZRsekM,Baianá,7ImQIxwDqi9OKS93QMsKQN,75,https://p.scdn.co/mp3-preview/4753a081cba26c93a9972e1d912755b0c7d3178f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Never Go Back,2QrXzOqLCVDRZHkToA0tSR,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Never Go Back,5EqITahBSjWcU71mbhFPEf,79,https://p.scdn.co/mp3-preview/8be423f626de817d5e5898deb6f2f90fce899f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,38kpkGLuPr1nNfD3iEyOlJ,71,not available
6,China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,2R21vXR83lH98kGeO99Y66,China,1PTTAq0OxggVgqP5WTYWDh,98,https://p.scdn.co/mp3-preview/a2486b829160d65e2bf30038bb3a5f76df3393b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,91,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Reste,6AUGXSWk8DySy265k83H7u,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Reste,0ETRHIPbcvL4bzpbpH67IS,66,https://p.scdn.co/mp3-preview/39cf2774d7c4a60d9937e0440c82c5f5e441ad23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
10,Narcotic,7M9w4C8WenlvWfNRAulZOX,Younotus,67ghKnycRX6VM1xfqJSMlH,Narcotic,5J3cTpJJ1EgXK8ZCEylSZO,79,https://p.scdn.co/mp3-preview/3dacd40b0aef97e09429f4b7efe0bf10f44c2859?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Que Calor (feat. J Balvin & El Alfa),1sviDBcAqVOxMXq4xITVEs,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Que Calor (feat. J Balvin & El Alfa),2epUYHJteejHG4trbc8drd,83,https://p.scdn.co/mp3-preview/73dc8de82c0b012c2fc4a4df825b9143e306c38e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Ma belle,3Aq1SJ1hWlfazx8IIC6u1D,Moha La Squale,4vtz0m60CCrcsQmqDunDIR,Ma belle,3AIfofJ32ovPG9ODRPKen9,81,https://p.scdn.co/mp3-preview/0d8709b118afd0d387c3998e2370384e2ce66839?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Birds,6Tvzf3VEi16JMhAgOwdt2y,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Origins (Deluxe),3JfSxDfmwS5OeHPwLSkrfr,79,not available
14,Instagram,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Instagram,7FTzcNdsKhMe53orWXsai8,88,https://p.scdn.co/mp3-preview/3ab276e3f7066d652e7d631afc55e054de42ad1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Soldi,4szQkW1CDHqbRZGltXJdd3,Mahmood,06nvjg4wBANK6DCHjqtPNd,Gioventù Bruciata,66vkclmRoFqj4IYEnKGKPU,80,not available
16,Ça va ça vient,1d88B3j48iAB6oL7SWZlxy,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,Ça va ça vient,4rBuK11DkyD5o19N6iblNI,69,not available
17,Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,DJ Snake,540vIaP2JwjQb9dm3aArA4,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,93,not available
