Validé,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,58443,spotify_france
1,Ouloulou,4JIOC5P1G1NjhRJ2JSXm41,Dabs,0VF7XcB73fBSIfX9hOTVij,Ouloulou,23FIFW1rHYVi4pM9ckHZls,54,https://p.scdn.co/mp3-preview/8a09c27a50b60b748639015d4971d82646bba4c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Salé,0uBu60Wd7yzm2sFrj2hSr6,Niska,7CUFPNi1TU8RowpnFRSsZV,Commando,6l7Wd2tLAVVqX5qE1qfKPI,5,not available
3,Madre mia (feat. Ninho),37YNulvDhyzULfhHycmhEl,Sadek,63MCBZRiUdnqRsAOJwijiB,#VVRDL,5alF8ylSQ3BgMlIvy2imKG,61,https://p.scdn.co/mp3-preview/e010ba54fb37a1e690a7b699e6042d4cbb3033e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Les princes,79fzoZLfu1drrTyJwTWD6b,MZ,0xEVr5H3VEj3g11u1q6ifW,La dictature,0hqrAd9SsmyfT2hYPZ6kWF,60,https://p.scdn.co/mp3-preview/5bae1339680ddbaeb51ca3dbb767d0738538670d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Un Poco,3MVTefqbeNX5yHFOmnHy3X,Ninho,6Te49r3A6f5BiIgBRxH7FH,M.I.L.S 2.0,0hl8Hs6SM4NfS5TOrkOfRU,63,https://p.scdn.co/mp3-preview/c099886be58f57a148add417e360b7f23ac5761e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Mwaka Moon,7LDq2cE0TQV66BXorbV8FD,Kalash,3J7r4VsNmuWixU0nXvyPd8,Mwaka Moon,0JiHJJGVSHzQMdTJ2fp9dh,67,not available
7,Chasse à l'homme,7y4ELJ02ZssUMSkJiTfq2o,Niska,7CUFPNi1TU8RowpnFRSsZV,Commando,6l7Wd2tLAVVqX5qE1qfKPI,1,not available
8,Je pense à toi,6fH6DSBvPnAu3T1cT8LaVE,Hornet La Frappe,1kwzW1IszUiq4Gs9BFesvW,Je pense à toi,6dp3sdegYDuUfOsiGhPtE2,48,https://p.scdn.co/mp3-preview/46761ab8adad5baac7914ab7a2d934f764c89d01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Tout l'monde s'en fout,7syABtsvHvD3nO7OG91Ani,Sofiane,6qFt3TjvxMt77YGsktWG8Z,JesuispasséchezSo,0lhoVQfxS85IViefuzVTxl,58,https://p.scdn.co/mp3-preview/a6046cb33884fc58aacd07d819afc0290ee44c23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,DKR,0QLjm2PNqKRJfWsxDPa9Ra,Booba,58wXmynHaAWI5hwlPZP3qL,DKR,2z3hZ8WdbWz7swmVwQbkJU,54,not available
