Variété : l'essentiel,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,292077,spotify_france
1,A nos actes manqués,0uMYJ6FT8CvNXqRs1ERXI7,Carole Fredericks,4EfRgpfLaAzQLV08MpruGH,La collection 1990 - 2001,4gJukkp8gwHJQkk0FGhstu,49,https://p.scdn.co/mp3-preview/669deef15e56bec8236343738f50e81087e20777?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,J'Irai Ou Tu Iras (with Jean-Jacques Goldman) - en duo avec Jean-Jacques Goldman,2dMLZBAf1mnrtviUHiwd7J,Céline Dion,4S9EykWXhStSc15wEx8QFK,D'eux - Édition 15ème Anniversaire,2rK67uK3n9hJObOecEJOjk,57,https://p.scdn.co/mp3-preview/e1a2cdc9ea39bbccd348a675f48c889a949de205?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Je l'aime à mourir - Remastered,40U2kuipBVRrReD32J2lmO,Francis Cabrel,5uo5NwSONVNfvSHHMQrHAv,Les chemins de traverse (Remastered),59RjTKHBUudPnSU779PQ5x,62,https://p.scdn.co/mp3-preview/70eb3d855121740c9a54f0b55590640932d6583f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Mistral gagnant,4JSBfXhgPkpdprAVafbTE3,Renaud,15uNxh8omvRvH71kcdIe2r,The Meilleur Of Renaud,1qURo0tjvk2jTkbGuprpo7,54,https://p.scdn.co/mp3-preview/89798afb3a514ce2d2ef2fcf08487bc4b120dd27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Cendrillon,5Aom4pV5XRvO33DrZ5bMLD,Téléphone,3fQq9bb2ZKNv24V1A4vwBK,Platinum,1FdzItXRjhO0xpBGRydeij,52,https://p.scdn.co/mp3-preview/7541b217baf29e12b9be271ec946605f1b53ee4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Aicha - Version Mixte,0cYX51Hneb8qIOx0tHm7ng,Khaled,28ztjHIXceRRntmTUfnmUX,Sahra,2Ul6M5sIJdZjKVxwgDG7dC,57,not available
7,"Ella, elle l'a - Remasterisé",67CfbIKKTCKFqmQLJwUftX,France Gall,22HVxZPA6UhBp8wahxDA6I,Babacar ( Remasterisé),4vYag01Wn4UHjtlWbz0Nn0,63,https://p.scdn.co/mp3-preview/47ce0867c77d378a88d44e3481dfe32130efdb82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Je te promets,1zw40jMntljzbGsl0KJboE,Johnny Hallyday,2HALYSe657tNJ1iKVXP2xA,Gang,5KAz1HC0P31pabmIceTd7Q,11,not available
9,On ira,6MI0ex3JoX24VSjOytLN4n,Jean-Jacques Goldman,2Cx19OTMqa6gpz2l60cGG2,La collection 1990 - 2001,4gJukkp8gwHJQkk0FGhstu,49,https://p.scdn.co/mp3-preview/3669d3cca1d514afdcb8e826b343e1123d84337f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Le sud,4sWGG5BEy2zYE81rFoHMBo,Nino Ferrer,3THqHCN7gq2Z9hLleof9uv,Nino Ferrer,7EXl1EDhQ8z50gJpYfC9jB,12,not available
