Classiques du Rap Français,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,221618,spotify_france
1,Le Son qui tue,3ee6eXqZqJo3DJEiBr1SHs,Rohff,32UhRcgdXO6LdLhOpfIdxp,la fierte des notres,5Cp07JiZnqruQBNZb88OCf,54,https://p.scdn.co/mp3-preview/3dcd117753cc5fc0dfa3e40b93e11bcffc0f074b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,La Boulette (Génération nan nan),1Vf09Cxf2jqSkU6sfueYAq,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,61,https://p.scdn.co/mp3-preview/4a9d523b5cdc9e128f88b7aebf974cefd04f39c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Destinée,0N6tU8P9qhNiEG30hZHSdH,Booba,58wXmynHaAWI5hwlPZP3qL,Temps Mort,3ZBCxSakSUOWf7gVWEEkDc,0,not available
4,Gravé dans la roche,0OLh0QqBA781GNO5CJTKxR,SNIPER,1nTVNdaDAzXB1AbP30cGk6,Best Of - 1997 / 2009,3eHDYrvPpkMJMcm7yjEoo9,46,https://p.scdn.co/mp3-preview/e221120b65307286d3803941f700280bc0a54074?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Belsunce Breakdown,1HMH8ctdYfDrRac24jkQv0,Bouga,2lAwZifHVNBbwwsiCRprUv,Comme un aimant (Version 2) [Bande originale du film],1rlfR3ahi8HAVNAE1YXfNe,48,https://p.scdn.co/mp3-preview/2a1ea1a7e9a755440c667b0ebc8bb8a0d1bdfafc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Qui est l'exemple ?,77pB3BxEgaSZIbJ4uQflS8,Rohff,32UhRcgdXO6LdLhOpfIdxp,La vie avant la mort,1q3iVUJaoIi3LWeiD3FUrf,57,https://p.scdn.co/mp3-preview/c07af0e4cfec901f0c62b598c5ce1cdc325e55cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Pour ceux,3JjnCqQwWlgIz5ty1ByAbO,Mafia K'1 Fry,1cRhxmFvL3Ef4vx4jSCy04,La cerise sur le ghetto,3WD23sAzX8PH7PgZ9g4czo,49,https://p.scdn.co/mp3-preview/ede062fabb67c602d44e1b15de77f27c9cf87462?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Pitbull,4xUo6mxLoEyg5VQgk057BD,Booba,58wXmynHaAWI5hwlPZP3qL,Ouest Side,34CsUCcaxu6Yorde5fRdTU,2,not available
9,Du ferme,6k8ynYPD7SjWpDShcImkz1,La Fouine,6QS84S3i4gwdEKqWoTtDLd,Mes Repères,1kpuJKxtlonnNGwTlB0ZYU,54,https://p.scdn.co/mp3-preview/f33f5b86e372ba2b974159a97f6d2b8fc48ce00a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ma Benz (feat. Lord Kossity),4G01edX97eZlCmEbYewboU,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,50,https://p.scdn.co/mp3-preview/f1effd558c0e7c46c8d9fd12257d40fc6fd45d19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Molotov 4,6IIFlVTXXhVbfp1N3xjBCZ,Sefyu,2OULCPo7k0vPKlEZimhaVc,Suis-Je Le Gardien De Mon Frere?,5qxgkjueBOPaDFS9LinqNB,1,not available
12,Le bilan,4hElE1DmCfpoFVjczvfB5U,Jacky & Ben-J des Neg'Marrons,50H5RJzA4B0SBzXEOtIU5B,Le Bilan,1ztic2wLAdhbmoJ53DTcqQ,51,https://p.scdn.co/mp3-preview/1c0628d8b4886284d65a03da30b880ee71eb4048?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Au summum,2dfahYnct5aULxIVSQ6sv7,113,5nTMNNNwQMoCYgzUXdUaB6,113 Dans L'Urgence,7umiMRp4Ks5wUyO7xbRLnp,50,https://p.scdn.co/mp3-preview/51ad90de46297de3a70950bef4b0e6dd62de2f08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Petit frère,3jqBLwtTiUYismDiZgAgPE,Iam,56Q6weEROZ1RsVrTak8Bm7,L'école du micro d'argent,3atPIVCVIIgak6KeB1ANnK,57,https://p.scdn.co/mp3-preview/6b1dfff91a659283a7abf031ed1603b7c845af9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Laisse pas traîner ton fils,19wTIVLYwubMX8XZppB6lH,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,47,https://p.scdn.co/mp3-preview/828a5bacfbf2656c3580a4c133e3d079e8e80975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,J'pète les plombs,5onlhFwHJhp0ff2tPju2X6,Disiz La Peste,7rz6ZZErn5YFDteXKhyf3g,"Le collector, Vol. 1",7KXG0Bm2zU9B6WpfRpFmiM,47,https://p.scdn.co/mp3-preview/2efdebcb16b085de2b5d2665a6bcb6e53289da39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Samuraï,16etD0jjMNdKsHByc48tOY,Shurik'n,1ZjPqYngrwDa5ZqwAPcj5o,Où je vis,18bO6rRcxQ7RrKl9hnJfuW,54,https://p.scdn.co/mp3-preview/91b51b1d5efd225a980767fe7a5fa726d2dcaf26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Boulbi,5NfigFlUBUEBgMFOq1rfkB,Booba,58wXmynHaAWI5hwlPZP3qL,Ouest Side,3yT2JhKAfo78iIqgEkZNVw,55,not available
19,Nés sous la même étoile,66ZtqKhYSA8XyPr0aAUFsm,Iam,56Q6weEROZ1RsVrTak8Bm7,L'école du micro d'argent,3atPIVCVIIgak6KeB1ANnK,52,https://p.scdn.co/mp3-preview/30928e55b5c88c50769af85b6a97a85792c5d5c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,La terre est ronde,3IM7zXywZ6sRTtkRjRLxJ8,Orelsan,4FpJcNgOvIpSBeJgRg3OfN,Le chant des sirènes,5GfsaNstrK8rszTX5XYtXU,60,https://p.scdn.co/mp3-preview/07ff9ea25bc6f7d14e1e85b4ef3b459ab10dec00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,That's My People,1RWXFHOJ6XjK8a9pitucrX,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,46,https://p.scdn.co/mp3-preview/fd47fa0acbce2cd469ca0e7534b4b5455377531a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Bad Boys de Marseille (feat. Shurik'n) - Part 2,5q0tqXhUKqwBxissPvia6X,Akhenaton,4ddg7PH5OuSossiSBWgueu,Double Chill Burger (Best of),1zK7QIHZVnGQqhlxqe7rI4,46,https://p.scdn.co/mp3-preview/3f5ef320f640c866fb57a712c4c74f4a2b0831de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,N°10 - Single Version,3wBnEsxkTABwvl32tpZBsj,Booba,58wXmynHaAWI5hwlPZP3qL,Panthéon,2dCUtmJ3qBS5nP2maHsGAf,2,not available
24,Je danse le Mia,3vTgQBHiLsJ40XpQlQxlhG,Iam,56Q6weEROZ1RsVrTak8Bm7,Anthologie IAM (1991-2004),2jEJLiF5RE2JSCju5x6Avw,8,not available
25,La Puissance,1cWxCvep4soXYHkXDmJpSg,Rohff,32UhRcgdXO6LdLhOpfIdxp,Au-Delà De Mes Limites,75ATPVeLbZcI8awnPVNAqK,53,https://p.scdn.co/mp3-preview/46e926febec3d049eb5723da9be84a5cdec249db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Les princes de la ville,4zu2xquA7ZcrjPZylino4Z,113,5nTMNNNwQMoCYgzUXdUaB6,Classics du rap français,5l2SmT405p4eX3IFosyH01,1,not available
27,Banlieusards,461K9NwFNjnyZBtrn1EIlo,Kery James,5ydAcIK2KdpBIbL0yGFJle,Banlieusards,2DTuHdlwyaDJyNW2uUygGv,0,not available
28,Art de rue,6Xo7NrY0dDj6pQQ2XIph1Y,Fonky Family,1BTmMBPzv3zEO3f6ilFoct,Art de rue,3vm7lXWJ4HxzKEVZ6hhg8o,49,https://p.scdn.co/mp3-preview/511557c1f3386cacd3569263d797e6f3f1da423f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Dj,4D0dgZLZWkaWG25NBuxOfS,Diam's,6379rD5bSEwInazkKhZ9DM,Brut De Femme,36WsF1tlYfQtOSiU3Tozb7,54,https://p.scdn.co/mp3-preview/3076c01e9b03fec8293c61bc442e707baf38bc80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Mama Lova,1ncangkVrHn7tJfx605E2C,Kheops,7g9QCyx9r1R424eMqNtM2g,Sad Hill,2IukeSRpZNwUXnQq20BDjz,44,https://p.scdn.co/mp3-preview/4a8f208c28364da8df900fbcea9b093b10550836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,"Demain, c'est loin",4C4tuRmDTMz875IFJiqIpy,Iam,56Q6weEROZ1RsVrTak8Bm7,Anthologie IAM (1991-2004),2jEJLiF5RE2JSCju5x6Avw,1,not available
32,Le son qui met la pression,76DF3UwkIRBJLNuZdNuK4I,Lunatic,2T94BUd6X8J1G5EfJj3hZr,Mauvais Oeil,6nZsCBcWr6n6ZtmBmdJz96,0,not available
33,Regretté,6W1MYXhhqO5IuIovuXp7Na,Rohff,32UhRcgdXO6LdLhOpfIdxp,Au-Delà De Mes Limites,75ATPVeLbZcI8awnPVNAqK,45,https://p.scdn.co/mp3-preview/c6cd21d90b177d0a532359514ce95ff91dd8de0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Angela,7HkAJlrDqGvFA880bbgFlJ,Saian Supa Crew,6XaUaXu0cGAFK1AlQkl1b6,Saian Supa Crew,273SOILQldyBoIEnEkUX4d,55,https://p.scdn.co/mp3-preview/e33c21a3250d6021100f27f86111e3300ac47a83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Tout Saigne - Remasterisé En 2006,4YtpY8Hv0bwv84vfvONOwz,La Clinique,47NHcwh7V1kVlxr9Co6k1r,Hostile Hip Hop,4g7S5MgKfp8d09X98KAUEm,42,https://p.scdn.co/mp3-preview/e684e7c07e904aa5a39abd729ad49812a993dee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Respect (feat. Vinia Mojica),2uMb8n60MeFa6bjjjCzL49,Alliance Ethnik,2dZM3D9rBveK3dywr1WQkN,Simple Et Funky,73WyrLGzIT98p72VVYUY0Q,57,https://p.scdn.co/mp3-preview/95102ea9050702cdf9e96f0811c96c9dbf8aa5d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,La tribu de Dana,64gCM9yZv2jpNflclKUnXu,Manau,6k68jYvlUy3CXOwhG1NDBL,Panique Celtique,1i7e6Cu4N6zhbhvJ4lNw6G,58,not available
38,La fièvre,0t4J6vsfIb5wtYcSdht9yy,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Paris sous les bombes,6JebPktdIx7M8WzADPZaD8,49,https://p.scdn.co/mp3-preview/3e63069a296331221b26134c34b23ca993dc8294?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Dans ma rue (High for the Chronic !),1etjGtHh8yBUhFqCufqdrd,Doc Gyneco,4GX9CqwqWtb76wuXwbXR6b,Premiere consultation,3UACOTg56TwfNelPFsdGAg,43,https://p.scdn.co/mp3-preview/13e0b63c2c494fd7870302e615e8e767b88b8ee4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,On pense tous monnaie monnaie,1ZPo5rGRZr5z8sjvMjTTVc,Scred Connexion,5ZtIEcmzQosu8SDKWgwc86,Du mal à s'confier,0JtvUSVT3yaGeXCkz4R6dZ,44,https://p.scdn.co/mp3-preview/ea9e9f1c23e4cf0b36697d807b8ccbb35a495333?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Le maton me guette,0kcF96pmA8PX5ClqyFpEtG,Passi,41o2A93SPxIUxsy5HQjvul,Les tentations,6x6I3lpDmXNGGrRdaC6ktL,43,https://p.scdn.co/mp3-preview/ede6e60b2ca7fc1cda8ae57b4533583e6b830ee1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,L'enfant seul,3hR6FtDMsgTIO3a4VIucIK,Oxmo Puccino,44bvfFf9VeGwVjK0QDqQ7O,Opera Puccino,1j19ltx8inseOGYmKaLO5Q,1,not available
43,Tout n'est pas si facile,2rKILkEJB20rf6RLLmtDQm,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Paris sous les bombes,6JebPktdIx7M8WzADPZaD8,43,https://p.scdn.co/mp3-preview/0b8eb6e122323d0781adaf5b669f90d10a942fe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Nirvana,3p2Ns1VqiDyv9vLuBp1e0Z,Doc Gyneco,4GX9CqwqWtb76wuXwbXR6b,Premiere consultation,3UACOTg56TwfNelPFsdGAg,41,https://p.scdn.co/mp3-preview/b2b88a1c59226d574329fadc04250e6488462d21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Jeune demoiselle,42apdJFDH65Ew9RVuldbrb,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,54,https://p.scdn.co/mp3-preview/3cee58ef94d01c04e7a116394ddc65415c31897e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Caroline,7BcBFcBUwuB15Y1km6RkHZ,Mc Solaar,3nU8TSIICYDbUqRpJISTRE,Le tour de la question,0jghnfosLxEgE9ANSKoftK,50,https://p.scdn.co/mp3-preview/c6a5b6328b05be2fa1481f9638caedf25a7f30d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Patate de forain,2VMzuaMP2YP6F0xIA4hoch,Seth Gueko,5SZayIKDZvxXaJrxLfnIRN,Barillet plein,1uPOLMHkIj1AUWfEiCHyUv,47,https://p.scdn.co/mp3-preview/3272d7eaa71c5c2d6c59e9dff3e389ec38fe2b7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,La Haine,4HNH7bIAIscir2rVqVi2eV,Cut Killer,1qBSTVOOFSTKWn3TQUtWqw,"HH Classics, Vol. 1",2nWjZiN1GqmZf5T0XxqL0J,46,https://p.scdn.co/mp3-preview/acb57227f592d6bf9bae141de460834008fdf5a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Mon papa à moi est un gangster,230WQfgxWrDowOttZT7Lhq,Stomy Bugsy,6vDYFCXQbWPqlUEyBaVbMW,Le calibre qu'il te faut,5IuN6I7Al7EaSNEhlE2SMe,45,https://p.scdn.co/mp3-preview/09084d794ed3abb763b3f4024144971c3eda7155?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Touche D'espoir,2Nq27QSuOjGZuhCkwdteGM,Assassin,5zbzDats0HBBPuir5QWKWm,Touche D'espoir (Réédition 2005),0C97wD0H0E4ZTBbsBTys9X,38,https://p.scdn.co/mp3-preview/1f78407533dac84c46cf845a9950cf2b88aeed2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
