Nouveautés Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,169302,spotify_france
1,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,SHAED,3KwmxIhSe9UTSEF37kwngR,Trampoline (with ZAYN),5QqqBZmdQmY1MvlnpBkagB,79,not available
2,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,90,not available
3,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,82,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Some Say,4poybupy26pTWPr9zY1i7h,Nea,7nqlScm2smydSRl13eaP8E,Some Say,5pCAWYym13GcQN8CXEb89m,71,https://p.scdn.co/mp3-preview/d3ac475db72a68005ee24a616aabb355145f3af2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Stack It Up (feat. A Boogie Wit da Hoodie),1xU2QZ40MY4Ex2pfczZa9U,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,Stack It Up,3R4bm24vpp2UiKr567EtAD,78,not available
6,The Last Time,1maoY6K6fsTEv9fhXhBL14,The Script,3AQRLZ9PuTAozP28Skbq8V,The Last Time,7hKlP3f3yyQjizcUIKWvZk,73,https://p.scdn.co/mp3-preview/a01724234b85486ecd51a9033b18b6ba8b08e8d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,ILLENIUM,45eNHdiiabvmbp4erw26rg,ASCEND,60xcVwuQJAOyu11xf9mObS,78,not available
8,Shameless,3UYiU57SMiAS5LqolhHJw1,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Shameless,2h1p1JzjT9rLJFAFrIkyrm,87,https://p.scdn.co/mp3-preview/ecbe1041a69343d4ec849876b8f3b2aa71b332a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Teeth,1JRK7srBWUtAW7dPabKBwJ,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Teeth,6JdZip7wqJcGYtYDnzpp8T,87,not available
10,Never Seen the Rain,2grAr8pWMuLWn8ZYEE9wDV,Tones and I,2NjfBq1NflQcKSeiDooVjY,Never Seen the Rain,1BYByciKxjYwhRSrWlEjWu,72,https://p.scdn.co/mp3-preview/72423305d480316e50bb4b3fed3774ab4071f3b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Afterlife,6PFyGdWw0qnstR8KJAWrrr,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Afterlife (Dickinson),5172ZzQfuoa0joJIekZCDa,75,not available
12,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Lonely,1MF23oT6lg5q47LnZ91UPy,81,https://p.scdn.co/mp3-preview/3fa1dc5fe5068d6c7189d3871cb1fd1615330b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Wild West,3UqQUExRt3YlS4PNo5Thtq,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Wild West,3rOY8x33we7f3fUaFXmJig,67,https://p.scdn.co/mp3-preview/c88a633bda8832072188b9043f02d655e68e141c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Imperfections,2wXRIes2a5vPl5xbEHFlDt,Céline Dion,4S9EykWXhStSc15wEx8QFK,Imperfections / Lying Down / Courage,2R6xyt5p0BA3Ggx72MyRXr,71,https://p.scdn.co/mp3-preview/f188f529502cd9e5804db125694b2cc00ba59bb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Bruises,4Of7rzpRpV1mWRbhp5rAqG,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,86,not available
16,Shadow (feat. IRO) - From Songland,09Hjv8GEDhzPxqiJCw8dSB,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,Shadow (feat. IRO) [From Songland],2TZgCoAnwX3YJmOfyC2SF3,74,https://p.scdn.co/mp3-preview/8ae7e8df31d6b38bf26d5449e98842e29dacb619?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"Blood, Sweat & Tears",4ffYbqNOSn01NHOmQGJEKT,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,"Blood, Sweat & Tears",1YWdIR0joENTfvuzJ64KJq,63,https://p.scdn.co/mp3-preview/187580ef13814ef4c4048ef394f0462fab3ed865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Losing Me,4P6g8wuXeR3wznFk7WnI4w,Gabrielle Aplin,3w6zswp5THsSKYLICUbDTZ,Losing Me,5MS4jSKio1OjUOKOnTEEat,75,https://p.scdn.co/mp3-preview/8d7c351d9814368918fc8c556efa0a45bbbd76e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Graveyard,6V9fHiv84WlVTg7CSnIVY2,Halsey,26VFTg2z8YR0cCuwLzESi2,Graveyard,66QwiCFDLtRbrZ5Vs9wlL9,89,not available
21,Feelings,0y675KDleCZEudjoeL1sQQ,Lauv,5JZ7CnR6gTvEMKX4g70Amv,Feelings,1MFxXAGWNIuz0X1hS9VRiS,83,https://p.scdn.co/mp3-preview/542f5d521155b6839d135e41e08d232982cfe112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Somebody To Love,0yc37FvbXRwwFaQxzpxbsd,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Somebody To Love,1YjQ5Q5ptRnQcT4P6nSCyt,77,not available
23,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,70,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,2cFrymmkijnjDg9SS92EPM,hot girl bummer,37CqAwxTungNxKpIK5vSgE,91,not available
26,Twisted,4urcciuWMaKIdttG8DV6R2,Marina Kaye,4hHzZPvlU4rRbYnkXddpid,Twisted,5PfMj3RSoxyEQ9UgohWauL,48,https://p.scdn.co/mp3-preview/49e64d10a46ae479573f7bde39e8f222039cd4ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,White Mercedes,7fOFeVSyL18q7RiU6cnhiM,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,72,https://p.scdn.co/mp3-preview/e8c53850910eb95a6ca279c2a8a5468e0bc67c5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,70,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,72,not available
