PVNCHLNRS,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,895079,spotify_france
1,Méchant,75bVc27bDSOAhMAL38cXpV,Niska,7CUFPNi1TU8RowpnFRSsZV,Mr Sal,0EMsWsHF1tU9YpMpSbrvrX,78,not available
2,Marie,4NcZKLjdfTJLpaCOspAjQn,Koba LaD,1q7T9rFQ2a2ukA1PU51fo3,L'Affranchi (Deluxe),72g6zlwerNl2zvcWqUeGHD,66,not available
3,Hé oh,1bWafkUCOp6luXRs1cm3w9,Gambi,1lB3I3SI30v2ZOpR4XQqzJ,Hé oh,7slaJRxjUJ5PtKOLGClvRb,80,https://p.scdn.co/mp3-preview/73034dfaaebae7acba1fc7186e6575561876c6f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Un peu de haine,5yYfCoMrhcuxMP9CAmA2rU,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,Mental,0HCMpqJsF9hym2f4uKbfUV,78,https://p.scdn.co/mp3-preview/2b43b29d4669315c19059c018f8c7560f6cff680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Sankhara #4 (Chic),6mKLhdZIMaHpZ9kbmq9SOS,Bolémvn,0gGcw3tA1fZoF23qa8KFb7,Sankhara #4 (Chic),31Hs3vfBQLCEhch34bE5g5,72,not available
6,Tes parents (feat. Ninho),0G0ZyEQyc3IBcRnYCvtTwb,Leto,6HCBnyTBSLdb3TFn2ayulY,TRAP$TAR 2,0r6ok3cCmovBOj06Bc9fjk,75,https://p.scdn.co/mp3-preview/f22245edcb01e743c7493640b9f7147b1e865b88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,SOLITERRIEN,7qj2pdwGVmN7E26nMVFeMq,Ikaz Boi,1h0vYLWMAElSWYCjm6RBpe,BRUTAL 2,0Z8bCHPXxxukmYWFFfsXFs,66,https://p.scdn.co/mp3-preview/1904b9b385f3d09cd519867f385b2e82d2faa3d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Bâtiment,7FF6HRsQlc0CtfAbLmrEGX,Niska,7CUFPNi1TU8RowpnFRSsZV,Mr Sal,0EMsWsHF1tU9YpMpSbrvrX,78,not available
9,L'odeur du charbon,3iGHpp0lriaEVmpnQ48iXT,Dosseh,3b5bg1k6N9u31OtzSfK2dP,L'odeur du charbon,4j9v6RDDClHvS7kyvUNB2s,70,not available
10,La Peuf 4,1yOZzgJxVe1MUWkLNyjLnJ,Hornet La Frappe,1kwzW1IszUiq4Gs9BFesvW,La Peuf 4,7eehZuLmTHHDcRq578uaNg,65,https://p.scdn.co/mp3-preview/4907e1247e4ad56eb8370025665330fb9b799b70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Problèmes,5Q9gwUMjyhkgrQCB3EzIEZ,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,Problèmes,47onmvsh9b5djLSKdz88Ve,75,https://p.scdn.co/mp3-preview/9e085fb8b17c63dc24578d47df0575ead9df9e7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
