Futurs Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,158133,spotify_france
1,Egotrip,7d9VYpmw1zj0Zdeex0uZLf,Therapie TAXI,5MynxBz4ZMqvUzpcxTZl4C,Egotrip,2pvAljd8SURmWheBSYhtbp,55,https://p.scdn.co/mp3-preview/f6027acdb60de157407ddc15de666159796b3c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Baianá,7MUazB4rGIqFFIkjT95rCO,Bakermat,3MyFDtqB80WZvbtCZRsekM,Baianá,7ImQIxwDqi9OKS93QMsKQN,73,https://p.scdn.co/mp3-preview/4753a081cba26c93a9972e1d912755b0c7d3178f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,All That She Wants,1MuZG4wCdiFmxiFZKxy0Tw,Sound Of Legend,3g9yyIlJ0sIunQWJLmIYhn,All That She Wants,1tyl4gqb66HfvO3jRafGF1,53,https://p.scdn.co/mp3-preview/ff93a79205678e23d6b97240a355caf59b8266c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Qué Pena,5099x34vBakWpGkHourFxP,Maluma,1r4hJ1h58CWwUQe3MxPuau,Qué Pena,1Db95k6t4rCPHSmdfsTeDl,82,https://p.scdn.co/mp3-preview/b82a2d454d23261612a6511904e5498dc064de04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Sad,6j3MJ0jtsReAgwRwqsHC7T,Aivarask,5oyzHMs1QHb5lGpAWTEe7K,Sad,69o5UxAU7fhu1suuhxOPJZ,56,https://p.scdn.co/mp3-preview/04325109f9dbc6f7b9cc7cddc363ccb5849c610a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Johnny Run Away,7BooBD8k8ABLTFLzgxcT5G,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,71,https://p.scdn.co/mp3-preview/28fb5aba8d1f3a7a765ba4106c8e107183787468?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,"Fuego (with Sean Paul & Anitta, feat. Tainy)",660eekzsNZ7sdATvfIsAkR,DJ Snake,540vIaP2JwjQb9dm3aArA4,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,77,not available
8,Baila Conmigo (feat. Kelly Ruiz),4Clmg1g8n2yBYG13Z1oSdG,Dayvi,2TWBei99x2tV70bdYbWdAf,Baila Conmigo (feat. Kelly Ruiz),68hy2xnNgeo0dO0YOm4Th7,86,https://p.scdn.co/mp3-preview/ea3a6fc2e0b1ac68421a14ed005ddfc8e6968006?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Messiah,01iab9HlD9EP9LZaimGQqo,Klingande,1L9i6qZYIGQedgM9QLSyzb,Messiah,0nW9GaU94iGYDhiNHju1Cr,25,https://p.scdn.co/mp3-preview/ebfa6467785e0ca41affca0b4c77f48979175d97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Good Thing (with Kehlani),3wpdeV1FZfiEnelZSfAFp4,80,not available
11,Recognize (feat. Majid Jordan) - Mercer Remix,366EdrGaHsiq1JLEr9UUiJ,DJ Snake,540vIaP2JwjQb9dm3aArA4,Recognize (feat. Majid Jordan) [Mercer Remix],4yAElr6AmHVYHOgC3c0sKk,66,not available
12,Que Calor (feat. J Balvin & El Alfa),1sviDBcAqVOxMXq4xITVEs,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Que Calor (feat. J Balvin & El Alfa),2epUYHJteejHG4trbc8drd,82,https://p.scdn.co/mp3-preview/73dc8de82c0b012c2fc4a4df825b9143e306c38e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ooh Girl (feat. A Boogie Wit da Hoodie),1mKNyZCNDueEASgBgZuLdA,Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,Ooh Girl (feat. A Boogie Wit da Hoodie),3wXCIYqdw64MOR8pJtKvPQ,72,https://p.scdn.co/mp3-preview/f8ee78c14d60018786ffc64ce86b4272bcb9802c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
