Rap Diggers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,30395,spotify_france
1,4 Life,13UelWKczHvCSHWvmjpzfx,Dinero,5ww4TnrPAbSUOE0kvRjuoB,4 Life,5txByEP5YRYaEtLONRmdVC,22,https://p.scdn.co/mp3-preview/b1f6e1e961d886522b358c565b6e83a4e49a878a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,T¥,1Shcyt3JmAJMui7VfKkc8r,Tyranik,3CoOwY48baqRzvBmWNcYW0,T¥,5RwRYDbCLaf4ZweO7cYrpt,34,https://p.scdn.co/mp3-preview/36ac0c18e0f874a48ea437a0f0d17895d539ca02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,WeLaRue 3 - Vilain,21osrWiNJxpILjR6vLlp0r,DA Uzi,3xEJ7cDz5rdg6VM8E6Mqhf,WeLaRue 3 (Vilain),5hQUz6wgRotkm9cRJg7m7Y,62,https://p.scdn.co/mp3-preview/858aa0e8ef99eb24aaf789d44f790aea54e1beba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Legend,3rYxwM062wXYnouwnXWBhE,Stress,2piHSX9fKmsCD8tbfX1cJg,Sincèrement,38OLdY9yQahmLHifwmTD3i,35,not available
5,Hé oh,1bWafkUCOp6luXRs1cm3w9,Gambi,1lB3I3SI30v2ZOpR4XQqzJ,Hé oh,7slaJRxjUJ5PtKOLGClvRb,81,https://p.scdn.co/mp3-preview/73034dfaaebae7acba1fc7186e6575561876c6f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Deux coups,58jDWcJMnd2ydWZLalftT0,Tiitof,0lCzbSVa8RZoPsuDM9YBJS,Deux coups,2RPcGURJ9IUZlqzIGm2uQq,35,https://p.scdn.co/mp3-preview/645df1a11b6e216dad4f15e8f7398b64f10a28a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sirène 18,0uBlpQRAINd2DByK23Cfz2,So La Lune,6uYxN0u4HXLm2S2cYyKPhy,Sirène 18,2r8xsQorrt4jcKI8E2dZWn,8,https://p.scdn.co/mp3-preview/2ee1769b603ae495c93257a4f5a2cb8fa5541557?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Moment,4siJ1buD1La1VylTuvekAF,Aladin 135,2q8BTMaWesmxIXCB817C9I,Moment,1ubKgKQZIQEzF32GEFczGR,45,https://p.scdn.co/mp3-preview/7705dbb9e9a1344d11b8c50fc42d9785f7842153?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Aucun Effort,5H8wWXeMfn9ULcbaEmwWEm,Squ4re,0kNf3FMcfZo8KbPlttQOKb,Aucun Effort,4ivK4BPGUrqBAJjXu3gZNo,23,https://p.scdn.co/mp3-preview/ccd9e9d65bb3f31452834a2583c485ee29574ce3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
