Standards de la Chanson Française,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,153667,spotify_france
1,Emmenez Moi,7A0piuknKPVbFtf9gxI6le,Charles Aznavour,2hgP9Ap2tc10R5jrQaEpMT,Platinum Charles Aznavour,0rvCisxGedY59K1LrvjAfv,10,not available
2,La foule,2xZfPZxInlDXDKc6NDts8Z,Édith Piaf,1WPcVNert9hn7mHsPKDn7j,de l'accordeoniste a milord,7l3ydaHRFTcEGM0D9rlfqS,58,https://p.scdn.co/mp3-preview/b0b817d53ed38c77d5e85c29dc4b1b9568652aca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Une belle histoire,1GdtMDRiaF1EnG2LJpELme,Michel Fugain & Le Big Bazar,5KnLt0VENhwsfmQL3y2nsY,Fais Comme L'Oiseau,6u9tEKSghovMOBy9rwTMLn,59,https://p.scdn.co/mp3-preview/77c8311202face1c7a6f5b6db9fa346ef359dd21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,La maladie d'amour,7jEU2PWW32lv8DIfDdNtap,Michel Sardou,0krCd0zVANPv9ryri4T0TO,La Maladie D'Amour,2VS8g9qRPdXFC3hQSIwmqK,8,not available
5,L'été indien,7BNeFchpHDCWYSUV4hfU89,Joe Dassin,64LCTpIu9Iji2EPaxxPpxF,Joe Dassin Éternel...,3BRgfYZqKjLoqmEt1jZSHa,54,https://p.scdn.co/mp3-preview/f9f3c43e3223a7b99fbc3c6a758951a1c74679ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,La bohème,1e9qVfNKLsWJZVjEYAzQyK,Charles Aznavour,2hgP9Ap2tc10R5jrQaEpMT,Platinum Charles Aznavour,0rvCisxGedY59K1LrvjAfv,11,not available
7,Ne Me Quitte Pas,0B2mpfbg0an33QEYfKGChy,Jacques Brel,4RN2vlFWepLa46qQIU2PHs,Infiniment,4d9l1TbzJDhwKylJLwJixn,4,not available
8,"Non, je ne regrette rien",6MqxXla8FnO99tgQ9vUHGd,Édith Piaf,1WPcVNert9hn7mHsPKDn7j,Hymne à la môme (Best of),02JgvxWwBVPdSqZv5otEJy,44,https://p.scdn.co/mp3-preview/d0e205a0b0552ae9b3970ef47b6c0a5a73535210?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Les copains d'abord,1RarFtujsd7NHoe0mFtVLx,Georges Brassens,5UWyW1PcEM8coxeqg3RIHr,Georges Brassens Gold,1cQnovhPp0wDLyT4HfTLvW,5,not available
10,Les Champs-Elysées,4VWbPQUPvLes814r6T11Jz,Joe Dassin,64LCTpIu9Iji2EPaxxPpxF,Les Champs-Èlysées,70VszGJ7SagYgjotM7zvrX,63,https://p.scdn.co/mp3-preview/7ba43024eacf7aa1585240ef638ae7f012ba5a70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ce n'est rien,0klbnFP6UwMYpUuKjhleKT,Julien Clerc,7gVzeNvBbUpj6PXX5ekCMs,Niagara,4PXN6s7jgy76nUzLdPFGvU,53,https://p.scdn.co/mp3-preview/9ae30ed2152a593aa824c3c6083e7b33ea4f787d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Paroles paroles,0sRA0BcQaCo2B7TWxdNQsl,Dalida,04aQfpx1U1WQEJkrvGs4ig,Forever Dalida,5x57Ce1LSOrBpOeOSecDqa,49,not available
13,Aline,17ODC17zbOv6MVBDiANvue,Christophe,6MmRTVIPIe35OsFqWgRKQJ,Best Of,4XvvwnuEOPWWOexWJDbeYf,6,not available
14,Santiano,4fYqKBJQDep6s2f74pkUXZ,Hugues Aufray,6TOGbRYHQizlf3adIyugol,Santiano,3MgwUwjuUgVEaT628l3kJB,4,not available
15,La Ballade Des Gens Heureux,3f1kUjxpiIf6cqOn71acN9,Gerard Lenorman,5yyYswdvKadmf03amOvBDx,100 Tubes 70s,2zs6pEnk6jffcqakWih5lW,6,not available
