Indie Station,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,49965,spotify_france
1,Hot Motion,0WeuLiBpprHQOpMl9TKDKC,Temples,4ogwGU9VPWrnVBs1GEwZVV,Hot Motion,1gQKY1Dcqiov7uA4murJ6u,48,https://p.scdn.co/mp3-preview/017388972f793a2de43addbdea8c7407ac75228a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,magicalove,4HP9EMDM4IAZIUsvUmZD7O,Isaac Delusion,2HGAZDmVV3GAH4XFAZdvSG,magicalove,3Vs7pcXCgQgav2fwZBSvMY,40,https://p.scdn.co/mp3-preview/53601232b995be02c25ffbf9a4b26c5812b122b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Heavenly,0M6TLjxixptslrmQpWbRoR,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Heavenly,3cgFq282Yi9czapuam0DwB,69,https://p.scdn.co/mp3-preview/8baa84e848e637d9a4326e2a43f978af7e430a77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Borderline,3O8X1DE9btbzy4UH9cSX9a,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Borderline,5zGidcaAvNahQrYhyQwAQn,77,not available
5,Salt And The Sea,6d2MCbByfqhU85Fmj8WCAN,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,III,5DIgFG1fM76vmNYlvfv2JJ,64,not available
6,Imagination,2flxduIqEbsicdmPyj1WVW,Foster The People,7gP3bB2nilZXLfPHJhMdvc,Imagination,5LbiR8iqC4hYeIKifnmVqc,73,https://p.scdn.co/mp3-preview/ee572a4fd006fad8bd5f5ef898b0be6a9f2e0503?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Difficult Love,5B036NTl35McrlKBVEYqid,City and Colour,74gcBzlQza1bSfob90yRhR,A Pill for Loneliness,1FgQzEqXePnyHC8YxaRl04,40,https://p.scdn.co/mp3-preview/784a6daa13841e4393619ff30e85f5196e269a04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Hey You,1yYpw3DuEPBO6Cv7ejBwsq,DOPE LEMON,7oZLKL1GjYiaAgssXsLmW8,Smooth Big Cat,3vb4dMvsa3ZZb1smeZPOPA,56,https://p.scdn.co/mp3-preview/91e05bec43aead5efb663c260a5000b6032256ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Wars,6DZ5EOzz715nW5UIovhIWD,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,FEVER DREAM,3jk6oyfKCny48ZYb1CPjLa,65,not available
10,YaYaYa,1gmj9SGmFea50SyyVYgFkP,RY X,2KjAo6wVc9d2WcxdxSArpV,Unfurl,3f91d3qVwL2zX9k4PKoXK2,59,https://p.scdn.co/mp3-preview/542f59e86719f053e03f2df2affdec58d7020613?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Let You Know,7p0tz5SeCrSxTLSvwR8W3D,Flume,6nxWCVXbOlEVRexSbLsTer,Let You Know,0JWZvxiJLvRQwqKL2IhcD0,72,https://p.scdn.co/mp3-preview/8a3b514dcde999454a20c4793b423da945456d2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Doin' Time,0cLS7FslBJgsuWwJNRnPWB,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Doin' Time,7FsoMmWTbDXgdwvO1uCQ7d,68,not available
13,Barricade,0PSj54qCoKwNSHry64RatK,Elliot Moss,2xGCGoulmU85qYdpb2Z4xx,Barricade,2F2kpvmhIxbyGlnwDtHGb5,16,https://p.scdn.co/mp3-preview/531a68bc02680459ce20c2e30b599c3a17ce0713?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Bags,6X3FZtz4cKU2MKSQlGG9ZG,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Bags,5YwYhMFzSWG8i7NEuwnIzs,67,not available
15,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,70,not available
16,Rylan,18IyalmZGqUTwvZStMf7A1,The National,2cCUtGK9sDU2EoElnk0GNB,I Am Easy to Find,240Gfpkjr06NUT3zBYrwVN,63,https://p.scdn.co/mp3-preview/2821ba2c808285f3a4f78e875f7af775e03edd26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Straight from Steel,6oqGKn2FBecymXQB3Sifen,The Maag,1Uu6sXNTCYYBdldymTGOqB,Straight from Steel,4jDPErvYtpW0PMZQAa8pv9,34,https://p.scdn.co/mp3-preview/0c72018ddb1022b3c15f625487fdb6497b860338?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Talk It Out,3I6CQSc5hMvU4nh2DcTDBz,Matt Corby,7CIW23FQUXPc1zebnO1TDG,Talk It Out,1hK8ETmd5Dq4FOA5kWkGG6,61,not available
19,A Dream Is All I Need To Get By,6umE6KaAHqn9vSm62zcOc9,Noel Gallagher's High Flying Birds,7sjttK1WcZeyLPn3IsQ62L,A Dream Is All I Need To Get By,3ClGxA3ND5zYEuvI9BoEHS,46,not available
20,That's Why We Came,6INomND9mB2gNU8UQgFnhd,Tohu Bohu,6vbNevTU1BfFmrdVbbMehE,That's Why We Came,3vvUfwL5SurDh49brCVkgW,40,https://p.scdn.co/mp3-preview/cef3312fb93cbb0130b99e3dd2016e136fbc3ec2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
