Electro Chill,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,433455,spotify_france
1,Miss You Everyday,2UijtofYLPpDsqJLOXxANZ,Trackhead,5TUQR9SiumLYwagBKWNoEu,Miss You Everyday,6A2G528TCQNZMH2VaY0RUS,44,https://p.scdn.co/mp3-preview/b22735d0eb19673e9e059664c285ac37da3d7b68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Close to You - Radio Edit,37P3mw67bRW917eIh3d4x8,José Lucas,0ZQQqPE9AqroY6kmjfqoRP,Close to You (Radio Edit),3IpV0L0Hm39eHZFFHFArCm,55,https://p.scdn.co/mp3-preview/72489d0d9346b0171529536fa32ecd9803bf921e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Crashin,4YcxGRQN4sPOiLozy3dFat,SAINT WKND,4vO1cl2ndGrUPSl6IYTHs6,Crashin,0Hwb2MG40rbLe1nJSWrLVj,55,https://p.scdn.co/mp3-preview/a48a9664e188797dde84812897cac1917cc77f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Lovelike,5ijYxUz6kTJVZWTbHSoIKw,SAINT WKND,4vO1cl2ndGrUPSl6IYTHs6,Lovelike,5MM9vipBxJLKX9h6g9ufEx,53,https://p.scdn.co/mp3-preview/5a8982bbc74c8e878b8411fc3bfe54d6a2e98bc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dancing,4TeBMvVZCnp9X0kpY8R3Hw,Aslove,1EnscKRqKyq19bQ2bl642c,Dancing,2TVhsoTBHx6b5i0MyRIc9a,55,not available
6,Driftin,7olUjDUQYcjZmUKEjt66z4,Tez Cadey,5cBeFQv3kBVP8o15CmPTKb,Driftin,5ZM0WIX99gvcCY6jWYeCUe,47,https://p.scdn.co/mp3-preview/7e9701c5f170ec6fa209a4db457d4c7c66870a76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Control,5jWOzJK871loG78jnZRj6y,Betical,3vbonbiHY9CmCYrWgp9j5z,Control,1RyYqiviTwPEoy2rXDIcta,50,https://p.scdn.co/mp3-preview/ed36d7e5048593f66119fd7d56f8d63a35750935?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Voodoo,6WveoDiqrrJY836TXrN39R,Celestal,2AEpvZkBjqbmEiojWgZmub,Voodoo,2Z5yj6J30oGfHklUxlHx0X,42,https://p.scdn.co/mp3-preview/a344cbbda1f03355c5f5f47d7d15f847e60af6df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Feeling Good (feat. Alexandre Joseph),0YECyuPB9VYO9losdUAhpD,Ofenbach,4AKwRarlmsUlLjIwt38NLw,Ofenbach,54Nx8q3hjd1DLBTLeLbzex,54,https://p.scdn.co/mp3-preview/f7f28c14e27a98d7058814e57e2197a3ee922f21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Blinding Lights,7JAo7wy8BzmP9smtTJ3fuU,Lucas Estrada,2tndYCXQneCV4jtoWRwVpz,Blinding Lights,5K1nRHJ9JrwHAGXKc0yrZD,66,https://p.scdn.co/mp3-preview/ca1a4bfb1492c6343eb4ad336a2f590e2403e84d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Shades (feat. Donnie Sloan & Ricky Ducati),5EqvRNLWBnhHevkDIyCPU6,Tchami,1KpCi9BOfviCVhmpI4G2sY,Aurra / Shades,6HLdPDaMRZETi2daqsjscC,63,https://p.scdn.co/mp3-preview/8f57210da179a64a906f282fe1fda43606b200da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Karma,4iDpcQ9vNWnpWDC3mcwKbK,Bender,7fxWKpzyr4ZXEoNLtuxmrd,Karma,4ujHIOl1UzsfBJ8zQZmGGV,50,https://p.scdn.co/mp3-preview/8ca26be7942822932a2163e9924d59d4f0a22e2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Try Me,65YyjJx1nqp0MCFJw20RkR,Plastic Toy,5V9hwHev8mPXMe66QmyKJp,Premiere Classe - The Beginning,5AzebLXjdb5xWhJpg2vEFm,11,not available
14,Birthright,19y2Ekb4hUuPTbNpOLgUtL,Nora En Pure,24DO0PijjITGIEWsO8XaPs,Birthright,4p6bgDG002a4SLBVbYFTLB,51,https://p.scdn.co/mp3-preview/d02a3b3560970899eae443458b82d2221dbfab09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Sunday,74miq4ubMDpEZWtdEh8u9R,Møme,4lDXfIznmGueBgTjI3qGUX,Møment II,3qkY6RU7MLVebiC4xFUeg7,58,not available
16,Triángulo,4PYrRhdtepsz48X2o4Yuqa,Les Gordon,4UqXejsLj7uwZmzQ9vkmg8,Triángulo / Astral,0JZvqCR5RkjdfFWfkLAo3U,54,https://p.scdn.co/mp3-preview/bddab3a616b7e27d0edd894d36918de6c557c5f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,It's a Shame (feat. Matt Martino) - Radio Edit,7Dc7wWXNQnempY0CIRPdnu,We Are Gold,4uHbeRw5UIAJWj8vlBgYyP,It's a Shame (feat. Matt Martino) [Radio Edit],0keN548UNuTiUUYuSaAmyt,50,https://p.scdn.co/mp3-preview/f766e8b74884ce1564bc617d01fc40931c7589d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Go With Me,0bh6xzc8tnvhrsHlhfdjy6,Patrick Baker,73PTYegu3D1i5vRERzcBhT,Go With Me,30DVwXHvl7t4lg8h97lT2t,51,https://p.scdn.co/mp3-preview/529237fb0929b7e721b0effc48b03db93064fd36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,No Goodbye,5gwLIRjGFf3hXuHoKEsWLg,Paul Kalkbrenner,0rasA5Z5h1ITtHelCpfu9R,No Goodbye,1ix4O6SU7i8W2H6RYb3O8R,67,https://p.scdn.co/mp3-preview/26ecad285328bdc14b1a14fbc3693b53841ebf61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Free Like a Bird (feat. Larry Lynch),2GZZyw5c7jtZUfp5dc53eN,Chuck Wonderland,0huK0tCP9XkZMy5Nv2RrkZ,Free Like a Bird (feat. Larry Lynch),0o6Dm0XZM8XsEkzRXGBKC1,53,https://p.scdn.co/mp3-preview/df541beda724c5e0b5c607b304ea3bf34d71e0be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Wild,2ssDiLvEwzThX6MNstpdaf,The Avener,0e6qzpphJHtObTSwD75mi0,Wild,1ySxLRePAUFGXbOpu05GOg,58,not available
