Zuhause,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,420937,spotify_germany
1,Sink,2BVyCBKJYlSdxic0yVpJ9C,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Sink,0iKUK667rgCwvtAX3YQxCG,23,not available
2,Zuhause,0aHq4pmQth8Ggj5LyFNBn9,Fynn Kliemann,2YIxQoGvBukvoC1CbJ7opS,Zuhause,3zbDngGaU7JAZaILj3xTgR,54,https://p.scdn.co/mp3-preview/b5b09aeefe6e0cfa1964d376a596956dfa4e186d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Seven Billion Faces,3TTSnOxBucySvfFe5CE0NI,Layne Elizabeth,6IdzRunozxePQ14ElzQGtz,Seven Billion Faces,4is8VWDoeKa6CV2Eia8H0S,44,https://p.scdn.co/mp3-preview/9fbc79dbe9903b4cdf0cd372d17e542d6e731a99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Higher,5WaOlLRtpRdDKsdN4UeSTr,George Glew,3841DHBEOAE2ksodVZkV7U,Higher,28elSI74laFCkdLbpaPiLc,46,https://p.scdn.co/mp3-preview/a6eab23c186498f9d09def2ff16e4a3d9d0a33ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Kingdom of One,2XXHKRyDAeY7qGCFAGXXkm,Joy Frost,2EFUUyqF089VU6QGHuG2oa,Kingdom of One,4DHgyxWDFEBAbpgrPizjyj,8,not available
6,It Still Hurts,5AOjkvynaFr4cMEOoNl8nI,Daniel Cherote,7csSxrhzQ6gt4HKwaqQEor,It Still Hurts,6GWcP7ba8JGkOczXqh3ueH,49,https://p.scdn.co/mp3-preview/69432496806f00c12465c79877dcf16db2d07704?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Solitary Soul,5W26VEe4GFv5B4lkd6OYjJ,Michael Leonardi,47BciNwYgsn7PfgwNxfNC3,Solitary Soul,2s9o2k2AshMLwf3WqehUzl,34,https://p.scdn.co/mp3-preview/8e350c18b73f3a5846603f3661a6d44ec35fce7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Hymn #101,6jAnqhGPSp1XGguCBfeFyq,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,Hymn #101,1hIE3IWBdhdDe0nxd6JK0D,16,not available
9,Favors,5e9oGn65NNPPEoe02Xr02s,Wilderado,1Tp7C6LzxZe9Mix6rn4zbI,Favors,4FU28dzBKsq8BfFYMSNf81,51,https://p.scdn.co/mp3-preview/95f6a059413a980ca2f684021301192c214200f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Rain,3CE4qj4eYUZ7IB5qojlmD4,Sille Nilsson,3jLUQS2fcGFh7G9fbf8ScC,Fall Away Into Place,7jHdi1IgUCGYlwofvhuB7S,49,https://p.scdn.co/mp3-preview/3d3f550d63b0ea28421154f4a2d45abfbc998847?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Hard to Find,1AL7FfNpEUtv1FVRG3hMEl,County Line Runner,0ShCbOrdASINL4soMrEGBe,Hard to Find,1pY1W5eLnrUzs2HPmEMOZX,42,https://p.scdn.co/mp3-preview/25fbc32f857f65c7acee787d502a057dbf674959?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,One Shot in the Darkness,1Xf1EOF87ZTQPF8ZiXyfRP,Joshua Hyslop,1I7oHjCjMrMUz66v67yJJu,One Shot in the Darkness,3vHcdgofodCUxSlQ2jzeTn,49,https://p.scdn.co/mp3-preview/ec861797aa7d6ccf30f97ff9ebfb0ea29a72ac4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Honest Man,725idQDxyOq1atgCsutMrS,Daniel Pearson,0yll2u1E5eqktJyKri1PNm,Honest Man,40JBrBKlMu5ENJPnCGflAP,48,https://p.scdn.co/mp3-preview/7d9c53eefa19be2c90c0a71d905c662d97a16b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Made of Stone,6Ijhy1NR2aw1cUdYzEmpYo,Missincat,5P9sPzKeZ0A6OEe3hQAR0v,Made of Stone,2kOf9mki2M1fevtNJcIran,8,not available
15,Wohin willst du,6912TJuNinCV0wZbTK7Qzb,LEA,5Yo5iU2nf4H41waPl4ZnS1,Vakuum,3Ye7DYrKoU2MnqhBJK0ifq,52,https://p.scdn.co/mp3-preview/0c6e1e29ca018c958f46fc142786c94b2c59bcd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Lady of the Lake,1l8mVOB9iv8SMXIE8bq0k1,Brianna Falcone,0pyWaIrZaDsIJ1bbQAT7NS,Lady of the Lake,0eK49k4UXNHCmT9bKbgGVY,41,https://p.scdn.co/mp3-preview/2972562e0a222dc14c4eac0c1c65db5ce79087e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Nur zu Besuch,3ziZ5RDa0q6XAfj40bWsKV,Lina Maly,0VVKg6krYM45eGuevSlcRk,Nur zu Besuch,4FQ2xsUjx0JnV1kq9i0tVo,47,https://p.scdn.co/mp3-preview/24b2f661d56970831ecd005cf8b2c4aa65338df5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Woodfalls,6bYfgaFTmkITAUu9lffNsp,Matt Winson,0eFRQFr1AihkCoBSajGomK,Woodfalls,1DdesHdCQ3eqCj6PhXOOkn,42,https://p.scdn.co/mp3-preview/84ba384f8fe4feddf01d434dc94640059e01ce8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Already Home,2gEa0D0OfYNHNt51HKdPPf,Richard Walters,3rUqgY188kWz0hKkqnpk9F,Already Home,33vqcTJRjikfKLRmMFg3MO,47,https://p.scdn.co/mp3-preview/65a8cce80f3c221ecac36628814637e401e2b20c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Wild Wide Open - (Single),6m5H46e5FXD5jywbEFbWIP,The Senators,3otE1yYNSCVpaQQBqcflI4,Wild Wide Open,2s9VqC5khHStaQVTnROsdO,47,https://p.scdn.co/mp3-preview/19ce6d6081ac405ba8ef05d53348d2458959ffb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Strangers,3kcDzEhxK8pMBPuW2Lka0a,J-pag,2aYamnB3aynwFKHyqh3mxB,Strangers,6vlEmJZNQQptIH8tcItaHQ,34,https://p.scdn.co/mp3-preview/7243db18fa562a5656fcf72587284d041fc54ac8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Red Flare White Grain,25tNezt73WhKDQtbzEDtza,Tom James,7iL5nIeaKFVd8AqmMFkkxw,Blood to Gold,6g6bWrtPSJQhNm7L9DdUPm,41,https://p.scdn.co/mp3-preview/1a2d4ca0f947cd273c0078b2c62f4ad144cdf9b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Roll,0nXQJBEDzMLVaMOvtXGYSX,Ethan Parker,6M7eKplcEZB8f87r2FMo3l,Roll,3zaxYdzgmoxxps2lC8sfOH,52,https://p.scdn.co/mp3-preview/cdbe5b6f54f32f2ea6b50adc4ecdf0b871459864?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sophie - Live At Vondelkerk,0XRWNwzp0xGxc69tDvVBSv,Bear's Den,0nJaMZM8paoA5HEUTUXPqi,Islands (Deluxe),3Wnp0m3IFCyuZ7fJDVkppq,8,not available
25,Still so Blind,6K9vAIdKsPyDpnu4PuJge9,The White Raven,2DnUdcNeCZpstbr98eBImW,Rose,4mfhwz0rE0Q4gM2CYBt6Fv,39,https://p.scdn.co/mp3-preview/368c17dbb64e28e593595ea1e7864fac3102e188?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Hummingbird,2eZZZSbd7OQ6g2m9ww9MXH,John Smith,56GNqAFg9wJNTwcHsJhyS2,Hummingbird,3E5U6w1a0Zw9BDFAzo3giD,42,https://p.scdn.co/mp3-preview/d2106f7af83ca08841e5b5dcd8017065f3f66510?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Anchor,3gAC3OQ1sfaNA1JXfhpt83,Nick Saxon,1lQwtWsVydcggnhGr2sq3T,Anchor,4WnvNvRJAKO9GZF8qZc53R,44,https://p.scdn.co/mp3-preview/ea58bb7f9c25f46e1beab0be921178391bc27082?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Sweetest Thing,696vpg0aBvBxpZAuasmg15,Allman Brown,239Y6QdFqVFfdsw6moqSEN,Sweetest Thing,4YtmwrjMoeVCcVPMSadTsy,65,https://p.scdn.co/mp3-preview/9ab1840672a0925d2714bc4d11542be5308e23e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Almost Home,4AsUAGWIMsZ7Xl5Hc1Fk4p,Keston Cobblers Club,38DmNaPnPBoXtbpFgXZNL8,Almost Home,3wa5A9GyJM4jd3vCvfIby5,50,https://p.scdn.co/mp3-preview/f39b8b1b8922c6f53b11287c0525766888b70436?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Someday,1y0Nh1EeT5k0o2UCHziizT,Rob Drabkin,5WBdJUw6xVIet6nnHLtQZy,Someday - Single,5iFom8tHMFxBoXLWxwNPgK,11,not available
31,A closeness,5ClDPw47BORurTM0yTwuS7,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,A closeness,2uq5e6GHPMlMiEhZ6Y3zQS,14,not available
32,Kind Words,2tcg15FIlGMLU2DyRMYR1N,Adam's Wedding,1scYhm6PrjbjIpaSb64rL9,Kind Words,3jIQlRoMligu24IzDBWo5k,36,https://p.scdn.co/mp3-preview/a56649c695a9caead30e82095718354d0656a95f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Home,3iK2TtvEnhBXHqm0e98dCA,Hollow Coves,7IAFAOtc9kTYNTizhLSWM6,Home,3NHzZL6vpbP5EQr3XuXVxf,19,not available
