Modus Mio,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1256579,spotify_germany
1,Im Rhythmus gefangen,6gKOawgWqBvLXpKMp1307L,Capo,5y9wg9qkGBl0n9v9RzaPKu,Im Rhythmus gefangen,3cTdP7Uobuqc251bifJd92,41,https://p.scdn.co/mp3-preview/c53c75705bb06e90705ee88b8dd31e4e6a580f07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Honda Civic,0WFgtxiLNr99YaoSdYR3Ud,The Cratez,3pVfscwg2QxhdHtk966inb,Honda Civic,6TLzZKljClASxNACc1ZTtZ,82,https://p.scdn.co/mp3-preview/339774adb8ae3f564a60901da265943dad571f1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Berlin lebt wie nie zuvor,2pfio0uHpT4USTPBNeTIWo,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Berlin lebt 2,5vc7GCjUpkbDUodoFc1FTI,79,not available
4,200 km/h,2wvLtM25eMpHK7hkidqte2,Apache 207,1qQLhymHXFPtP5U8KNKsm6,200 km/h,7luwJPM1BvU87SuNJJ1cnO,85,https://p.scdn.co/mp3-preview/d19bbb43c7a479d47dc9e7b022b3933f0d6bb5a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Puta Madre,6cHxkkZ3TZUKsjd13pIO1p,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Puta Madre,6HS9ICTqNbO5KSAEJIxmg7,43,https://p.scdn.co/mp3-preview/b8d2041d49b87cdbf0cc3c5510863dc1a748b7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Summer Cem (feat. Luciano),3QIrkRSTz3yPd44HzN6qJr,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Summer Cem (feat. Luciano),4dJJ3XCSgKkGqpe1OfQcwg,82,https://p.scdn.co/mp3-preview/d31dc9bf978bdd8f4237b91bbb000950e6e5c11f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Roller,5dhQeuLGmlhfwlI6BWfSpo,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Roller,3RJvPSUpz8E4b6SjectOPu,89,https://p.scdn.co/mp3-preview/cb7ceb09ae50ffccfeb5af1ba67df7741b374587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Wir sind Kral,2buwHnmBEyjuxd1fAfT0HW,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Wir sind Kral,5EWHawfUCgUf16DBCDaDa6,43,https://p.scdn.co/mp3-preview/f82af9aee792f6b064669fcf5b6af31f7eabea7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Lowrider,6zltHqh8Xjg6Rr6skelFdm,KALIM,2NJWI8byqTSqDaJRnqJY2z,Lowrider,3fDr2grkA4n7BaXgPbXNtK,43,not available
10,2002,2u8AXJyk8pICzj2wyPBL0b,Sido,4Yttlv9ndGjCDCVLqM7ACq,Ich & keine Maske,3jdqYXotnRgQwG3HTniNdH,82,not available
11,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,87,not available
12,Primetime,1pUaqU8EUStLTqERPzcp3O,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Primetime,5zQdT56mkxwZx08V98cEIp,79,https://p.scdn.co/mp3-preview/1fe84ecd5e471eb5cb0e8b20beeb9814fbeeacbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Augen Husky,5prGTLP3EeAVa7UFXkwF4d,Olexesh,2Z9KL8Zmqx5Sg3cd7Fldhl,Augen Husky,2jfJ4pk8n5UU91PDGQYCKX,78,not available
