Chillige Bässe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,244700,spotify_germany
1,Rebirth,1RIx75Tht2WI0hfYyWgOUD,Roman Müller,3nFw6mPGG5Uj2YS7IyaGEF,Rebirth,2rLgye5cNXdqjmNGADYriO,47,https://p.scdn.co/mp3-preview/5953c60f8de37168518f70ccccea3a402b931a63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Forever,4Apz4uUsEqB7D2rjD5TRM3,COLIN,65Uy8U5VKTrqB70p39OLsH,Forever,3YHvtdaUHUSxJsYtEq2IW9,47,https://p.scdn.co/mp3-preview/96cf767525c91075b7735ece8e9e5351415104af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Truth,27rY9X7p2d2SAgar5VJ6Ic,Heuse,0FnS2UBQERszgo9dRLNdPT,Truth,2K5E4op5MdiKqPhur9tkNi,45,https://p.scdn.co/mp3-preview/023639e490161309863c595d1e73767d68aba9b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dearly Beloved,464L1XSPTtRoodbxiSdO3v,Rolipso,1EtBmvqGOtWnjDgCUFQRqI,Dearly Beloved,4XHsLOO5BTcJfSIZd6Z0ZJ,49,https://p.scdn.co/mp3-preview/7e99afff1cc5b5ce8493e6edbf3c2cc0cdb51083?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Reflection,6ZQvbv0YNHOWJoFatH3lGK,Unkle Ricky,0aiIgteLvFgY1YKmLomHCW,Reflection,6LJi9bnCNEyvhBYG2NXPIf,45,https://p.scdn.co/mp3-preview/ef62b6ba89755bb190a5c6a73eb10f0ad52f99be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,IOU - Instrumental Mix,5S97DbIxYIeWcSWHGUTsuG,JYRA,6reBho1LPAsnLmFCfnDjmh,IOU (Instrumental),63bVGmyMPHC41981CuGIeE,44,https://p.scdn.co/mp3-preview/aa5c7e4963c7e8a291288b775f8f08f91f754b60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Beyond,4gaWmWnGloNZfTDWBvL3lc,Ramon Esteve,7KknJ7RuatGLKZjytEnFK8,Beyond,71i3JPGaViqtbWNx4uv2VW,46,https://p.scdn.co/mp3-preview/ce1f7cd2c1908147c0607c062cfb6a138efec6ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Heartbreaker,1uNvFUA1AizADl9CZEkqJh,Heuse,0FnS2UBQERszgo9dRLNdPT,Heartbreaker,2Ly5PBxOz1oPnJpkYJ2SDo,43,https://p.scdn.co/mp3-preview/3bf103cdfd376f1a04f9ae93613fed45f3c3eb4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Feel That Way,7BPvjPzpRXvRzJNNUCeAUl,2nd Life,2j1Yftz0qNufy1z5jfNYab,Feel That Way,4NxSoUvtpH0LIrEn5WgRf9,44,https://p.scdn.co/mp3-preview/58d4d229c97e7eecb1ee8d9e8f5e160b1dfe1d27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Memories,6l8g6AguJ6SeoLngPrUgEv,redrose,5DDsxWPT3cel3BxAC5oAvZ,Memories,507tJNlBCEDUvg52olj71U,44,https://p.scdn.co/mp3-preview/a1017f1736f90d7f68bc2a9e6428a6be0a3d127e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Zombie,73n5x5KXZ2EaEX2FCF0AYt,Besomorph,619CzMJPPWrCeZwx5qw6ko,Zombie,1HNAOu9QHrfZO4s4cuNCNA,63,https://p.scdn.co/mp3-preview/30e592f7fb4d183bcdd20a786db64f9187b82bbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Imperfection,7N3YM4TB8V5nFlveeSPBzM,Cella,3w7ASanLoAsQcWhd7V9DpJ,Imperfection,66at4mviIEjs8Y5cqy49C9,47,not available
13,My Heart's in a Maze,18rCGFzc5FNnaGPjGvRPRV,CASHFORGOLD,4FzthA7DjutA71z91I1DKX,My Heart's in a Maze,2z2l8Myr9Q1CjMOd6TAFF8,44,https://p.scdn.co/mp3-preview/c41c67152dbe68d3bc502822d6124e16486f3967?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Sacrifice,1WS2qMlArLzI2YMRgaLYQl,Antent,6ovctVkv7d2fBdilDRYfDW,Sacrifice,7iOklzbRb5FW3hEubU0JZe,43,https://p.scdn.co/mp3-preview/62ed68c9925ea25ad49df64449735a462d631764?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Cold Gaze,7bY5w9gJHPjIWFtBRb5mlf,Frauble,3NLk43BYwIw4UnPFevn1r1,Cold Gaze,3kasiTRJXFV6q9FSrN0eVG,46,https://p.scdn.co/mp3-preview/fc95e139867ac1b0700a0b76db130c95a917c3ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Purity,0XIZcNdTYyKGqHtE3MfQVQ,Brian Bradley,6VmaNbGI0pI9q8s5vX97Vs,Purity,57gFD5feXDnCIBwPlcsjeH,10,https://p.scdn.co/mp3-preview/611e124f09edef5e7420b2de09ccb269ca5d6626?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Dawn,0qbTT0s7fOH1FcDHB4MC8B,GODONTGO,2n6PA07g9KICvOuH0BXbiq,Dawn,0c8YIqm9cJOabnDU8aFFXw,43,https://p.scdn.co/mp3-preview/106f87c06fccfde0fd2c4aa06cf6f707359bb10e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,In The End - Mellen Gi Remix,5rAUZy2eDdegBxUVYxePK2,Tommee Profitt,73jlPRxT7z5xk29sMqFDjU,In The End,4ogDiddFmcxnT4PC9lVEoV,72,not available
