Party Deluxe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,698350,spotify_germany
1,All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,All Around The World (La La La),0Y59j5oCvwTM2aNyPb6YpJ,84,not available
2,Instagram,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Instagram,7FTzcNdsKhMe53orWXsai8,88,https://p.scdn.co/mp3-preview/3ab276e3f7066d652e7d631afc55e054de42ad1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Narcotic - YouNotUs Club Mix,6X11GPt15ILRf2dLanQeV8,Younotus,67ghKnycRX6VM1xfqJSMlH,Narcotic (Club Mixes),6yyhVfh3mQtCCaUujiVKG5,51,https://p.scdn.co/mp3-preview/d2df6c8a6d9dee471666b0dd7c15e1b20026627f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hamma! - Single Edit,0W0ooKnuOJHSqp8zZRje7I,Culcha Candela,3gemH8D6fpu12DmTmUZYAL,Das Beste (Deluxe Version),53V1mHiWEve3Q86WWFocqi,61,not available
5,Blah Blah Blah,7JoVRy6b5AqggrBcSQ27wV,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,A State Of Trance Top 20 - June 2018 (Selected by Armin van Buuren),6NkuIBhMPuDsskoAPG4w8y,57,https://p.scdn.co/mp3-preview/34cd292387d7190d8a4a6956675fad86cde01395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,89,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Alles nur geklaut,4MhaF08X17tmOmUcmRq5lN,Die Prinzen,7F0bQWvv3rfV3EubmoQlwZ,Alles nur geklaut,2LuJwzSEFn1rHI1SHLMYbu,63,https://p.scdn.co/mp3-preview/fd2bebffe2f631c9a41091ce3f875bcdcbe1c385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Senorita,5OHOykHs3Ct2pgbqod8uMD,Kay One,6VjbeCqoayiHYnefrisskv,Senorita,7sC0Co4ka745oGeBfB3Bhk,65,https://p.scdn.co/mp3-preview/fe1e8ac8b0a09d4e14378d79e0a4affd66fbaa89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Herz an Herz,1X7654uBsdVKnZAqyIJT7y,Blümchen,1Wch8598BBzU0zVBtcCFJh,Herzfrequenz,6QZsxUU2TAV6J3LTgTk9Fz,61,https://p.scdn.co/mp3-preview/661929e60c2357a4431b45c675c817ce810414be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
