Techno Bunker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1145402,spotify_germany
1,Liquid Slow,6Qp2c0odcvUIN640gVyisz,Chris Liebing,21444lX8gpmOX36icLmbFI,Liquid Slow EP,496wGRSvPBhF6s3KnTxupv,52,https://p.scdn.co/mp3-preview/2979abfbf2e38c8d4aedaf0c3521bc7ab4161ae7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Megator,7yyNaKHvH76G4tohz4cM7u,T78,5FgLkieOqGXPn01dnbJp9Z,Megator,1txZhdk9RtGN51ZR0rkcID,59,https://p.scdn.co/mp3-preview/68ec668432d8d0f2bbabc98aafd29a70ee449cd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Vibrancy - Original Mix,1ubk4FS88dx180KNXHYqWw,UMEK,5Hini2nQyoglzpdKe41cZt,Vibrancy EP,43E7OU1TDX0zSeG65RwLPR,60,https://p.scdn.co/mp3-preview/1e82e46371df5f5febabb84287425514c9045c80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Puffer,7zNxJId89QE1t267an0whO,F-Rontal,7xcEuNcEPzlYUuAKyqfJMS,Spaltung,6noEmuW9oz8FB8iRLGCPwl,57,https://p.scdn.co/mp3-preview/039f89267e5b96b91dbcc3c3f6e0a65997ea51a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Solar,0j9L9SjktAu66INe5p1xVW,Timmo,32LzV8uY2Zf8Nda9Rvjx5U,Starlight,3Kj7Ce61fQl0oRtkJchD5j,44,https://p.scdn.co/mp3-preview/9ea2aadaf639cbd6e8344b2b6adb9a14354879af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Space Date - Pleasurekraft Remix,1lbUtnuS8AYvKd0lziKpJ4,Adam Beyer,1btv9qmIpbp7q1ixCYNdHu,Space Date Remixes,2jPfZOja3YCHgGqFzLTNCs,60,https://p.scdn.co/mp3-preview/18effb045f245bfcefa6000943a199ef419b4995?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Making Sense - Original Mix,37izTFlgGDUuAaUYQjlp5u,Spartaque,2OpUrUeIF1sqWHwSbMPNkB,Aftermath,2CwZWcB9nE6uPnTKv6VfXp,52,https://p.scdn.co/mp3-preview/f83dd30a88600879c71ddd8f43de767dced04d2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Enigma,0d4C1pp4WUWohgjjqpjPS8,William Kiss,2AI2RMWWeOAhkMhrQgxyNx,Enigma EP,52wN4RGKr4IACQZ1pZcivA,50,https://p.scdn.co/mp3-preview/a6c8f0f0efb4bdff98ef7af82815b792dccbf2a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,19 calls,3UIEGb11u2Ll7wzYyC2nvi,Deborah de Luca,144HzhpLjcR9k37w5Ico9B,19 calls,3cWkWR0iFHtso28pbhefhE,59,https://p.scdn.co/mp3-preview/3dd56ceb0614baaf4619f76908255f798b66a398?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,The House of House - Thomas Schumacher Remix,34GCgxeiIduIjLtonQRarc,Cherrymoon Trax,61LAVgfVbkRLgNHEDveOyh,The House of House (Thomas Schumacher Remix),5lJq0hkz74UqGyWzqEfoco,55,https://p.scdn.co/mp3-preview/c2ac03af934d571b059325e87d24da5ee5f259ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Palmer,6lIs2uBG1Hz3D0Otd5mT8p,Jan Fleck,7IibhL4jvUTZqc9IIGEOTh,Ethereal,781siDsCnzQ9U0LCfd7wbt,41,https://p.scdn.co/mp3-preview/8653899fbe62385d7a5dfb7fd27b9aa8e6f6d550?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Approach,0tFyBGnOezYA449BKb1hZn,Alan Fitzpatrick,40JyDxGqtYSowWYT2jaive,They Can't See Us EP,5hHZpguEcdOyY8vLfuNIuA,56,https://p.scdn.co/mp3-preview/52fec1426f61d413b37b4fa0a171e2efc9661043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Double Slap,19I2mi8kcf0fmoDphv1SOC,ROBPM,6QfZgJa0nrIKLwAdso7ai9,Saprei,5eckZl80UblFBSpdZHUJur,54,https://p.scdn.co/mp3-preview/6aee3044058460a9d1c4dd45568447fcf531186c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Raging Earth - Hemka Remix,3FBpvlFh7rcstryFxlxJp8,Paula Temple,4iy2RFU8gIpXF5yaK0l8ZT,Edge Of Everything Remixes 2,0nVDcop1H54lEnYvJhsSf3,31,https://p.scdn.co/mp3-preview/531d48e2b03f82d597a1ccede705e87607a7e6e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Eating Concrete,48jCzxsRfT2J9TKPFG0yA5,Reinier Zonneveld,21A7bhIL1m6CNZn8y57PIZ,Rave Dan,2Yu8EK6aAqvSIj2u5Tp1KH,56,https://p.scdn.co/mp3-preview/fa806a3151c7b5686f58bc98e5f0a5037799d82f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Little Robot,5e0cpLRbShZxK2w3LOR5Zb,Amelie Lens,5Ho1vKl1Uz8bJlk4vbmvmf,Little Robot EP,7ivEKfwZD8xnIgbJL3rALY,55,https://p.scdn.co/mp3-preview/64b49862aa8f42c1be3aa6d579369c97c0e7f1ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Dunkle Illusion,65MK18S2ubwHsEg0sJ3kMi,Klangkuenstler,6H77vD9YyhyxHBTkRpbMBk,Dunkle Illusion,6zpDNZBvMhdbqclD8zd7m8,54,https://p.scdn.co/mp3-preview/b322323e187685d69f5e90f84230f942b06a3665?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Dreams,1grJSZEMFlsvTMXXEIBrF1,Belocca,3jcvzSheHd14vjraXHLGPN,Dreams,4GXdrUAKHkyc5ygVQQX9XF,54,https://p.scdn.co/mp3-preview/3d29d308b7f07891447c73cfe02c0b54a5b254bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Come Together,0d7KQih99OE6xaEFz8lXo5,Eli Brown,5lVNSw2GPci8kebrAQpZqU,Come Together,4i8TDqm3pZCgfkQg7ElqEW,41,https://p.scdn.co/mp3-preview/c0dfc20857e877435ac318a8877e9bdf60badd06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
