Electronic Rising,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,360438,spotify_germany
1,Centaurio,33ysQwA6noeVElXqQVjUII,Einmusik,1LXTXZjheh25pXMEUT9iC1,Centaurio,2YNO12pkN6ipCDtNYwgy17,29,https://p.scdn.co/mp3-preview/023c35e2a5d8d397802666a65a694b2ab570682c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Kollera,0ZrXNuryJ6FYjww6jU6RUm,Dusty Kid,6JGLndnzrQrIFkd8NFha3C,Rages 1992,6v9jhi0WbpnsFSaAAXX1HO,31,https://p.scdn.co/mp3-preview/67dae855146ba6f6d8c9655912cf00c7f8fcf5f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Glacier Point,5ahYWZC3fknDyskfSxWYdm,Solee,0r0m8up7CjS8TJodH2HX7C,Verboten / Glacier Point,6kea0G2yr42oCzGJX5wPM9,32,https://p.scdn.co/mp3-preview/02042dc7146fad4ea61d349088ecf82cb559acdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Believers,3ZGU2JkHEcq2g4OF8YqJpd,Carlo Ruetz,5vDqopi7jF9kQoL6xg696f,Behind The Scene,2EwWAPf6m0VVdwWux0oFFo,22,https://p.scdn.co/mp3-preview/4aa1980ba7cc48b5d53475086d00260109bde84b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,New York - Nina Kraviz Vocal Mix,6MAdWnObmBPjT11Q9xp73M,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,New York (Nina Kraviz Vocal Mix),0QoC3OCIhRJCaIziKdpBZq,46,not available
6,Atacama,0FahKWAviMeKdAtfsETE3B,Matthias Tanzmann,6bxLLapj6NByiP5cr6jMeK,Atacama,7AtqzYZMxqHv00ZSuomVu2,23,https://p.scdn.co/mp3-preview/119827e884dc4116cb534e93eb582c8dd3ccceee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Mr. Grammarticalogylisationalism Boss - Blond:ish Remix,2kwep17xqgulwfkUKKDMeF,Blond:ish,6zsJjoCtL1WByG0VsuFWzR,Mr. Grammarticalogylisationalism Boss (Blond:ish Remix),7xdmvToHGJdLZo6PXY8DNE,32,https://p.scdn.co/mp3-preview/fd2e5a6422e6daef4aa90d98a5388bf6336183d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Bappi,4jHiBP6xFggG8uUuc7u0WE,Jamie Jones,4admDxmnri5Zco0xYrJ0ji,Bappi,6mMFUeW7ng8r7R9cYYxCRS,28,https://p.scdn.co/mp3-preview/143de8296e4e62fb8d318afe3f1d2c1652eb576d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,AfroTech,6Aq0y8GfAHeLrK6zADXGM6,Octave One,0CRfAs5qmkRgw9x9etNGqH,Locus of Control Vol. 2,48wEVrrM1t45H4Oa00GxM5,19,https://p.scdn.co/mp3-preview/49e6e649153b09bdefed5a3b05a08d8b83bc0051?cid=fa83a2fec7c440b7a2795d600d6b2c7e
