Pop Remix,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3018521,spotify_germany
1,Beautiful People (feat. Khalid) - Jack Wins Remix,7fvUMiyapMsRRxr07cU8Ef,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid) [Jack Wins Remix],2yiy9cd2QktrNvWC2EUi0k,69,https://p.scdn.co/mp3-preview/c4944bb413385d86fd1a4c7f1685ea108cb4ca28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Easier - Seeb Remix,6GIRtKNXokeu25nn7U6Hu8,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Easier (Seeb Remix),1N3m1ZId0DMGaCN83haJLs,73,not available
3,If I Can't Have You - Gryffin Remix,1IXGILkPm0tOCNeq00kCPa,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,If I Can't Have You (Gryffin Remix),4QxzbfSsVryEQwvPFEV5Iu,70,not available
4,All the Time - Don Diablo Remix,1z1Hg7Vb0AhHDiEmnDE79l,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,All the Time (Don Diablo Remix),1HoSmj2eLcsrR0vE9gThr4,72,https://p.scdn.co/mp3-preview/561332cbe1dc118decfe60529e5e24bf78350abb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Call You Mine - Asketa & Natan Chaim Remix,5EdYlCWou17k0N1PADLKfO,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Call You Mine - The Remixes,1nqYsOef1yKKuGOVchbsk6,67,https://p.scdn.co/mp3-preview/3184e1e98e93fab3ef0b5d3505d95f03ddc556c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,I Don't Care (with Justin Bieber) - Loud Luxury Remix,6f807x0ima9a1j3VPbc7VN,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2oCs0DGTsRO98Gh5ZSl2Cx,69,https://p.scdn.co/mp3-preview/cfb07e043c8d92d1a70f2c3d008ce966eeb2692f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Never Really Over - R3HAB Remix,2OAylPUDDfwRGfe0lYqlCQ,Katy Perry,6jJ0s89eD6GaHleKKya26X,Never Really Over (R3HAB Remix),7INHYSeusaFlyrHSNxm8qH,63,not available
8,Dancing With A Stranger (With Normani) - Cheat Codes Remix,0GfS3y8Jd7SHWd9R51s7Fo,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2LDzwN4iZ4qbSA32E9CG4Q,71,not available
9,Sixteen - Don Diablo Remix,3jwQwGVERUXo7eaAgL1xAo,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Sixteen (Don Diablo Remix),3J9P04H2RDPOt9rhKqr5Oz,67,not available
10,With You,1xK7enJZVdv37fnnxoZlPq,Kaskade,6TQj5BFPooTa08A7pk8AQ1,With You,03Rd91m56yw4XklwHF9FHq,73,https://p.scdn.co/mp3-preview/fc26c2bf1e69bb7f1602d690f7a60f5c5e6db2cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,3eFJI470ALf1EYjywPRsJy,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],49bXZtlI5kQSqQMSCnSaWO,57,https://p.scdn.co/mp3-preview/7dbdc5127f297e5ceeac2860971400132a8f9ff7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Let It Be Me,69JVxHk5lLPAHdVulVTPi5,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,Let It Be Me,5iQwgvI3wvK5iztUeaWMJt,70,https://p.scdn.co/mp3-preview/a55402035ee286d98b5d00b3ea193286fe1af27c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Body On My,6e0CvGZf7CouOpYF8toXHC,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body On My,2R66I0nzp3NnuUlzIGWQ5P,69,https://p.scdn.co/mp3-preview/7bd13e0e9f13ace348529a8e2222501490e59a11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,55nMnifaQWKe3f9cbwOXwx,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2vx3BtBMn8Ed3ygEg1OT2t,65,https://p.scdn.co/mp3-preview/50db7d9a294791a3161cbf0b57ed3217ffaaa45f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,4sqABRRGU7CzcHXCyxUzFw,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),5vf16sRhXB2f3sS5kteU2T,59,https://p.scdn.co/mp3-preview/c2305c7f58e6faa9a6c1673a65b05c48118a7cb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,19TOAlTFq0NDHvUPQR0tkr,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],3BjxjIkTZKUpeZ6n5MYMNx,74,https://p.scdn.co/mp3-preview/b823ea3fbabf8808b8680c0c2d397d237408fbb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Hate Me - R3HAB Remix,3iJeF2izF1QcpCgUc97BLl,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Hate Me (R3HAB Remix),6e6RVFWdZaoTiLAZOCMnps,69,not available
18,Love Me - MOTi & Terry McLove Remix,7Cvda4zbeXHvQF69GetRdR,Stanaj,3zrUX1hQrUB9aXcOiyQLmN,Love Me (MOTi & Terry McLove Remix),0Eb4cMzFo5goA0OaUZC57E,52,not available
19,Younger - Club Mix,2xKkJIhnmUsGfOPEAc5lIA,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Younger (Club Mix),4nLjsia74UENIcbU3tIXUn,56,not available
20,Someone You Loved - Future Humans Remix,1e8PAfcKUYoKkxPhrHqw4x,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Someone You Loved (Future Humans Remix),7m7vv9wlQ4i0LFuJiE2zsQ,69,not available
21,All My Friends - Eden Prince Remix,5WaXMQMlQpq8pwIdaFP43L,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,All My Friends (Eden Prince Remix),4lXBBbiEgwTzcfAkqdXJV1,55,https://p.scdn.co/mp3-preview/1eb8ec46501a914f9efa440d73c4aa4fa6ad4217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
