All New Rock,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,226599,spotify_germany
1,"Fire, Ready, Aim",3I8Ri6tLa4QA11MMdZywtM,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,1xIgeQeVlMe5fcAVpRjkaP,65,https://p.scdn.co/mp3-preview/2e4803f2d87f1b15fadbddfc764feff05833438f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The One,17vJFIoTkN4MUYrLq90OyL,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,01020225,3pJAJC1AMqlobRSO1PYNFy,57,https://p.scdn.co/mp3-preview/47ec93ceaaa3eee9b1767f57153272c7a6108875?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Where I Belong (feat. We The Kings),6XbmIuDxm4gWpVYoGg5DQX,Simple Plan,2p4FqHnazRucYQHyDCdBrJ,Where I Belong (feat. We The Kings),4m7sJnkRPKWdyNa87dxCER,57,https://p.scdn.co/mp3-preview/0d8a0120f453be9aef799e95b05419b704bc99c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,original me (feat. dan reynolds of imagine dragons),4KzOYxD4qIkUtZV9ZYakGu,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,original me (feat. dan reynolds of imagine dragons),6Qdnzl2AlEZDIeU3AaLnNM,71,not available
5,Swim For Your Life,5GuLKwgYs2odLi5LwK6oKA,The Pale White,3uhfMjcE5HJqMIWh3Iolw0,Swim For Your Life,1E1sUPUBu1m8sT1ocIyD1F,37,https://p.scdn.co/mp3-preview/803639a210a219c239bc810f817efc04579951da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Crying Game,1oVM2C03zy6HU9UAqePMPt,Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,Crying Game,5aLxILanq1pHZAS0LosLJG,47,https://p.scdn.co/mp3-preview/8472af77fb1d5dd06a49a7cf6c60946ccc9d3874?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Easy To Hate,3kOEOG3Du6XtJmSkB7pGaZ,Waterparks,3QaxveoTiMetZCMp1sftiu,FANDOM,7aKMsXKKABZQXKXjQaQHXG,54,https://p.scdn.co/mp3-preview/8178cccc7c263a81d93c18a51fd8bd3ea717d2d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Save It For The Weekend,4ja8f7cLqln77RZscRaMqI,Skegss,3SGLeWc7J5Ve0CinAOrb3a,Save It For The Weekend,0qA94rO22Y4N3tsvzEcq3F,56,not available
9,One Little Lie,1CtlK5ajs2MVmZyq3vrM3A,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,One Little Lie,14VYAGYdnzIPtV5F2JxfwH,52,https://p.scdn.co/mp3-preview/827b6ef3f82162146110df5f4b458f7ed07bd149?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,I Was A Fool,0yLT3sSQU6TkLdlbq0mHm4,The Cold Stares,0hLLs7dOw0Z1XBFFrLSDln,I Was A Fool,3NvKMJA950Tz5xx1CwOoRH,46,https://p.scdn.co/mp3-preview/63a7b18d496338c35c73dd86fe496b826000a0be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,What's Your Conquest?,4e17UGSetEJQuQSDTdWsyE,Black Mountain,00sAr10UTV1JZtHqxsLVn4,What's Your Conquest?,0kCx2NhCtkCG0Xyvz4H8dU,37,https://p.scdn.co/mp3-preview/8d03c8a092117d663d5714500f613b4fc80dd7d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Twenty Letters,3id0RtKsbDcQU8IHftmzsw,Dream State,3PPxT6AXgPvvajfvP1LQtw,Twenty Letters,2D8dP94c32L3JwvnL2CnCm,43,https://p.scdn.co/mp3-preview/31e7b9675ea3b0c9ae1994e0a1a8c45e468a2da3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Given Up,0vJ8N4lMpAOskfblPyIpFo,Milk Teeth,3i7Iv2QAdoCduoIZbWYCyY,Given Up,7xALhk1KFRn5MRdRQp2Ssj,31,https://p.scdn.co/mp3-preview/07dce558db3717cefad25fd98991782986659959?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Backseat Boogie,3L1c1cwqg8hRbehzw8beLm,Airbourne,6urzdpGY5yUimWZsgJUoTb,Backseat Boogie,1IDzaqB6Lpb1Z3Af34NADX,44,not available
