Hitradio,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,378994,spotify_germany
1,Walk,5T8t1yJwAf6Dr6fIFGPjro,Kwabs,0r0KdmVS1Er3kaFnl1KPog,Love + War,5W5oxg0Z2aFfbudPakSHqH,60,https://p.scdn.co/mp3-preview/30466e05deccde0e743e8de4318cb9b8d4e96a8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Call on Me - Ryan Riback Remix,0pXa2yH6kOLPIs6MbTRn59,Starley,02A3cEvlLLCbIMVDrK2GHV,Call on Me (Remixes),7pLKHgYHmugzigrh0HtO2c,62,https://p.scdn.co/mp3-preview/0dc62f1bd52ecc28fa581aaf8ce9b0048263575f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Open Up,3ENfrioOpwovY3HrIAX3UC,Matt Simons,1g0fXhQMHAxlRyIBkCbuE7,Open Up,47juFBLPQJICUDYXq5weqd,64,https://p.scdn.co/mp3-preview/9cea937ebcecfe7bc9916248be210ac2da32f08f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,No Vacancy,6XOYVSmNDjKUNMXooU4s4z,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,No Vacancy,7GxsxPFTZANnpsAONtZlHQ,14,not available
5,Castles,0gzEyaquSUNLBjhilDoOb6,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Freya Ridings,4mxedBslDnsCSdZENEitqY,58,not available
6,The Ocean (feat. Shy Martin),2CPqh63wRVscbceKcPxwvv,Mike Perry,6lB8vOoI4DRrrVxXwuV19c,The Ocean (feat. Shy Martin),4pgNeQfSctryAw4e0uESHe,75,https://p.scdn.co/mp3-preview/1a30aea828638d6c2ca6051a6c2965bca66b383c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Believer,6VRghJeP6I0w1KxkdWFfIh,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Believer,3KzCJaaRVza9FnSsqtAFeO,17,not available
8,Skin,1mS18wsyQxHl7YLZ1Y3mqs,Rag'n'Bone Man,4f9iBmdUOhQWeP7dcAn1pf,Skin,2y6WzlOXpJ82TgxCpsJ0Xx,14,not available
9,Weak,6hOJIMcJghdc7F4DSueFcC,AJR,6s22t5Y3prQHyaHWUN1R1C,What Everyone's Thinking - EP,3cTFxy9GJzdkJL7c1Cxmsf,25,https://p.scdn.co/mp3-preview/9e2b34f1878d0a679853974a6413a364c25a697d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Small Steps,306e44d25ZdX7nIlu6wy4D,Tom Gregory,6Rmg5JiRphFMlhkwGNl9Fu,Small Steps,437Z6zQZRubtLwGxczf3ce,66,https://p.scdn.co/mp3-preview/4ac5a66f1d890177b270d3ebb51883d6eb439494?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",5psDugCQ2V8uayDeSuTvdD,LEA,5Yo5iU2nf4H41waPl4ZnS1,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",3UTg67Th2vtPXWjgfhocFp,69,https://p.scdn.co/mp3-preview/c98b67ccdbb84895f7b6c0e918565d1844e88e59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Save Tonight,1t2Hq2WIBcZINOEnK6mdJG,Eagle-Eye Cherry,3ngKsDXZAssmljeXCvEgOe,Desireless,3P2WRy9eBoBbSTCZWGQOoO,66,https://p.scdn.co/mp3-preview/9659b96f80262985ff8663c46697b4c3d646daba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Change Your Mind,4kOlyvj9WiPrI4zpmzKAeA,ELI,63gbXCha1jpkrJJ9K5gGpR,Change Your Mind,60PSfBhVSZFJj302rOs4DY,63,https://p.scdn.co/mp3-preview/924b2708dc291b8a6e4a2d8c0a6dfc33e3d5d1c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,My Way,1vvNmPOiUuyCbgWmtc6yfm,Calvin Harris,7CajNmpbOovFoOoasH2HaY,My Way,0dzeoQhVNzKkwM5ieOJC54,78,https://p.scdn.co/mp3-preview/33060c2bf30b7b5f6db0d539cdac800e93b0c49d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,An guten Tagen,3bu4iYpzzg2Ww4GUAS1VjI,Johannes Oerding,4I7D65YMlr6ZxVEGPb7q2K,An guten Tagen,1Npj16lHxQ9QrK5F1oClSH,67,https://p.scdn.co/mp3-preview/a4c7e83910934af3273e0431b0e981e42efd4828?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,"Jennie (feat. R. City, Bori)",1iBOPEE6fIMsl7GMMcEyCF,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,I,2DL4AOHc4MKvCHbUr544aU,18,not available
17,La Cintura,19MBk3PbNFE36wqIqkMq9H,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,La Cintura,5Ao1r4qOUoRBUSPovTbKR9,21,not available
18,How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,Nickelback,6deZN1bslXzeGvOLaLMOIF,Silver Side Up,5fKL7vMTXvhR9tov8Kqt3u,79,https://p.scdn.co/mp3-preview/bce58ffc6c70e0fcf2f2c0228f794743a07569ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Wie schön du bist,2xtnnO9bHKXEmsfetO3ldK,Sarah Connor,7e52Ytzjj1q71DUj2cSlch,Muttersprache (Deluxe Version),3ZpOEFd7RgKIcdWOqrzOAc,62,not available
20,Lot to Learn,3TRFq09DUgYj1mug6RRqJW,Luke Christopher,787bCXOIvGeBw0Bc4kEjhD,TMRW,6dgQDrfjCOe7E8ruh1ruWa,67,https://p.scdn.co/mp3-preview/7a56116f6d0438e1ebdde2e4ba9f675ab13549ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Ghost,4XPWKmy05Rcff6TLHNoNF8,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Chapter One (Deluxe Version),6FM2zi33hm46NY9mk5jIV8,67,https://p.scdn.co/mp3-preview/5aec6594c100b2f7fe651039326037a33f74e71b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Too Close,4VySpxhRGy32u5zPCprzDn,Alex Clare,5Tf4EH8tDvznnjULcFxkIl,The Lateness Of The Hour,1EOD1KDQlcbuFqJFx0XOuQ,62,not available
23,Fading,2RP8Svo0pMwZXnVcmOffDw,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,Fading,6ZaQeprwD7KA1yLERV2OUW,71,https://p.scdn.co/mp3-preview/3b5c1bebdf2addfd926038d7609a88caaa740c93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Shadows,49yEzGIhEiJunHvwcc0y8J,Stefanie Heinzmann,0bm9qSmVJmT9CEukIhhZY5,All We Need Is Love,3dgndujJ33jYeq5xc0QO5B,60,https://p.scdn.co/mp3-preview/701be75b12a154768549363646144f76359a9e5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Paris,15vzANxN8G9wWfwAJLLMCg,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Paris,64vx3cUb97lQGlgt8zozWL,77,https://p.scdn.co/mp3-preview/2524797ca9b06a157f21199be68f0f0e94f71661?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Leave a Light On,6lOWoTqVnAWXchddtTH31W,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Leave a Light On,3pczowjToa5SYsI6Th4KO8,76,https://p.scdn.co/mp3-preview/1f0dd349b1a3898c0f7466a95fa437b1c77928d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith),2tpWgbBdzjkaJVJzR4T8y1,85,https://p.scdn.co/mp3-preview/c78e0a33c394091314b35a2fd42b0102cc8fb1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Little Help,3uQp3pxHqAcNTREQeZrbkv,The BossHoss,1sICjVlCMOCah0snHXWUz0,Little Help,3eiL5eXnglxjhuRxG8ZoNW,68,not available
29,FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,64KEffDW9EtZ1y2vBYgq8T,FRIENDS,1BmxOYHjQv1dKZRr13YRZM,85,https://p.scdn.co/mp3-preview/99b833cf96a8b56040859443d8688a2e322c6667?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Be Alright,0YZLXTaHLcgl5UdtKDiUXD,86,not available
31,Final Song,4qqArAiTPueDxIp7cf87h7,MØ,0bdfiayQAKewqEvaU6rXCv,Final Song,2gcqSlK5xTxcpuLZ1iik3Z,72,https://p.scdn.co/mp3-preview/148f0781d2f66f3f2252fbf18cd8b46f90a34763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Joy,6Tt1P5CLUrl59oSOTVxON0,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Doom Days,2QzbL1DICo4xZnWr8Sw4fF,76,not available
33,IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/d8a0e05a79451d12c6cb5425c50c8d2ff00d4705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Solo Dance,3R6dPfF2yBO8mHySW1XDAa,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,Solo Dance,7J6SYqcOQ705IYA0DUec38,67,https://p.scdn.co/mp3-preview/76414b590c5de583123c339afc983f9bd840634f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
