Deutschrap Royal,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,939174,spotify_germany
1,Roller,5dhQeuLGmlhfwlI6BWfSpo,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Roller,3RJvPSUpz8E4b6SjectOPu,89,https://p.scdn.co/mp3-preview/cb7ceb09ae50ffccfeb5af1ba67df7741b374587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Tilidin,1VEMUkGFio5uURvN8x1DZJ,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Tilidin,1hgTRY8gTrfHGVfCAFBXWd,81,not available
3,Eiskalt,52UVKsw31NTOCTNPTpwbFJ,Loredana,2Im8m4STDBosjfmb5hmP80,Eiskalt,1X8ggfiXeKkGhGp4zAxQcb,80,https://p.scdn.co/mp3-preview/823e6b41d1c27c07661f33dbedfc62018fd4d922?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,cOcO MAmA,0oOPa0AlLnjCO6eci0HIdH,Dardan,3pjq2pDV9RR6VY55wBjVnp,cOcO MAmA,5be2Yd9oHE7DfdwUsIpa2N,70,not available
5,Lambo Diablo GT (feat. Nimo & Juju) - Remix,3TMW1GOB1lsmvf8er2dE8g,Capo,5y9wg9qkGBl0n9v9RzaPKu,Lambo Diablo GT (feat. Nimo & Juju) [Remix],78SjtioGS10lFchsD1XMH4,70,https://p.scdn.co/mp3-preview/b637e92939e0388e68524598af58cb29509009f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,200 km/h,2wvLtM25eMpHK7hkidqte2,Apache 207,1qQLhymHXFPtP5U8KNKsm6,200 km/h,7luwJPM1BvU87SuNJJ1cnO,86,https://p.scdn.co/mp3-preview/d19bbb43c7a479d47dc9e7b022b3933f0d6bb5a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,87,not available
8,Jetzt rufst du an,5opjywL6TBjJRF22TcFDMo,Loredana,2Im8m4STDBosjfmb5hmP80,Jetzt rufst du an,046InGzRvfWK1iWMJNKeBL,76,https://p.scdn.co/mp3-preview/a867adcc5b85bcba0b975d05d8a9192c3c5cfc63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Trance,5eA0fLfQRw9WuX34ZRPvAT,Qzeng,2741XFBjSCs37MjhGaGkKT,Trance,6N63t6SqAxXZ97XYNAuyif,70,https://p.scdn.co/mp3-preview/7a071c90967fa334582377ab619b4f14ce21a383?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Barrio,3mbGX2yy83BtCiPO59mE5r,Olexesh,2Z9KL8Zmqx5Sg3cd7Fldhl,Barrio,1P7Blp133JaG0bqG2oiNH3,71,not available
11,Kein Problem,3Zigq1lfHmFRlyoRrh9k2s,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Kein Problem,3t8Ay5wZfH4NTm4bCj6LAN,79,https://p.scdn.co/mp3-preview/c566c9e21ef1edb869162f12da3ec1c6cabee41e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Wieder Lila,2kkcJ8tSDV42LdWcPjy6We,Samra,6h1s4i4XKIYv4ErDelLDN0,Wieder Lila,2e1TJGCwd9Q5AIvA78yD00,79,not available
13,Mary,6BZhkqUtaFJm57Hm5TTQSH,Bausa,13bDjug9N0pyv3ZUINjkDV,Mary,2BrHCT0Kr9iTtenBGa93XL,72,https://p.scdn.co/mp3-preview/d07439f423855ebcf2d079f25c933840f8916496?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,La Haine,2AHJLtc81zIfj9EKcVEzmJ,Luciano,3CJKkU0XuElRT1z8rEtIYg,La Haine,1sSEjB1cw5aogoyZrZc2H4,71,not available
15,Nummer,7HCTUZPqclRvsiefXWwyFz,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Nummer,3Ju5XitdRwtzziWPj4KuID,73,https://p.scdn.co/mp3-preview/9018de0b11a220622db50ff5e74bd631f827fbb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Hi Babe,6erIvryBSsAdebNU4a7Mrs,Juju,4sg4no0TXdsrM1s4SVUwNF,Bling Bling,7FUJDqWr0PvHJyIJeCsswA,74,not available
17,Diamonds (feat. Capital Bra),2QpxC2yag7Ec7Ut1dovXKb,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Diamonds (feat. Capital Bra),178ijvdr9h0bZSioIxRFKv,77,https://p.scdn.co/mp3-preview/7f15579652b84812ddf03606106fdf5c77051fdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Alles was sie will,6kmpeu6dXy6DPjOHv3NAeT,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Sie wollten Wasser doch kriegen Benzin,0sVQrIwythyuM0G6uLcqiy,68,https://p.scdn.co/mp3-preview/09b7b3e2c469153e7ecb267668b609948de748d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Deine Mutter (feat. Nessi),4y8xXLG9O3Rbl6e1KaNRTG,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,KKS,04TM4lYgmoNMKpJ7Tgy52K,68,https://p.scdn.co/mp3-preview/ae7c669b22fd50d2b2086f0354bd55da4e501c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,500 PS,641R77CBy4bOLGRcA9sgHy,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,500 PS,5fqNFmrbjOmQCWPpgZ7oyc,13,not available
21,Brot nach Hause,5e0bzcsI1khimLSJhddHdS,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Brot nach Hause,7z0WAiwWNGBFxqSJ18FSXK,75,https://p.scdn.co/mp3-preview/b13e09da6c422f7e9eb491601e0f57651ccaaf7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Viva la Dealer,2vuFdbSOLje3khV4rLSEpm,SDP,1EfwyuCzDQpCslZc8C9gkG,Die Unendlichste Geschichte,1V4bwat6ipZpvoJcfu0faD,72,not available
23,Blei (feat. Veysel),0Cy2x4vkNHiZ2Z3XiZE5Yu,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Sie wollten Wasser doch kriegen Benzin,0sVQrIwythyuM0G6uLcqiy,72,https://p.scdn.co/mp3-preview/8d7c2d66b045aba8b55da7579af93f26b3cf1922?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Yallah Goodbye (feat. Gringo),70zRDnEkOhVb51fZA13khd,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Yallah Goodbye (feat. Gringo),7tWDEXNaCfAlbOEb1Ky0oF,74,https://p.scdn.co/mp3-preview/6368be6fdedde204abe235e974f4c12b610f4597?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Perfekt (feat. Sofiane),38KR9aB0bPkjM4gKhKr7tr,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Perfekt (feat. Sofiane),6r0bCXNhQg24qOwmH6DyTz,69,https://p.scdn.co/mp3-preview/8d8760cf8abec497954e1cfe71f35e0c0ee2c4eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Kein Plan,1skUhc3JS3jLCfugI3gm41,Loredana,2Im8m4STDBosjfmb5hmP80,Kein Plan,0a4KL551wKL7l8O6xU0nlB,82,https://p.scdn.co/mp3-preview/b19d69a058bd8ab5fa42b794148b1bf7959ad2bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Prinzessa,7r55d7IhAj5UGKiYbXBwRP,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Prinzessa,0065dqIv0oHpm5UWFLI6wx,68,not available
28,Letzte Träne,1FuJKBi6XdFyf8Yzmck468,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Sie wollten Wasser doch kriegen Benzin,0sVQrIwythyuM0G6uLcqiy,73,https://p.scdn.co/mp3-preview/1111c5da07f8dbbc4cfc3517775fbc598a6e7d22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",4Nip6oiJU24LqcUEi7u19S,KitschKrieg,5tHiL8SKSaZGMBUPIiSmX4,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",0IMYs1QnMk4KiNktHDsOEn,72,https://p.scdn.co/mp3-preview/6e71a6259f00baa4ac4ec9587bdc0c9bed4d22ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Neptun,3GmfHF5RUe6r5C9UbvIXQp,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,Neptun,2T49yncesC5BoZ7wEyZ4tu,74,not available
31,Gib Ihm,5iIgIxtMNeogKaFUfvuAbs,Shirin David,0JBdTCGs111JKKYfLqOEBa,Gib Ihm,6UuswrGTcbaffqBNo4savv,70,not available
32,Wir ticken,1mdJ39D1lrR3aWIOhgeNaE,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Wir ticken,0nP0QobRjIoQoSO6slkuO0,65,not available
33,Genick,1AGjF8pckOxTGeb5zubyqH,Loredana,2Im8m4STDBosjfmb5hmP80,KING LORI,0m9pMIOYMHxRj6E9IRFacP,81,https://p.scdn.co/mp3-preview/543e8de403cd1af7df2b1131cacdad18db5a97c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Du weißt,2e5o25udr5nhMuklOTZUME,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Du weißt,2wYg9CCGsBpMs4LARk8Fi8,65,not available
35,Vermissen,07f2b3CTdgKKlhv0mqUksz,Juju,4sg4no0TXdsrM1s4SVUwNF,Bling Bling,7FUJDqWr0PvHJyIJeCsswA,73,not available
36,Wie im Traum,3ld409h4DdrdPJzEdeU1WS,Ardian Bujupi,0pOruKWwgyqSLZhn4Xovs9,Wie im Traum,30GCBq8XDEQJu0rorVaR58,68,https://p.scdn.co/mp3-preview/3c14d2529076a6d475ac50f2a170691d14e46bc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,DNA,4BD9yUEFI07WaDJ381DDMq,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,DNA,0vH3On6OIWronQ04dLbsBz,70,not available
38,Marlboro Rot,4e6l3QGj4RZesjDLVqYk3H,Samra,6h1s4i4XKIYv4ErDelLDN0,Marlboro Rot,1CpbyS9rDSGFSvhSymcXip,70,not available
39,Nautilus,7IkZpSOJKGXCGhqAvHs7FG,Shindy,5j21TGkrNEAJe3gG9VlS34,Nautilus,4241ujVBEoKy1aWRWFyV5z,68,https://p.scdn.co/mp3-preview/6e3f8560058213ada5babe2588146312e1e51a31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Adriana,4G3gFk4oyvt8klQEVJBzea,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Adriana,1BLoY0XQ3Yywsbk2Xkl6aT,81,https://p.scdn.co/mp3-preview/d226e48803dc42f4f264a6d9327fec44a944b50b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,gENAuSo,5nmVf5dSgH4A25qsev28Mi,Dardan,3pjq2pDV9RR6VY55wBjVnp,SORRY...,24hHNi75352fzhqiorank2,80,not available
42,Cherry Lady,3r1cV21xPMkgCmxk8VqWOB,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Cherry Lady,5TJHYApAQ36K9GaLsG8ZSz,32,not available
43,Alleen,3UDsmMZsEMsvM82OcdqJWu,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,Alleen,5Tr8qCHTxdjOpKB7hX40yL,65,not available
44,Hardcore High,4qX18Am6dJZg0ovgddL7w6,Juju,4sg4no0TXdsrM1s4SVUwNF,Bling Bling,7FUJDqWr0PvHJyIJeCsswA,67,not available
45,Shot,7yosVOH7pRWrKANBDbsBqI,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Shot,6hxq1kiwx8mLh3Es8kGIRu,71,https://p.scdn.co/mp3-preview/2abd1d3ad0470d09206d37237f0d3cf1ee77abf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,UP IN SMOKE,01vR5Z7AHinp9D2wu2BNQS,RIN,18ISxWwWjV6rPLoVCXf1dz,UP IN SMOKE,6Zq6DgJmYHyHtZbM9DhOPJ,81,https://p.scdn.co/mp3-preview/e7e2971fd976911743aa10a3f0937dd44e4745c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Nummer 1,3drwaFqLSEjqzjNRbjap0R,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Nummer 1,4r5dAGL40wuZHyaIEZfdIP,79,not available
48,Vendetta,28r8yfatcoOTY7ZjqhKaJM,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Vendetta,1EROO7SNmZvPrCgtoY8vji,76,https://p.scdn.co/mp3-preview/e0facb7d74e9623056a901325356c53390c6ad84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Nur ein Grund (feat. Jah Khalib),1t7cJh7t5O5pgwkjZJv8pq,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Nur ein Grund (feat. Jah Khalib),7qcEskQXNPIdG7kYPOKJg5,19,not available
50,Energie,13d0lM7B8ermJVn9C1rOTD,Sido,4Yttlv9ndGjCDCVLqM7ACq,Energie,3klFyS3JecQW1eE15fqKjh,70,not available
