Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,175220,spotify_germany
1,Badlands Train,2ZdD734d65deIKqH6pJkXi,Stubbleman,0Fu1gmQ4PZ1S5anr0l2Cov,Badlands Train,74fjGUdVhFWF976Tnno4Vj,41,https://p.scdn.co/mp3-preview/64bdbfe65763bcbb174e4c493373a8a6fc4c4c1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bloodwork,3iCvLAdsFiqlnusTzGSG64,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y,Life Of,6dYkIcKYqvb8lNB3FD1dAC,36,not available
3,Broken Hearted Kota,3JV9KTvErBJzQi9Wcr7ouR,Joseph Shabason,7xoTSPGUr9u8FWR4G8AWoS,Broken Hearted Kota,5lMXsZtAMCRodyRAeKvDjt,42,https://p.scdn.co/mp3-preview/938eab8c0964dc4d12bbe6cc34ca08177e0db58e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Spells,0dIg2sKreVGnWJPSPotagc,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,Encores 2,2C2LdCgWMw6MkJ5RGJi5eg,45,https://p.scdn.co/mp3-preview/700f8cdbb6ce8c412da27cbfd1869021b6c7a0ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dalston Junction Feb. 1970,3PAubbsJ8CQoIqXlVgPRZu,Al Gromer Khan,7sGvSRxJMoJdO530qjic7H,Another Kind Of Silence,4iLZcdUa17xrCewSUiBffU,35,https://p.scdn.co/mp3-preview/9a44052be006ed6988653f262e063155966edb21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,The Colours Of Chloë,41IIGbcmsYDgZYsgyyKg6Z,Eberhard Weber,2BPSfZHtSYon5DKvp95xXT,The Colours Of Chloë,6q8vN3Qdyxk6o1fGpY64qz,54,not available
7,Introspection (Edit),5JVtVJFun3pgNdDlUQlkOm,Laraaji,6sd3qv6kReAdo6WsLBtXX4,Introspection (Edit),3KqeFM8PuKvoOHzVo1oxmZ,44,https://p.scdn.co/mp3-preview/d1c6767cd8c00bbea828d593f8e3469394e92e6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Concise,4H0wNqcWYEZBW94oBygF0k,Roedelius,7v5E9zviGMsOGHRdMVmhDc,Lunz 3,4tTZ05DMgT3Y4Mpc72AyLC,29,https://p.scdn.co/mp3-preview/85879315c10585e89b8d7f6eb454b161a81a7307?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,All Armed,0ah4k1jXcRFprzr9MhLrI2,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Armed,6flex5uD7IKBXiNDNvUWwA,48,not available
10,The Unquestioned Answer,5ftgOffbWhT3hYtQXNEPou,Laurie Spiegel,5ixSn3H9wbdWQxcf8qEKOV,The Expanding Universe,2rD0SKiBImTKNhRtRVLsdU,37,https://p.scdn.co/mp3-preview/5ccdb939d2c5b0ec431b0f89739012fe7ce22a0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,O’cean Dream,1By0PJ77a8zPaPN8Xi0SXH,Matthewdavid’s Mindflight,6QA05gHLqWpw4hMPqcuHD3,Trust the Guide and Glide,2OUnArCKNtZoMZef1WPzVg,37,https://p.scdn.co/mp3-preview/5ee432f6571e08326c75cc09439712c2f587e35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Cliffside,5R76xMp2qvsV3VKUGBc9mG,Hammock,0VOR7Ie9xUSb45fzIIVJQ1,Universalis,7FvkaK0tizVHsWRcVP5WO5,5,not available
13,Over & Over,4jbmBkyBit7Geqa5tALgWf,Seahawks,6WHCgS2g18qWw45K66DdRZ,Eyes of the Moon,0pmvwDNcm1CBWIwOYsiBDB,8,not available
14,A Place,2j1tj1GQCDCRM5tzLQG06V,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Melody,3MH77JVM17CEdDLz374t1e,6,not available
