Deutschpop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,397443,spotify_germany
1,Wenn Liebe kommt,1MEpVyXTheTBd5J7l6Jliz,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,Glück,4gJTy9zfnHtlwl5eNSaLok,47,https://p.scdn.co/mp3-preview/35e3a053a7e01ae19e9bb234ec909a54b193449d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,194 Länder - Single Version,6kga9ZYARzHBprnLOENrMQ,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,194 Länder,0L0xCOeLaNEErHE74qOfED,65,https://p.scdn.co/mp3-preview/225b9d321c72372c20f1941186a148ea36235191?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Pyramiden,7BQPDR1Zze52cysgBnUC3X,Sido,4Yttlv9ndGjCDCVLqM7ACq,Ich & keine Maske,3jdqYXotnRgQwG3HTniNdH,68,not available
4,Hoch,4SWu9u2dLzmYa8dMieyayQ,Tim Bendzko,3xDVmZmDpaF1uuez2N7mKl,Hoch,3zB1yfRc2e0vMayXMi48dS,77,https://p.scdn.co/mp3-preview/ee56a859c14ab29aa75e5bb5ae0efff2e0826a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Grund genug,2nVZMVp0CS0oBXaekiAfKM,Madeline Juno,6u8KyY2rfBGDtDejRJ9JaQ,Grund genug,3fbJQ9OiKVTGpGKZiuba8w,64,https://p.scdn.co/mp3-preview/fc3d5af98ff99822bdeabcfc8f1ca3a742a3ffcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Deine Mutter - Radio Edit,2vr0CMTmtUgqX3HcYGBFmZ,Gestört aber GeiL,7KAGJwWQQui8b0uqwXRkSr,Deine Mutter (Remix),4Bzx7he6GT4IRzRcDpwFyu,52,not available
7,Einmal im Leben,5YOKXGkBdTHpGhnBUtVaFH,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Einmal im Leben,5hDhVnDbpguNCpD6cnAWBG,63,not available
8,Das Krasseste,2EBGqkvwUdQN2pJOMEU5jN,Glasperlenspiel,2UFKXTZgKtOTHSqMSyAcLO,Das Krasseste,3d0fOY8d14feKF8sPyjd7M,46,not available
9,Besser wenn ich geh,3kxKFs7wTi10kxH7tF62lC,Fabian Wegerer,3O6oippEBKDR0OJDo6O1cZ,Besser wenn ich geh,3jbr2P8lB6LzEEODYWdDvQ,56,not available
10,Chaos,74GrgSGucjqiQ0l7ptknoB,Mathea,3r5Kc95Oz8lDc8BL9ChO7n,Chaos,4ljSedcve5SYcWVE3gHqEk,68,https://p.scdn.co/mp3-preview/143ab5f7c216df3775ea9cf0fab227587c762f2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
