Gegen den Strom,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,49256,spotify_germany
1,Integrity (You Don’t Owe Nothing To Me),1iOHKGRFCPelf1fn9fuxwo,Seed to Tree,5eTXENvednmXhr6r5lUWhY,Integrity (You Don’t Owe Nothing To Me),58nE6EETwQwUIWAgxuzctq,30,https://p.scdn.co/mp3-preview/1be1b9dae58ac5dc4bc0f030afbee0b8045dd79c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,What If,1XNUvML4BnFQ5tLB9JANQK,Bodi Bill,59gwvK7CZtQKvVp0gWtILy,What If,0PoqSOk87uOSy4pUUN2vIZ,40,https://p.scdn.co/mp3-preview/6bb3d0b51901c21ff306e178581c280cb7964438?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Fall,56rK9xmaRMIIbN3VrMqCjW,Like Lovers,0puXK77dHMF8fzrgmov6MF,Fall,6ppzHVrjS3V78EjbDtZevB,30,https://p.scdn.co/mp3-preview/e95915bdd1b6a2cb2b00078341b1e760c820155d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Swarm,2Ex1RVTmvIZaYKWjibYU8Q,Wooden Peak,2Rj13fCuT598oDDz1wqvow,Swarm,3fimat96oRvB80G34CMccK,29,https://p.scdn.co/mp3-preview/46bb6a90ee39d0262dac241e919c368f31ac55dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Patience,0PAvhAZlsPkg3BKphYhSxL,Mogli,1E05B8q4mGKUB0n8Ag0Q7c,Patience,0JxxmJFCNLIIhyqgTqHZmy,38,https://p.scdn.co/mp3-preview/d6605c013fd9e3e109d02451332377734d892b62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,January,0NS7DFpw5PfCESUJiNRe0n,FINE.,4asOB3NDvX82XNePNZpqQj,January,6SHmCkxsGQjLNp5XKCafjo,37,https://p.scdn.co/mp3-preview/1a220b50b9ff37206b625eaf4eca45684b2f0a0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Flesh & Blood,5iAypnbVd7h2It7jy3oS0A,MAX RAD,2Igm79AVp3dCbQhfF6I60Z,Flesh & Blood,1LvvrI94tOqD1yCECOeaFW,40,https://p.scdn.co/mp3-preview/fda12ce4fe6d138bce222364decd16aec8c831a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Pictures,22vGzxSgya6hKIk9SQMg4o,Ralph Heidel,0bMg0IViAwAYQ5WUenR92H,Moments of Resonance,66eGZlNQzpW6ryuzFm0iwA,21,https://p.scdn.co/mp3-preview/8f36cfe97f979b7de83641b348348ca7085bc12c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Rusty Strings,2vGVua096slel3Zw92MRXD,LUI HILL,3fuo46vtxoWxN4jo0irBTS,Rusty Strings,2Yl9Ki4VTsuHjV3wNIczfb,32,https://p.scdn.co/mp3-preview/39738b7121497bd07c8b25efcd310c13575c89f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Forgotten Ghosts,2e1oNEAXGwSUUk8POfaw02,Jadu Heart,7vjRpVXoecwKTEsrb9iscj,Forgotten Ghosts,4QI9eafpsgg6eCUK0m06Z0,42,https://p.scdn.co/mp3-preview/ed3a397696226caadb4f30ca31f3bfe1943bfd5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Drastic Measures - Single Edit,0nMwcep8TzjPqokMJ19t2z,Bayonne,6BbqU3r1G2mwkRIfIbkCek,Drastic Measures,2KBHJWhqz3ohObURbhXaKe,39,https://p.scdn.co/mp3-preview/54164882c7eade7e73fe947b1e3ec3607d3ebee6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lauf,57KN0qKyDZAFLFu7WSA1aV,ALLES SOLAR,7oYqhJ3oUvX07uuUSTgp7Z,Lauf,2mPazca4DIcJlDlQ2hh6H5,33,https://p.scdn.co/mp3-preview/7aeeaab496ab26459c769510e2aeae4e3060bb41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Within Me,10NUaZXUQiYdqMbRhK5FPs,Seed to Tree,5eTXENvednmXhr6r5lUWhY,Within Me,66eGrkddQc5C3eAXC6scSu,32,https://p.scdn.co/mp3-preview/5560bcd3fbdc4e3986423bd8c3fac56e5803fefa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Waiting Line,4bSFgtC0MBzGO6V01fuuHb,KOII,53qPO5I4houQbBukv05Rls,Waiting Line,2uacd3zSkKE8pLwzEnjuwZ,35,https://p.scdn.co/mp3-preview/8828f7a269ae189623676221d7ef8d13d33bb36f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Phantom Studies,5V5g4ZlQyjiswa8sC2CarN,VARLEY,72bbAAM5Iz6gsbihCr1Gvc,Phantom Studies,4ZjpyPIWQH9AknTKhi1e3p,31,https://p.scdn.co/mp3-preview/cdcf1afc37c2c803c78115a7e284c8bfd6c1e302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Into Waves - MUUUN Remix,6fIqj3bqDFtBLUCboX84bG,A Little Nothing,6NNQ0216pMjyKkkBANKRXl,Into Waves (MUUUN Remix),0cfSkyv6oVYjdJirZUC0dg,45,https://p.scdn.co/mp3-preview/297bd01006b8ed8e482cdba3d4fb6bde70fe258c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Luke,40CmJMjQvBP0frmdb8lMtb,Woman's Hour,0X4ahw9q93rwIg9QPUwKAk,Luke,7t80ZtS0lRMqlWbZ6solyc,31,https://p.scdn.co/mp3-preview/6942dbba5df093bb431928c3fa01056732902c0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Catch It,2apEIK0QC6HPHOGtkIDfxv,Andrew Applepie,5BYcwjrQth7em7maAt0yKE,Catch It,0S1FaBbE4oXbIaEeHR6UgW,49,https://p.scdn.co/mp3-preview/2ec8d18a8f4d6ea4d6dc00dbc76370b42720f74e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Running out of Time,0XFYtI0ggSqcsklslxJ7IF,Felix Räuber,16msWAQnQ3L2GIIWPSVcfL,Running out of Time,0uJry9aCwXg7u2fmUhvL72,26,https://p.scdn.co/mp3-preview/65fdf5cc707fe9ee117d0acb0acdeb91d05ec2d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
