Hip Hop Mixtape,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,595473,spotify_germany
1,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,96,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Saint-Tropez,7C39RtGhnEw7cyf0Pyw7PV,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,83,not available
3,Behind Barz - Bonus,4B7fTyj1FIPvP9tT5X3DnR,Drake,3TVXtAsR1Inumwj472S9r4,Behind Barz (Bonus),7dkkh6qYHqduXSWQFhmQ0i,80,https://p.scdn.co/mp3-preview/73e9e47faa119ff50413dc7068362cbc1aef6c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"Do It When I'm In It (feat. Jermaine Dupri, Ozuna & Slim Jxmmi)",3iuDZuKpdLI8aQlqDslRDm,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,"Do It When I'm In It (feat. Jermaine Dupri, Ozuna & Slim Jxmmi)",4Q5d9redCwaa0G8EruQ5Ra,50,https://p.scdn.co/mp3-preview/de646fe198e2e20858cc2eda7b757ffbd044deb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),3t6Z2qoBVCS4NHNI25XECH,88,not available
6,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,STARGAZING,7wBJfHzpfI3032CSD7CE2m,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,83,https://p.scdn.co/mp3-preview/d2d23f9ea674dffde91d99783732b092655ccaf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,3TVXtAsR1Inumwj472S9r4,The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,93,not available
9,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,20sxb77xiYeusSH8cVdatc,Championships,6UYZEYjpN1DYRW0kqFy9ZE,87,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,No Stylist,04MLEeAMuV9IlHEsD8vF6A,French Montana,6vXTefBL93Dj5IqAWq6OTv,No Stylist,0DMvfJWc1DjSbmnJF1NW1o,80,https://p.scdn.co/mp3-preview/7bb40a00fbb1e258c4097856429b45ac02fec09b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Pure Water (with Migos),1ypNy6o0C2ZbuuPPYkavVl,65,not available
12,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,87,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Freaky,0NJp8GyCOWnQh71xKSPfuV,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Freaky,0JDoNU0AZ54Ng8e2iPTKRs,75,not available
14,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
15,KIKA,6Gy7rXB6Ku5vIWC7WGWsl3,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,DUMMY BOY,03KcW1ZhaSnj8pIk1LUNQs,41,not available
16,Girls Have Fun (feat. G-Eazy & Rich The Kid),1NHlyKgtR4roNylOhidKSv,Tyga,5LHRHt1k9lMyONurDHEdrp,Girls Have Fun (feat. G-Eazy & Rich The Kid),1KLUE6sVMdRUxD3MRUyS0M,72,https://p.scdn.co/mp3-preview/b89220377571b48e6fb28b30ad3305444b801372?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Creep On Me,1MUL6DO2gVimj2YrVedubd,GASHI,0JOxt5QOwq0czoJxvSc5hS,Creep On Me,2NK3KTJzSc3zW8DUwcW9Uq,71,https://p.scdn.co/mp3-preview/09ac98d131b52bb690dfcf50f621088e7d33b842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Panini,68poZGRClFTzLdeRz9X0M2,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,3ubteGlws5KJiIDSn45zz8,38,not available
19,STUPID (feat. Yung Baby Tate),6qNB2ChCVPepl5ZjVJJTUW,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,"Hi, It's Me",5eKuModdAdZRmc51241r4D,78,https://p.scdn.co/mp3-preview/61b13f60bba8b0c04cce0cb5e34a3c9e06482610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Haute (feat. J Balvin & Chris Brown),1jlnBQGP2DtSEhMgQaz7a7,Tyga,5LHRHt1k9lMyONurDHEdrp,Legendary,6hHIX3lfGKnZ2ji41YZMVV,70,https://p.scdn.co/mp3-preview/aed71856078116fb932617c5c3eefbe9c6a6a1b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,89,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,89,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Blessed (with Tyga),5imCvF3VHty1TZ0qaE1JEj,Shenseea,1OFOShsIbhy1l5x73yuVyB,Blessed (with Tyga),7aTeShQY6NnCiFmjYluvcl,70,not available
24,Ransom,1kBbgxAUc4HQv7cgIayIDH,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Ransom,4Mz9ZCE83IiaVC9ejMqxky,87,not available
25,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,FATHER OF 4,6bPpXqJRpjwy0hLyUGtzYc,82,not available
26,Broke Leg (with Quavo & Tyga),5WJdUrZ4ND1TCZ2AsjYK3P,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Broke Leg (with Quavo & Tyga),37Rz3XLdW8ci3K4UslRaHs,72,not available
27,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,3XzSOIE6zGLliuqsVGLmUc,87,not available
