Early Bird,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,258937,spotify_germany
1,Pieces,1sIPOaLSp0Fi8uifRqOoUF,Declan J Donovan,6bh228LGC3eAzbplPWV02r,Pieces,25ixun5mViikl8HMfOPRQD,61,https://p.scdn.co/mp3-preview/d09ea2e0fbcd9f0f13f072c98b14ecd0d9c7fdee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Your Name,1MYfXSTLkPmydULU0Qs0Ei,Plested,2nJYGgfTf2846LtVB3AES8,First & Foremost,3MgPBfKTcXs9wLLRqr78JG,53,https://p.scdn.co/mp3-preview/8921a1739457a445ec205aa5ab021ae2f8d7da88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",5psDugCQ2V8uayDeSuTvdD,LEA,5Yo5iU2nf4H41waPl4ZnS1,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",3UTg67Th2vtPXWjgfhocFp,69,https://p.scdn.co/mp3-preview/c98b67ccdbb84895f7b6c0e918565d1844e88e59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Oh Hello,6BeS8dX3Iy739w9RVDt8fg,Nico Santos,3A9B6c1CrSPauiOblw7pWz,Streets Of Gold,7uUIEZ7uNLHJdpvVUxpB1e,63,not available
5,False Confidence,7nDFTHHwfe32a8qdp9XqPy,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Busyhead,3DNQrMjvVGiueVrj1qquJd,76,not available
6,Vienna,1fX0ahHvqIFE590PxHRYIC,Declan J Donovan,6bh228LGC3eAzbplPWV02r,Vienna,7z1YwRjKdyvbS2GaunkzdD,62,https://p.scdn.co/mp3-preview/de1e33196665dab14a44a5e0f38eafba8357cc79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Change Your Mind,4kOlyvj9WiPrI4zpmzKAeA,ELI,63gbXCha1jpkrJJ9K5gGpR,Change Your Mind,60PSfBhVSZFJj302rOs4DY,63,https://p.scdn.co/mp3-preview/924b2708dc291b8a6e4a2d8c0a6dfc33e3d5d1c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,BRAVE,1LiEAia09qw722mpzqfROY,K E M A L,5Fd7uQWqAWTmcOidyOUhDo,BRAVE,05LkMk4sbSJ1GewU2FHI1t,63,https://p.scdn.co/mp3-preview/b3e9403f181f1871773b9e6f4240de6ad5f30d44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Ohne dein Herz (feat. Vincent Malin),7t3yIfTtgxnSeV9kEZlHbC,MONRATH,4U1NoN0PlsqiIzqIoPGEVo,Ohne dein Herz (feat. Vincent Malin),6gDsJE80PxdfzUkHnqaFHQ,46,https://p.scdn.co/mp3-preview/4d3c9f8208f7181c74a03a5f8fbe81b4a140c05c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,On My Own,4t8Nv7R5O8OsEJbxvDcCqG,Josh Bloom,1C3BNPOZIKGzrDzAvEMbKE,On My Own,7xMCDzHnxBCwLq27JF4PCw,46,https://p.scdn.co/mp3-preview/f6ab4f69182a5ccfdae44efb13bdf6f7a61c4244?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Dance with Darkness,5tABJYXHCOo3HRSd0ClfEd,Skrizzly Adams,6cHNKcqDykgDCRgnvKdSfK,Dance with Darkness,6FkFheXWkCI5X7CxIDuQcy,57,https://p.scdn.co/mp3-preview/d618c11e8fa1f64a79fb1db42b0e64286869839f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Waves,64xJ1MMFxxK6osZxJH857T,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Waves,0dcIrW5U3oco3GDCKiJ33I,18,not available
13,Wild Stare,2SClPoLfPJmwrr3EyfgRTS,Giant Rooks,5wD0owYApRtYmjPWavWKvb,Wild Stare,1dNicYsMG4Beogrx8blBYZ,68,not available
14,Sink,2BVyCBKJYlSdxic0yVpJ9C,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Sink,0iKUK667rgCwvtAX3YQxCG,23,not available
15,Whisper My Name - Acoustic Version,47SolHRGLxxM6mg0aABmkB,ILIRA,6mzs66iVW15C5iLt0JLt41,Whisper My Name (Acoustic Version),6YnFQXbapwmQspbInr6MAv,44,https://p.scdn.co/mp3-preview/d93187766dfb1e3922ccd51858522c9cfab8ab45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Falling Like The Stars,15xWRPHQMeqgdkGzInx3PY,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Falling Like The Stars,6Vd7ZTFfhrtPuiQIqEN8XU,83,https://p.scdn.co/mp3-preview/07122d8ecd5fbec4e57fab791d86df8e9e5aaa82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Wild,0kTUf60V9AQTqNVKZAmJKc,Hugo Helmig,27eEve8Mu7Zv8DGDIz4peE,Wild,1Ic7loCHqH4bb24T9K8PwI,57,https://p.scdn.co/mp3-preview/b0132b9978993eaa01ee0b59d28f8c41df6016a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Learn,4qlFmHHr4iPxAuH5B6Jxid,Jack Cullen,6lUfZGm7WIkgsfLhafFCfB,Learn,2xXPEtCVzbUumCE5LWGzon,44,https://p.scdn.co/mp3-preview/8bc6610d424e00d7265c90265517404db3ffdad8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Pauken,06iPanlffI55gdHaCKK2zF,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,Querfeldein,7Bdv9tyxlOOMQv34gFe9GH,57,https://p.scdn.co/mp3-preview/1fb38a5c603f2ba8bb81cb20e85778af1556053c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,New Crowned King,3sTusRj5PzgZ9pQIMLk2hW,Cody Simpson,79Xp2rRN7wdsaTJgttdX3K,New Crowned King,7H3GILfUtxKyD3fWepuKVN,14,not available
21,Grace,0pEkK8MqbmGSX7fT8WLMbR,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,76,not available
22,Drink 2 U,7qXa091APVtWPURG3QyZ2X,Kate Lomas,1wuyAb5932lV40X4raI2mB,Drink 2 U,4rVuDBW9uAy6AMCEbUdSiM,52,https://p.scdn.co/mp3-preview/1d3851ef823015a626adbb0e6b6b5e0e3eb76931?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Du bist anders,1FuB3SlcjgU3KAyDwUwB6r,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Schlagschatten,3zhOW5DedpxAxddYJ18qiI,63,not available
