Stimmungsmacher,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,995987,spotify_germany
1,Dance Monkey,421leiR6jKlH5KDdwLYrOs,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5i6CS5XcLZGLgaNCKlJvc2,68,not available
2,thank you,3uCZ4IqMY54A0jxRkyPGPl,Lena,5slpk6nu2IwwKx0EHe3GcL,thank you,4tnDopXhccSMfBgOUGJP6q,62,not available
3,H.O.L.Y.,625SfHM2FVyyUj3cT8108G,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,H.O.L.Y.,7oCFkWFuRVBCSL2JrPP0LU,66,https://p.scdn.co/mp3-preview/ef62eae6f16564f8248a16e163a9f5e19c5f7c8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Say the Name,6yQ0afSlMhftw1VE0VdoUQ,Malik Harris,7B6Uk58O2DVfg1xZPKEp4n,Say the Name,2AsCtV1QqNOFtl2J8N8AUT,14,not available
5,The Ride,1gTM4seH4xaAmXublYrP96,Layne Elizabeth,6IdzRunozxePQ14ElzQGtz,The Ride,74RpnvTikYrCxn2wpsr0rs,54,https://p.scdn.co/mp3-preview/55a77fca3c5ad5328c1e69b9d49758258a1fc39c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"Jennie (feat. R. City, Bori)",1iBOPEE6fIMsl7GMMcEyCF,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,I,2DL4AOHc4MKvCHbUr544aU,18,not available
7,Hey Gorgeous,1mjZMCpFS1O72kOiJXTi4F,Nick Talos,5pCzC0BOLY2MpqYr1qksg2,Hey Gorgeous,590gGyBilBNWYtEPbXYK20,56,not available
8,Too Good To Be True,3WKBNbYx32xlJQ0puFCnAJ,Rhys,5yMkHmsdRZA4OVeCylF4xU,Too Good To Be True,643YsCwUVouRF5nWrAaZr1,68,https://p.scdn.co/mp3-preview/a59f9383e8fde7c417a6101ac7471d611b5c5820?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,My Own Way,7bZgh962uESbhWFCALbAIa,Natia Todua,7goeIxcFiMVD1ej3govuDi,My Own Way,0GPa0cBFCtevwXXN96o32D,13,not available
10,Waste My Air,6cCf1jiKCo29TkOLYT4U0j,Sophie and the Giants,4FrXHrpbDLNyO3pbVv8RmF,Adolescence,65pHUIfVtuQGSbJlCWC8Ys,54,not available
11,Never Too Late,2t0S4nEnedjJIQ08pWA8wA,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,Never Too Late,5MRJgor9sRxiqOFZeCmq4k,55,https://p.scdn.co/mp3-preview/0161f2ddf0dad3c4a50bc62cc9bf880a4afb3008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Leiser,4k5ripwnTRXiOzXUEGhXSz,LEA,5Yo5iU2nf4H41waPl4ZnS1,Leiser,0gkZOrWpKMoTSFAqK4CgIM,15,not available
13,Pauken,06iPanlffI55gdHaCKK2zF,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,Querfeldein,7Bdv9tyxlOOMQv34gFe9GH,57,https://p.scdn.co/mp3-preview/1fb38a5c603f2ba8bb81cb20e85778af1556053c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Be Your Friend,1uGHaW5WOyQUSR1oNKAydC,Vigiland,3tLYpanVDomWAZqF82NPds,Be Your Friend,1FWAN2F8WDeyikgOTPry2Q,22,not available
