Top Hits Deutschland,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1936795,spotify_germany
1,2002,2u8AXJyk8pICzj2wyPBL0b,Sido,4Yttlv9ndGjCDCVLqM7ACq,Ich & keine Maske,3jdqYXotnRgQwG3HTniNdH,83,not available
2,Dance Monkey,421leiR6jKlH5KDdwLYrOs,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5i6CS5XcLZGLgaNCKlJvc2,68,not available
3,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,88,not available
4,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,91,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Zeit steht (feat. Alli Neumann),22ET3BvBsXcGiwxy1uXPbU,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Trettmann,6nNWkAwlHC0yIoKzzl7rnQ,78,https://p.scdn.co/mp3-preview/94dfbe1cd8f61c6ab59b96e165bf37b192e822cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Better,5Pwu8NkDhEkObPp8TvHMUn,Lena,5slpk6nu2IwwKx0EHe3GcL,Better,2lcmzK4IDOwd8Sh1FoFWYw,77,not available
7,Hoch,4SWu9u2dLzmYa8dMieyayQ,Tim Bendzko,3xDVmZmDpaF1uuez2N7mKl,Hoch,3zB1yfRc2e0vMayXMi48dS,78,https://p.scdn.co/mp3-preview/ee56a859c14ab29aa75e5bb5ae0efff2e0826a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,2cFrymmkijnjDg9SS92EPM,hot girl bummer,37CqAwxTungNxKpIK5vSgE,94,not available
9,Takeaway,6wo37KVqFJhtuxPTpLCcfe,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy...Takeaway,1JawI0XkEwmQ5Bwef3RMbq,92,https://p.scdn.co/mp3-preview/d6acd39ff853fe8d1fd60603143c60eda0f7f672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
