Pop Schlager,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,109572,spotify_germany
1,Dass es uns noch gibt,28Dt51SrmBQE5r0PmGydTp,Maite Kelly,67e4k4hUdeTb0UIm878liJ,Dass es uns noch gibt,719KutsDu7d03NMvUxh3pu,45,not available
2,Nicht verdient,61BVrOj4m7VExiFpw7z7zF,Michelle,7aJNXzRL7Cac8L6KF7HKUO,Tabu (Deluxe),2wfSZnRBhZEJmcH9535ggj,64,not available
3,Wer sagt das?!,5pExjfPNit7WhW1RKsKC6x,Ben Zucker,1ZHJdXXtKnmUh2qRN4LmbS,Wer sagt das?!,057ckjiBWk5dqqkv2fvzKV,55,not available
4,Schau mal,55ykbOI6QsvPnxWqObuBsr,Kerstin Ott,1F30RWETubxDmbyfxeVPg7,Schau mal,0qJjzuSRKhdxUR0ZVrry9p,42,not available
5,Wolke 7,1I14TXOgylN4gTuGkrNCYb,Wolkenfrei,3cgDQ6QESLlSxH2foLrDwf,Wachgeküsst,3JDRzwGLSinkdZNVXTWSRG,51,https://p.scdn.co/mp3-preview/40d4d48cb48392dc39a4e11f05af2ee1dd03876e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Geboren um dich zu lieben,3PNLYU06iAnnRBSshNZPYb,DJ Ötzi,0DR4z5jMA1eqx0CmHBUpkr,Geboren um dich zu lieben,6ppZdiVckw27oHBDr8JQwU,49,not available
7,Ja ich will,3CXCSDeLa8tmiG84onlQpx,Andrea Berg,5dXbkgq9goxRAwCFoNU9Dp,25 Jahre Abenteuer Leben,0phz5qy6MosHH03ZpG4KlT,53,https://p.scdn.co/mp3-preview/52349749b6fffcf20158108cae0effa04cb245e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Sie sagte doch sie liebt mich (feat. Florian Silbereisen),3hNXMA6rBQvKwQvaX7f481,Thomas Anders,5YST2BJLoQVVhyXoZfbCZ0,Ewig mit Dir,7BKBQmPOPcSrpjG77FUhaJ,53,https://p.scdn.co/mp3-preview/701441fea8e7499f712df875844808fdf5f909ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Sieben Leben für dich,6ZQzDL2su1KIG0awV6j1U3,Maite Kelly,67e4k4hUdeTb0UIm878liJ,Sieben Leben für dich,677W9S9pTWZneVNNZ3aU4w,5,not available
10,Kein Problem - Pop Mix,28REkuAtOPTvZpf9dQQnLf,Roland Kaiser,1uphmI1bErhHslREq9QusL,Kein Problem (Pop Mix),7k2tJ7rMByQSFSZ0zw7uj6,49,https://p.scdn.co/mp3-preview/9f2595b21e7f4848c7171d0564c7ff4298c30380?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Meilenweit - Mania Mix,0TDDVo7sk8oZTPibrACFAK,Vanessa Mai,3WUe8ADT5d65WeByR3ubl7,Meilenweit,2kDGeoJv68bwhPQjfyAqFT,47,https://p.scdn.co/mp3-preview/f873aeeca5fcfacf19b68d05703b5481007369ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Spuren auf dem Mond - Fox Mix,6pujlNgVptw6kGYd3XrAy0,Ella Endlich,5CbCf86F6Ecw5oXkzlnDF2,Spuren auf dem Mond (Remixes),3XDNZ0d7bJ9fMARaTbig14,46,not available
13,Was für eine geile Zeit - Single Mix,1s0pP3RNc7XV6vAAm3NNiV,Ben Zucker,1ZHJdXXtKnmUh2qRN4LmbS,Was für eine geile Zeit,5Iciz5xGae5aCq2BD828Jy,7,not available
14,Regenbogenfarben,5QrQGn6H1L2NEPyjDCxTXq,Kerstin Ott,1F30RWETubxDmbyfxeVPg7,Regenbogenfarben,3fMQJsjzCNPNH4mJcCULvC,61,not available
15,Warum hast du nicht nein gesagt - Pop Mix,7jTWNq9qAiR8rFbmBHN8oA,Roland Kaiser,1uphmI1bErhHslREq9QusL,Mein Herz schlägt Schlager,5ACy6tOUCz6WS8mO1PP3Bd,5,not available
16,Terra Australia,0jBoQ9TBWPXizUIYe2etBd,Beatrice Egli,7J8A1bNBCuikXoOOetFCKz,Terra Australia,3CgnDxfaUv5ewovO0bzyYm,47,not available
17,Unsere Zeit,1sgNv8hUx0KoFgvAC6CSIA,DJ Ötzi,0DR4z5jMA1eqx0CmHBUpkr,Von Herzen,6uSbJQBdGJrN4hhup5kdeC,45,not available
18,La Passion,6EnKLQVtPFTF31It3Thxvz,De Lancaster,4B6hTxvIc2hDmLcts8DCL8,La Passion,2ITWboxnv5mtDQ7MnyHHUq,44,https://p.scdn.co/mp3-preview/1a077d46486d684b6bbaa7f1d6fec35851b14eb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Tief in der Nacht - Fox Mix,2UxJ6wWbZ0ZcKXilpcnmo3,Marco Kloss,6wt6HV10v9C2FGw3LZH3mt,Tief in der Nacht,4kkP1ZSiqQo1FFmgZgzfCt,4,not available
20,Senza te (Ohne dich) [feat. Pietro Lombardi],2VbCryYXYjH2Q9QaACUow4,Giovanni Zarrella,5KbxDPo9oNgtxFy3qd7qln,La vita è bella,1PJWpEgJBxjjHYaG1QUhev,55,https://p.scdn.co/mp3-preview/0b457ebefbd3981f2744bb6fc81f6cc93effeb6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Weekend,19L25UjeG3XZicOLmWy2yP,DJ Herzbeat,0fvGBclVqAPzR4SxHhtgt4,Weekend,3bmcFNoxkjCX2G4nh35KPf,57,not available
22,Diese Nacht ist jede Sünde wert - Single Mix,5COP2EOX7vgbVr28ICOO68,Andrea Berg,5dXbkgq9goxRAwCFoNU9Dp,Diese Nacht ist jede Sünde wert,7C1cD6B4eJtYLDRJF1Bxka,48,https://p.scdn.co/mp3-preview/e786a1454f8248806bc03f63d3ea395af5512c2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Wer kann da denn schon nein sagen?,0NZpSWrZd1jU5huOLHB1DO,Feuerherz,3HBmytNNI4oWYLdUnWw15Y,Wer kann da denn schon nein sagen?,1PLomLPOiCALo5FsEvAuQR,43,not available
24,Herz an,6XuTpSCS5Cyq1XfCuotukp,Beatrice Egli,7J8A1bNBCuikXoOOetFCKz,Herz an,7366HUZGz6Vekjm4LOv5YG,44,not available
